[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 1] These bee the wordes which Moses spake vnto all Israel, on this side Iorden in the wildernesse, in the plaine, ouer against the red Sea, betweene Paran and Tophel, and Laban, and Hazeroth, and Di-zahab.
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 2] There are eleuen dayes iourney from Horeb vnto Kadesh-barnea, by the way of mout Seir.
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 3] And it came to passe in the first day of the eleuenth moneth, in the fourtieth yeere that Moses spake vnto the children of Israel according vnto all that the Lord had giuen him in commandement vnto them,
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 4] After that he had slaine Sihon the king of the Amorites which dwelt in Heshbon, and Og king of Bashan, which dwelt at Ashtaroth in Edrei.
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 5] On this side Iorden in the lande of Moab began Moses to declare this lawe, saying,
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 6] The Lord our God spake vnto vs in Horeb, saying, Ye haue dwelt long ynough in this mount,
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 7] Turne you and depart, and goe vnto the mountaine of the Amorites, and vnto all places neere thereunto in the plaine, in the mountaine, or in the valley: both Southwarde, and to the Sea side, to the land of the Canaanites, and vnto Lebanon: euen vnto the great riuer, the riuer Perath.
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 8] Beholde, I haue set the land before you: go in and possesse that land which the Lord sware vnto your fathers, Abraham, Izhak, and Iaakob, to giue vnto them and to their seede after them.
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 9] And I spake vnto you the same time, saying, I am not able to beare you my selfe alone:
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 10] The Lord your God hath multiplied you: and beholde, ye are this day as the starres of heauen in nomber:
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 11] (The Lord God of your fathers make you a thousand times so many moe as ye are, and blesse you, as he hath promised you)
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 12] Howe can I alone beare your combrance and your charge, and your strife?
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 13] Bring you men of wisedome and of vnderstanding, and knowen among your tribes, and I will make them rulers ouer you:
[GNV | EN | OT | Deuteronomy | Chapter 1 | Verse 14] Then ye answered me and said, The thing is good that thou hast commanded vs to doe.
