[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 1] These now are the commandements, ordinances, and lawes, which the Lord your God commanded me to teach you, that ye might doe them in the land whither ye go to possesse it:
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 2] That thou mightest feare the Lord thy God, and keepe all his ordinances, and his commandements which I commaund thee, thou, and thy sonne, and thy sonnes sonne all the dayes of thy life, euen that thy dayes may be prolonged.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 3] Heare therefore, O Israel, and take heede to doe it, that it may go well with thee, and that ye may increase mightily in the land that floweth with milke and hony, as the Lord God of thy fathers hath promised thee.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 4] Heare, O Israel, The Lord our God is Lord onely,
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 5] And thou shalt loue the Lord thy God with all thine heart, and with all thy soule, and with all thy might.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 6] And these wordes which I commaund thee this day, shalbe in thine heart.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 7] And thou shalt rehearse them continually vnto thy children, and shalt talke of them when thou tariest in thine house, and as thou walkest by the way, and when thou liest downe, and when thou risest vp:
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 8] And thou shalt binde them for a signe vpon thine hand, and they shalbe as frontlets betweene thine eyes.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 9] Also thou shalt write them vpon ye postes of thine house, and vpon thy gates.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 10] And when the Lord thy God hath brought thee into the land, which he sware vnto thy fathers, Abraham, Izhak, and Iaakob, to giue to thee, with great and goodly cities which thou buildedst not,
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 11] And houses full of all maner of goods which thou filledst not, and welles digged which thou diggedst not, vineyards and oliue trees which thou plantedst not, and when thou hast eaten and art full,
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 12] Beware least thou forget the Lord, which brought thee out of the land of Egypt, from the house of bondage.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 13] Thou shalt feare the Lord thy God, and serue him, and shalt sweare by his Name.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 14] Ye shall not walke after other gods, after any of the gods of the people which are round about you,
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 15] (For the Lord thy God is a ielous God among you:) least the wrath of the Lord thy God be kindled against thee, and destroy thee from the face of the earth.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 16] Ye shall not tempt the Lord your God, as ye did tempt him in Massah:
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 17] But ye shall keepe diligently the commandements of the Lord your God, and his testimonies, and his ordinances which he hath commanded thee,
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 18] And thou shalt doe that which is right and good in the sight of the Lord: that thou mayest prosper, and that thou mayest go in, and possesse that good land which the Lord sware vnto thy fathers,
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 19] To cast out all thine enemies before thee, as the Lord hath sayd.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 20] When thy sonne shall aske thee in time to come, saying, What meane these testimonies, and ordinances, and Lawes, which the Lord our God hath commanded you?
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 21] Then shalt thou say vnto thy sonne, We were Pharaohs bondmen in Egypt: but the Lord brought vs out of Egypt with a mightie hand.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 22] And the Lord shewed signes and wonders great and euill vpon Egypt, vpon Pharaoh, and vpon all his housholde, before our eyes,
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 23] And brought vs out from thence, to bring vs in, and to giue vs the land which he sware vnto our fathers.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 24] Therefore the Lord hath commanded vs, to doe all these ordinances, and to feare the Lord our God, that it may goe euer well with vs, and that he may preserue vs aliue as at this present.
[GNV | EN | OT | Deuteronomy | Chapter 6 | Verse 25] Moreouer, this shall be our righteousnes before the Lord our God, if we take heede to keepe all these commandements, as he hath commanded vs.
