[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 1] Then Moses went from the plaine of Moab vp into mount Nebo vnto the top of Pisgah that is ouer against Iericho: and the Lord shewed him all the land of Gilead, vnto Dan,
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 2] And all Naphtali and the land of Ephraim and Manasseh, and all the land of Iudah, vnto the vtmost sea:
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 3] And the South, and the plaine of the valley of Iericho, the citie of palmetrees, vnto Zoar.
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 4] And the Lord said vnto him, This is the lande which I sware vnto Abraham, to Izhak and to Iaacob saying, I will giue it vnto thy seede: I haue caused thee to see it with thine eyes, but thou shalt not goe ouer thither.
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 5] So Moses the seruant of the Lord dyed there in the land of Moab, according to the worde of the Lord.
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 6] And hee buried him in a valley in the land of Moab ouer against Beth-peor, but no man knoweth of his sepulchre vnto this day.
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 7] Moses was nowe an hundreth and twentie yeere olde when hee died, his eye was not dimme, nor his naturall force abated.
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 8] And the children of Israel wept for Moses in the plaine of Moab thirtie dayes: so the dayes of weeping and mourning for Moses were ended.
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 9] And Ioshua the sonne of Nun was full of ye spirit of wisedome: for Moses had put his hands vpon him. And the children of Israel were obedient vnto him, and did as the Lord had commanded Moses.
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 10] But there arose not a Prophet since in Israel like vnto Moses (whome the Lord knew face to face)
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 11] In all ye miracles and wonders which ye Lord sent him to do in ye land of Egypt before Pharaoh and before all his seruantes, and before al his land,
[GNV | EN | OT | Deuteronomy | Chapter 34 | Verse 12] And in all that mightie hand and all that great feare, which Moses wrought in the sight of all Israel.
