[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 1] Nowe when all these things shall come vpon thee, either the blessing or the curse which I haue set before thee, and thou shalt turne into thine heart, among all the nations whither the Lord thy God hath driuen thee,
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 2] And shalt returne vnto the Lord thy God, and obey his voyce in all that I commaund thee this day: thou, and thy children with all thine heart and with all thy soule,
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 3] Then the Lord thy God wil cause thy captiues to returne, and haue compassion vpon thee, and wil returne, to gather thee out of all the people, where the Lord thy God had scattered thee.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 4] Though thou werest cast vnto the vtmost part of heauen, from thence will the Lord thy God gather thee, and from thence wil he take thee,
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 5] And the Lord thy God will bring thee into the land which thy fathers possessed, and thou shalt possesse it, and he will shewe thee fauour, and will multiplie thee aboue thy fathers.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 6] And the Lord thy God will circumcise thine heart, and the heart of thy seede, that thou mayest loue the Lord thy God with all thine heart, and with al thy soule, that thou maiest liue.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 7] And the Lord thy God will lay all these curses vpon thine enemies, and on them, that hate thee, and that persecute thee.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 8] Returne thou therefore, and obey the voyce of the Lord, and do all his commandements, which I commaund thee this day.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 9] And the Lord thy God will make thee plenteous in euery worke of thine hande, in the fruite of thy bodie, and in the fruite of thy cattel, and in the fruite of the lande for thy wealth: for the Lord will turne againe, and reioyce ouer thee to do thee good, as he reioyced ouer thy fathers,
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 10] Because thou shalt obey the voyce of the Lord thy God, in keeping his comandements, and his ordinances, which are written in the booke of this Law, when thou shalt returne vnto the Lord thy God with all thine heart and with al thy soule.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 11] For this commandement which I commande thee this day, is not hid from thee, neither is it farre off.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 12] It is not in heauen, that thou shouldest say, Who shall go vp for vs to heauen, and bring it vs, and cause vs to heare it, that we may doe it?
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 13] Neither is it beyonde the sea, that thou shouldest say, Who shall go ouer the sea for vs, and bring it vs, and cause vs to heare it, that we may do it?
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 14] But the word is very neere vnto thee: euen in thy mouth and in thine heart, for to do it.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 15] Beholde, I haue set before thee this day life and good, death and euill,
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 16] In that I commaund thee this day, to loue the Lord thy God, to walke in his wayes, and to keepe his commandements, and his ordinances, and his lawes, that thou mayest liue, and be multiplied, and that the Lord thy God may blesse thee in the land, whither thou goest to possesse it.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 17] But if thine heart turne away, so that thou wilt not obey, but shalt be seduced and worship other gods, and serue them,
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 18] I pronounce vnto you this day, that ye shall surely perish, ye shall not prolong your dayes in the lande, whither thou passest ouer Iorden to possesse it.
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 19] I call heauen and earth to recorde this day against you, that I haue set before you life and death, blessing and cursing. therefore chuse life, that both thou and thy seede may liue,
[GNV | EN | OT | Deuteronomy | Chapter 30 | Verse 20] By louing the Lord thy God, by obeying his voyce, and by cleauing vnto him: for he is thy life, and the length of thy dayes: that thou mayest dwell in the lande which the Lord sware vnto thy fathers, Abraham, Izhak, and Iaakob, to giue them.
