[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 1] ਤਦ ਅਲੀਸ਼ਾ ਨੇ ਆਖਿਆ, ਤੁਸੀਂ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਸੁਣੋ। ਯਹੋਵਾਹ ਅਜਿਹਾ ਫ਼ਰਮਾਉਂਦਾ ਹੈ ਕਿ ਕੱਲ ਇਸੇ ਸਮੇਂ ਸਾਮਰਿਯਾ ਦੇ ਫਾਟਕ ਤੇ ਦਸ ਸੇਰ ਮੈਦਾ ਇੱਕ ਰੁਪਏ ਦਾ ਅਤੇ ਵੀਹ ਸੇਰ ਜੌਂ ਇੱਕ ਰੁਪਏ ਦੇ ਹੋਣਗੇ।
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 2] ਤਦ ਉਸ ਅਹੁਦੇਦਾਰ ਨੇ ਜਿਹ ਦੇ ਹੱਥ ਤੇ ਰਾਜਾ ਢਾਸਣਾ ਲੈਂਦਾ ਸੀ ਪਰਮੇਸ਼ੁਰ ਦੇ ਜਨ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ ਕਿ ਜੇ ਯਹੋਵਾਹ ਅਕਾਸ਼ ਦੀਆਂ ਖਿੜਕੀਆਂ ਵੀ ਖੋਲ੍ਹ ਦੇਵੇ ਤਦ ਵੀ ਕੀ ਇਹ ਗੱਲ ਹੋ ਸਕਦੀ ਹੈ? ਉਸ ਨੇ ਆਖਿਆ, ਵੇਖ ਤੂੰ ਇਸ ਨੂੰ ਆਪਣੀਆਂ ਅੱਖਾਂ ਨਾਲ ਵੇਖਣ ਹੀ ਵਾਲਾ ਹੈਂ ਪਰ ਤੂੰ ਉਹ ਦੇ ਵਿੱਚੋਂ ਕੁਝ ਵੀ ਨਾ ਖਾਵੇਂਗਾ।
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 3] ਹੁਣ ਫਾਟਕ ਦੇ ਰਸਤੇ ਤੇ ਚਾਰ ਕੋੜ੍ਹੀ ਸਨ, ਉਨ੍ਹਾਂ ਨੇ ਇੱਕ ਦੂਜੇ ਨੂੰ ਆਖਿਆ, “ਅਸੀਂ ਇੱਥੇ ਬੈਠੇ-ਬੈਠੇ ਕਿਉਂ ਮਰੀਏ?”
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 4] ਜੇ ਅਸੀਂ ਆਖੀਏ ਕਿ ਚੱਲੋ ਸ਼ਹਿਰ ਵਿੱਚ ਚਲੀਏ ਤਾਂ ਅਸੀਂ ਉੱਥੇ ਮਰਾਂਗੇ ਕਿਉਂਕਿ ਉੱਥੇ ਕਾਲ ਹੈ ਅਤੇ ਜੇ ਅਸੀਂ ਇੱਥੇ ਹੀ ਬੈਠੇ ਰਹੀਏ ਤਾਂ ਵੀ ਅਸੀਂ ਮਰਾਂਗੇ। ਇਸ ਲਈ ਹੁਣ ਅਸੀਂ ਅਰਾਮੀਆਂ ਦੇ ਡੇਰੇ ਵਿੱਚ ਜਾਈਏ, ਜੇ ਉਹ ਸਾਨੂੰ ਜੀਉਂਦਾ ਛੱਡਣ ਤਾਂ ਅਸੀਂ ਜੀਵਾਂਗੇ ਅਤੇ ਜੇ ਉਹ ਸਾਨੂੰ ਮਾਰ ਸੁੱਟਣ ਤਾਂ ਅਸੀਂ ਮਰਨਾ ਹੀ ਹੈ।
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 5] ਤਦ ਉਹ ਸ਼ਾਮ ਦੇ ਸਮੇਂ ਅਰਾਮੀਆਂ ਦੇ ਡੇਰੇ ਨੂੰ ਜਾਣ ਲਈ ਉੱਠੇ ਅਤੇ ਜਦ ਉਹ ਅਰਾਮੀਆਂ ਦੇ ਡੇਰੇ ਦੀ ਬਾਹਰਲੀ ਹੱਦ ਵਿੱਚ ਪਹੁੰਚੇ ਤਾਂ ਵੇਖਿਆ ਕਿ ਉੱਥੇ ਇੱਕ ਵੀ ਆਦਮੀ ਨਹੀਂ ਹੈ।
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 6] ਅਜਿਹਾ ਇਸ ਲਈ ਹੋਇਆ ਕਿ ਪ੍ਰਭੂ ਨੇ ਅਰਾਮੀਆਂ ਦੀ ਫੌਜ ਨੂੰ ਰੱਥਾਂ ਦੀ ਅਵਾਜ਼, ਘੋੜਿਆਂ ਦੀ ਅਵਾਜ਼ ਅਤੇ ਇੱਕ ਵੱਡੇ ਲਸ਼ਕਰ ਦੀ ਅਵਾਜ਼ ਸੁਣਵਾਈ ਸੀ, ਤਦ ਉਹ ਇੱਕ ਦੂਜੇ ਨੂੰ ਕਹਿਣ ਲੱਗੇ ਕਿ ਵੇਖੋ, ਇਸਰਾਏਲ ਦੇ ਰਾਜਾ ਨੇ ਸਾਡੇ ਵਿਰੁੱਧ ਹਿੱਤੀਆਂ ਦੇ ਰਾਜਿਆਂ ਤੇ ਮਿਸਰੀਆਂ ਦੇ ਰਾਜਿਆਂ ਨੂੰ ਕਿਰਾਏ ਤੇ ਲਿਆ ਹੈ ਕਿ ਉਹ ਸਾਡੇ ਉੱਤੇ ਹਮਲਾ ਕਰਨ।
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 7] ਇਸ ਲਈ ਸ਼ਾਮ ਨੂੰ ਉੱਠ ਕੇ ਭੱਜ ਤੁਰੇ ਅਤੇ ਆਪਣੇ ਤੰਬੂ, ਆਪਣੇ ਘੋੜੇ ਅਤੇ ਆਪਣੇ ਗਧੇ ਅਰਥਾਤ ਡੇਰੇ ਜਿਸ ਤਰ੍ਹਾਂ ਦੇ ਸੀ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਛੱਡ ਕੇ ਆਪਣੀਆਂ ਜਾਨਾਂ ਬਚਾ ਕੇ ਭੱਜੇ।
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 8] ਜਦ ਉਹ ਕੋੜ੍ਹੀ ਡੇਰੇ ਦੀ ਬਾਹਰਲੀ ਹੱਦ ਤੱਕ ਪਹੁੰਚੇ, ਤਦ ਉਨ੍ਹਾਂ ਨੇ ਇੱਕ ਤੰਬੂ ਵਿੱਚ ਵੜ ਕੇ ਖਾਧਾ ਪੀਤਾ ਅਤੇ ਉੱਥੋਂ ਚਾਂਦੀ, ਸੋਨਾ ਅਤੇ ਕੱਪੜੇ ਲੈ ਜਾ ਕੇ ਲੁਕਾ ਰੱਖੇ, ਫਿਰ ਮੁੜ ਕੇ ਦੂਜੇ ਤੰਬੂ ਵਿੱਚ ਵੜ ਕੇ ਉੱਥੋਂ ਵੀ ਲੈ ਗਏ ਅਤੇ ਜਾ ਕੇ ਲੁਕਾ ਦਿੱਤਾ।
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 9] ਤਦ ਉਹ ਇੱਕ ਦੂਜੇ ਨੂੰ ਕਹਿਣ ਲੱਗੇ, ਜੋ ਅਸੀਂ ਕਰ ਰਹੇ ਹਾਂ ਉਹ ਚੰਗੀ ਗੱਲ ਨਹੀਂ ਹੈ। ਅੱਜ ਦਾ ਦਿਨ ਖੁਸ਼ੀ ਦੇ ਸਮਾਚਾਰ ਦਾ ਦਿਨ ਹੈ ਅਤੇ ਅਸੀਂ ਚੁੱਪ-ਚਾਪ ਹਾਂ। ਜੇ ਅਸੀਂ ਸਵੇਰ ਹੋਣ ਤੱਕ ਠਹਿਰੇ ਰਹੀਏ ਤਦ ਸਾਡੇ ਉੱਤੇ ਕੋਈ ਸਜ਼ਾ ਆਵੇਗੀ, ਹੁਣ ਆਓ, ਅਸੀਂ ਜਾ ਕੇ ਰਾਜੇ ਦੇ ਘਰਾਣੇ ਨੂੰ ਖ਼ਬਰ ਦੱਸੀਏ।
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 10] ਤਦ ਉਨ੍ਹਾਂ ਨੇ ਸ਼ਹਿਰ ਦੇ ਦਰਬਾਨਾਂ ਨੂੰ ਜਾ ਕੇ ਅਵਾਜ਼ ਦੇ ਕੇ ਉਹਨਾਂ ਨੂੰ ਦੱਸਿਆ ਕਿ ਅਸੀਂ ਅਰਾਮੀਆਂ ਦੇ ਡੇਰੇ ਵਿੱਚ ਵੜੇ ਅਤੇ ਵੇਖੋ, ਉੱਥੇ ਨਾ ਆਦਮੀ ਸੀ, ਨਾ ਆਦਮੀ ਦੀ ਅਵਾਜ਼ ਕੇਵਲ ਘੋੜੇ ਅਤੇ ਗਧੇ ਬੰਨ੍ਹੇ ਹੋਏ ਸਨ ਅਤੇ ਤੰਬੂ ਉਸੇ ਤਰ੍ਹਾਂ ਸਨ।
[IRV | PA | OT | 2 Kings | Chapter 7 | Verse 11] ਤਦ ਫਾਟਕ ਦੇ ਦਰਬਾਨਾਂ ਨੇ ਅਵਾਜ਼ ਦੇ ਕੇ ਰਾਜਾ ਦੇ ਘਰਾਣੇ ਨੂੰ ਖ਼ਬਰ ਦਿੱਤੀ।
