[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 1] ਯੇਹੂ ਦੇ ਸੱਤਵੇਂ ਸਾਲ ਯਹੋਆਸ਼ ਰਾਜ ਕਰਨ ਲੱਗਾ ਅਤੇ ਉਹ ਨੇ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਚਾਲ੍ਹੀ ਸਾਲ ਰਾਜ ਕੀਤਾ, ਉਹ ਦੀ ਮਾਤਾ ਦਾ ਨਾਮ ਸਿਬਯਾਹ ਸੀ, ਜੋ ਬਏਰਸ਼ਬਾ ਦੀ ਸੀ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 2] ਯਹੋਆਸ਼ ਆਪਣੀ ਸਾਰੀ ਉਮਰ ਜਦ ਤੱਕ ਯਹੋਯਾਦਾ ਜਾਜਕ ਉਹ ਨੂੰ ਸਿੱਖਿਆ ਦਿੰਦਾ ਰਿਹਾ, ਉਹ ਹੀ ਕੰਮ ਕਰਦਾ ਰਿਹਾ ਜੋ ਯਹੋਵਾਹ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਠੀਕ ਸੀ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 3] ਤਦ ਵੀ ਉੱਚੇ ਥਾਂ ਉਨ੍ਹਾਂ ਨੇ ਨਾ ਢਾਹੇ। ਅਜੇ ਤੱਕ ਲੋਕ ਉੱਚਿਆਂ ਥਾਵਾਂ ਉੱਤੇ ਬਲੀ ਚੜ੍ਹਾਉਂਦੇ ਅਤੇ ਧੂਪ ਧੁਖਾਉਂਦੇ ਸਨ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 4] ਯਹੋਆਸ਼ ਨੇ ਜਾਜਕਾਂ ਨੂੰ ਆਖਿਆ, ਪਵਿੱਤਰ ਕੀਤੀਆਂ ਹੋਈਆਂ ਵਸਤੂਆਂ ਦਾ ਉਹ ਸਾਰਾ ਰੁਪਿਆ, ਜੋ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਲਿਆਇਆ ਜਾਵੇ ਅਰਥਾਤ ਗਿਣਿਆ ਹੋਇਆ ਲੋਕਾਂ ਦਾ ਰੁਪਿਆ ਅਤੇ ਉਹ ਸਭ ਰੁਪਿਆ ਜੋ ਕੋਈ ਆਦਮੀ ਆਪਣੀ ਇੱਛਾ ਨਾਲ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਲਿਆਵੇ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 5] ਜਾਜਕ ਆਪਣੇ ਪਹਿਚਾਣ ਵਾਲਿਆਂ ਕੋਲੋਂ ਲੈ ਲਿਆ ਕਰਨ ਅਤੇ ਜਿੱਥੇ ਕਿਤੇ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਟੁੱਟ-ਫੁੱਟ ਹੋਵੇ ਉਨ੍ਹਾਂ ਟੁੱਟਾਂ-ਫੁੱਟਾਂ ਦੀ ਮੁਰੰਮਤ ਕਰਨ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 6] ਪਰ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਯਹੋਆਸ਼ ਦੇ ਰਾਜ ਦੇ ਤੇਈਵੇਂ ਸਾਲ ਤੱਕ ਜਾਜਕਾਂ ਨੇ ਭਵਨ ਦੀ ਟੁੱਟ-ਫੁੱਟ ਦੀ ਮੁਰੰਮਤ ਨਾ ਕੀਤੀ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 7] ਉਪਰੰਤ ਯਹੋਆਸ਼ ਰਾਜਾ ਨੇ ਯਹੋਯਾਦਾ ਜਾਜਕ ਅਤੇ ਦੂਜੇ ਜਾਜਕਾਂ ਨੂੰ ਸੱਦ ਕੇ ਉਹਨਾਂ ਨੂੰ ਆਖਿਆ, ਤੁਸੀਂ ਭਵਨ ਦੀ ਟੁੱਟ-ਫੁੱਟ ਦੀ ਮੁਰੰਮਤ ਕਿਉਂ ਨਹੀਂ ਕਰਦੇ? ਇਸ ਲਈ ਆਪਣੇ ਜਾਣਨ ਵਾਲਿਆਂ ਕੋਲੋਂ ਹੁਣ ਰੁਪਿਆ ਨਾ ਲਵੋ ਪਰ ਭਵਨ ਦੀ ਟੁੱਟ-ਫੁੱਟ ਲਈ ਦੇਵੋ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 8] ਇਸ ਲਈ ਜਾਜਕਾਂ ਨੇ ਮੰਨ ਲਿਆ ਕਿ ਨਾ ਤਾਂ ਅਸੀਂ ਲੋਕਾਂ ਕੋਲੋਂ ਚਾਂਦੀ ਲਵਾਂਗੇ, ਨਾ ਭਵਨ ਦੀ ਟੁੱਟ-ਫੁੱਟ ਦੀ ਮੁਰੰਮਤ ਕਰਾਂਗੇ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 9] ਤਦ ਯਹੋਯਾਦਾ ਜਾਜਕ ਨੇ ਇੱਕ ਸੰਦੂਕ ਲਿਆ, ਉਹ ਦੇ ਢੱਕਣ ਵਿੱਚ ਮੋਰੀ ਕੀਤੀ ਅਤੇ ਉਸ ਨੂੰ ਜਗਵੇਦੀ ਦੇ ਕੋਲ ਇਸ ਤਰ੍ਹਾਂ ਟਿਕਾਇਆ ਕਿ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਵੜਨ ਵਾਲੇ ਦੇ ਸੱਜੇ ਪਾਸੇ ਰਹੇ ਅਤੇ ਉਹ ਜਾਜਕ ਜੋ ਡਿਉੜ੍ਹੀ ਦੀ ਰਖਵਾਲੀ ਕਰਦੇ ਸਨ, ਉਹ ਸਾਰਾ ਰੁਪਿਆ ਜੋ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਲਿਆਇਆ ਜਾਂਦਾ ਸੀ, ਉਸ ਵਿੱਚ ਪਾ ਦਿੰਦੇ ਸਨ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 10] ਜਦ ਉਹ ਵੇਖਦੇ ਸਨ ਕਿ ਸੰਦੂਕ ਵਿੱਚ ਬਹੁਤ ਰੁਪਿਆ ਹੋ ਗਿਆ ਹੈ ਤਦ ਰਾਜਾ ਦਾ ਪ੍ਰਧਾਨ ਅਤੇ ਮਹਾਂ ਜਾਜਕ ਉੱਥੇ ਆ ਕੇ ਉਸ ਰੁਪਏ ਨੂੰ ਜਿਹੜਾ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਮਿਲਦਾ ਸੀ, ਥੈਲੀਆਂ ਵਿੱਚ ਪਾ ਕੇ ਗਿਣ ਲੈਂਦੇ ਸਨ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 11] ਤਦ ਉਹ ਉਸ ਰੁਪਏ ਨੂੰ ਜੋ ਤੋਲਿਆ ਹੁੰਦਾ ਸੀ, ਉਨ੍ਹਾਂ ਕੰਮ ਕਰਨ ਵਾਲਿਆਂ ਦੇ ਹੱਥ ਵਿੱਚ ਦੇ ਦਿੰਦੇ ਸਨ, ਜੋ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੀ ਦੇਖਭਾਲ ਕਰਦੇ ਸਨ ਅਤੇ ਉਹ ਤਰਖਾਣਾਂ ਦੇ ਉਸਾਰੀ ਕਰਨ ਵਾਲਿਆਂ ਨੂੰ ਜੋ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦਾ ਕੰਮ ਕਰਦੇ ਸਨ,
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 12] ਰਾਜ ਮਿਸਤਰੀਆਂ ਨੂੰ, ਪੱਥਰ ਕੱਟਣ ਵਾਲਿਆਂ ਨੂੰ ਅਤੇ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੀ ਟੁੱਟ ਫੁੱਟ ਦੀ ਮੁਰੰਮਤ ਦੇ ਲਈ ਲੱਕੜ ਤੇ ਕੱਟੇ ਹੋਏ ਪੱਥਰ ਮੁੱਲ ਲੈਣ ਲਈ ਸਭ ਕੁਝ ਲਈ ਜੋ ਭਵਨ ਦੀ ਮੁਰੰਮਤ ਦੇ ਲਈ ਆਉਂਦਾ ਸੀ ਦੇ ਦਿੰਦੇ ਸਨ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 13] ਪਰ ਜੋ ਰੁਪਿਆ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਲਿਆਂਦਾ ਜਾਂਦਾ ਸੀ, ਉਹ ਦੇ ਵਿੱਚੋਂ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੇ ਲਈ ਚਾਂਦੀ ਦੇ ਪਿਆਲੇ, ਗੁਲਤਰਾਸ਼, ਬਾਟੇ, ਤੁਰ੍ਹੀਆਂ, ਸੋਨੇ ਦੇ ਭਾਂਡੇ ਜਾਂ ਚਾਂਦੀ ਦੇ ਭਾਂਡੇ ਨਾ ਬਣਾਏ ਗਏ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 14] ਕਿਉਂ ਜੋ ਉਹ ਕਾਰੀਗਰਾਂ ਨੂੰ ਦਿੰਦੇ ਹੁੰਦੇ ਸਨ, ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਨਾਲ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੀ ਮੁਰੰਮਤ ਕੀਤੀ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 15] ਜਿਨ੍ਹਾਂ ਆਦਮੀਆਂ ਦੇ ਹੱਥ ਵਿੱਚ ਉਹ ਕੰਮ ਕਰਨ ਵਾਲਿਆਂ ਨੂੰ ਦੇਣ ਲਈ ਰੁਪਿਆ ਦਿੰਦੇ ਸਨ, ਉਹਨਾਂ ਕੋਲੋਂ ਹਿਸਾਬ ਨਹੀਂ ਲੈਂਦੇ ਸਨ ਕਿਉਂ ਜੋ ਉਹ ਇਮਾਨਦਾਰੀ ਨਾਲ ਕੰਮ ਕਰਦੇ ਸਨ।
[IRV | PA | OT | 2 Kings | Chapter 12 | Verse 16] ਦੋਸ਼ ਦੀਆਂ ਬਲੀਆਂ ਦਾ ਰੁਪਿਆ ਅਤੇ ਪਾਪ ਦੀਆਂ ਬਲੀਆਂ ਦਾ ਰੁਪਿਆ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਨਹੀਂ ਲਿਆਇਆ ਜਾਂਦਾ ਸੀ, ਉਹ ਜਾਜਕਾਂ ਦਾ ਹੁੰਦਾ ਸੀ।
