[LXX | EL | OT | Malachi | Chapter 2 | Verse 1] Καὶ νῦν ἡ ἐντολὴ αὕτη πρὸς ὑμᾶς οἱ ἱερεῖς.
[LXX | EL | OT | Malachi | Chapter 2 | Verse 2] Ἐὰν μὴ ἀκούσητε, καὶ ἐὰν μὴ θῆσθε εἰς τὴν καρδίαν ὑμῶν, τοῦ δοῦναι δόξαν τῷ ὀνόματί μου, λέγει Κύριος παντοκράτωρ· καὶ ἐξαποστελῶ ἐφʼ ὑμᾶς τὴν κατάραν, καὶ ἐπικαταράσομαι τὴν εὐλογίαν ὑμῶν, καὶ καταράσομαι αὐτήν· καὶ διασκεδάσω τὴν εὐλογίαν ὑμῶν, καὶ οὐκ ἔσται ἐν ὑμῖν, ὅτι ὑμεῖς οὐ τίθεσθε εἰς τὴν καρδίαν ὑμῶν.
[LXX | EL | OT | Malachi | Chapter 2 | Verse 3] Ἰδοὺ ἐγὼ ἀφορίζω ὑμῖν τὸν ὦμον, καὶ σκορπιῶ ἔνυστρον ἐπὶ τὰ πρόσωπα ὑμῶν, ἔνυστρον ἑορτῶν, ὑμῶν, καὶ λήψομαι ὑμᾶς εἰς τὸ αὐτό·
[LXX | EL | OT | Malachi | Chapter 2 | Verse 4] Καὶ ἐπιγνώσεσθε διότι ἐγὼ ἐξαπέσταλκα πρὸς ὑμᾶς τὴν ἐντολὴν ταύτην, τοῦ εἶναι τὴν διαθήκην μου πρὸς τοὺς Λευίτας, λέγει Κύριος παντοκράτωρ.
[LXX | EL | OT | Malachi | Chapter 2 | Verse 5] Ἡ διαθήκη μου ἦν μετʼ αὐτοῦ τῆς ζωῆς καὶ τῆς εἰρήνης, καὶ ἔδωκα αὐτῷ ἐν φόβῳ φοβεῖσθαί με, καὶ ἀπὸ προσώπου ὀνόματός μου στέλλεσθαι αὐτόν·
[LXX | EL | OT | Malachi | Chapter 2 | Verse 6] νόμος ἀληθείας ἦν ἐν τῷ στόματι αὐτοῦ, καὶ ἀδικία οὐχ εὑρέθη ἐν χείλεσιν αὐτοῦ· ἐν εἰρήνῃ κατευθύνων ἐπορεύθη μετʼ ἐμοῦ, καὶ πολλοὺς ἐπέστρεψεν ἀπὸ ἀδικίας.
[LXX | EL | OT | Malachi | Chapter 2 | Verse 7] Ὅτι χείλη ἱερέως φυλάξεται γνῶσιν, καὶ νόμον ἐκζητήσουσιν ἐκ στόματος αὐτοῦ, διότι ἄγγελος Κυρίου παντοκράτορός ἐστιν.
[LXX | EL | OT | Malachi | Chapter 2 | Verse 8] Ὑμεῖς δὲ ἐξεκλίνατε ἐκ τῆς ὁδοῦ, καὶ ἠσθενήσατε πολλοὺς ἐν νόμῳ, διεφθείρατε τὴν διαθήκην τοῦ Λευὶ, λέγει Κύριος παντοκράτωρ.
[LXX | EL | OT | Malachi | Chapter 2 | Verse 9] Κᾀγὼ δέδωκα ὑμᾶς ἐξουδενωμένους καὶ ἀπεῤῥιμμένους εἰς πάντα τὰ ἔθνη, ἀνθʼ ὧν ὑμεῖς οὐκ ἐφυλάξασθε τὰς ὁδούς μου, ἀλλὰ ἐλαμβάνετε πρόσωπα ἐν νόμῳ.
[LXX | EL | OT | Malachi | Chapter 2 | Verse 10] Οὐχὶ πατὴρ εἷς πάντων ὑμῶν; οὐχὶ Θεὸς εἷς ἔκτισεν ὑμᾶς; τί ὅτι ἐγκατελίπετε ἕκαστος τὸν ἀδελφὸν αὐτοῦ, τοῦ βεβηλῶσαι τὴν διαθήκην τῶν πατέρων ὑμῶν;
[LXX | EL | OT | Malachi | Chapter 2 | Verse 11] Ἐνκατελείφθη Ἰούδας, καὶ βδέλυγμα ἐγένετο ἐν τῷ Ἰσραὴλ καὶ ἐν Ἱερουσαλὴμ, διότι ἐβεβήλωσεν Ἰούδας τὰ ἅγια Κυρίου, ἐν οἷς ἠγάπησε, καὶ ἐπετήδευσεν εἰς θεοὺς ἀλλοτρίους.
