[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 1] Do not say sharp words to one who has authority in the church, but let your talk be as to a father, and to the younger men as to brothers:
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 2] To the older women as to mothers, to the younger as to sisters, with a clean heart.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 3] Give honour to widows who are truly widows.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 4] But if any widow has children or children's children, let these see that it is right to take care of their family and their fathers and mothers: for this is pleasing in the eyes of God.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 5] Now she who is truly a widow and without family puts her hope in God, giving herself to prayer day and night.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 6] But she who gives herself to pleasure is dead while she is living.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 7] Give orders to this effect, so that no evil may be said of anyone.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 8] If anyone has no care for his family and those in his house, he is false to the faith, and is worse than one who has no faith.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 9] Let no woman be numbered among the widows who is under sixty years old, and only if she has been the wife of one man,
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 10] And if witness is given of her good works; if she has had the care of children, if she has been kind to travellers, washing the feet of the saints, helping those who are in trouble, giving herself to good works.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 11] But to the younger widows say No: for when their love is turned away from Christ, they have a desire to be married;
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 12] And they are judged because they have been false to their first faith;
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 13] And they get into the way of doing no work, going about from house to house; and not only doing no work, but talking foolishly, being over-interested in the business of others, saying things which they have no right to say.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 14] So it is my desire that the younger widows may be married and have children, controlling their families, and giving the Evil One no chance to say anything against them,
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 15] For even now some are turned away to Satan.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 16] If any woman of the faith has relations who are widows, let her give them help, so that the care of them does not come on the church, and so it may give help to those who are truly widowed.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 17] Let rulers whose rule is good be honoured twice over, specially those whose work is preaching and teaching.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 18] For the Writings say, It is not right to keep the ox from taking the grain when he is crushing it. And, The worker has a right to his reward.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 19] Do not take as true any statement made against one in authority, but only if two or three give witness to it.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 20] Say sharp words to sinners when all are present, so that the rest may be in fear.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 21] I give you orders before God and Christ Jesus and the angels of God's selection, to keep these orders without giving thought to one side more than another.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 22] Do not put hands on any man without thought, and have no part in other men's sins: keep yourself clean.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 23] Do not take only water as your drink, but take a little wine for the good of your stomach, and because you are frequently ill.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 24] The sins of some men are clearly seen, going before them to be judged; but with others, their sins go after them.
[BBE | EN | NT | 1 Timothy | Chapter 5 | Verse 25] In the same way, there are good works which are clearly seen; and those which are not so, may not be kept secret.
