[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 1] And king Astyages was gathered to his fathers, and Cyrus of Persia received his kingdom.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 2] And Daniel conversed with the king, and was honoured above all his friends.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 3] Now the Babylonians had an idol, called Bel, and there were spent upon him every day twelve great measures of fine flour, and forty sheep, and six vessels of wine.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 4] And the king worshipped it, and went daily to adore it: but Daniel worshipped his own God. And the king said unto him, Why dost not thou worship Bel?
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 5] Who answered and said, Because I may not worship idols made with hands, but the living God, who hath created the heaven and the earth, and hath sovereignty over all flesh.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 6] Then said the king unto him, Thinkest thou not that Bel is a living god? seest thou not how much he eateth and drinketh every day?
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 7] Then Daniel smiled, and said, O king, be not deceived: for this is but clay within, and brass without, and did never eat or drink any thing.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 8] So the king was wroth, and called for his priests, and said unto them, If ye tell me not who this is that devoureth these expences, ye shall die.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 9] But if ye can certify me that Bel devoureth them, then Daniel shall die: for he hath spoken blasphemy against Bel. And Daniel said unto the king, Let it be according to thy word.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 10] Now the priests of Bel were threescore and ten, beside their wives and children: and the king went with Daniel into the temple of Bel.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 11] So Bel’s priests said, Lo, we go out: but thou, O king, set on the meat, and make ready the wine, and shut the door fast, and seal it with thine own signet;
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 12] and to morrow when thou comest in, if thou findest not that Bel hath eaten up all, we will suffer death; or else Daniel, that speaketh falsely against us.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 13] And they little regarded it: for under the table they had made a privy entrance, whereby they entered in continually, and consumed those things.
