[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 1] నేను క్రీస్తులాగా ప్రవర్తిస్తున్న ప్రకారం మీరూ నాలాగా ఉండండి.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 2] మీరు అన్ని విషయాల్లో నన్ను జ్ఞాపకం చేసుకుంటూ, నేను మీకు ఉపదేశించిన పద్ధతులను అనుసరిస్తున్నారని మిమ్మల్ని మెచ్చుకొంటున్నాను.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 3] మీరు తెలుసుకోవలసింది ఏమంటే, పురుషునికి శిరస్సు క్రీస్తు. స్త్రీకి శిరస్సు పురుషుడు. క్రీస్తుకు శిరస్సు దేవుడు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 4] తన తల కప్పుకుని ప్రార్థన చేసే పురుషుడు తన తలను అవమానపరచినట్టే.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 5] తన తల కప్పుకోకుండా ప్రార్థన చేసే, లేక ప్రవచించే స్త్రీ తన తల అవమానపరచినట్టే. ఎందుకంటే అది ఆమె తల గొరిగించుకున్న దానితో సమానం.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 6] తన తల కప్పుకోని స్త్రీ తన తలవెంట్రుకలు కత్తిరించుకోవాలి. అలా కత్తిరించుకోవడం, లేక పూర్తిగా వెంట్రుకలు తీసివేయడం ఆమెకు అవమానమైతే ఆమె తల కప్పుకోవాలి.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 7] పురుషుడు దేవుని పోలిక, ఆయన మహిమ. కాబట్టి అతడు తన తల కప్పుకోకూడదు. స్త్రీ పురుషుని మహిమ.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 8] అదెలాగంటే, స్త్రీ పురుషుని నుండి కలిగింది గాని పురుషుడు స్త్రీ నుండి కలగలేదు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 9] స్త్రీని పురుషుని కోసం సృష్టించడం జరిగింది గాని పురుషుణ్ణి స్త్రీ కోసం కాదు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 10] కాబట్టి దేవదూతల కారణంగా స్త్రీకి తల మీద ఒక అధికార సూచన ఉండాలి.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 11] అయితే ప్రభువులో స్త్రీకి వేరుగా పురుషుడు, పురుషునికి వేరుగా స్త్రీ ఉండరు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 12] ఏ విధంగా స్త్రీ పురుషుని నుండి కలిగిందో, అలాగే పురుషుడు స్త్రీ మూలంగా కలిగాడు. అయితే సమస్తమూ దేవునినుండే కలుగుతాయి.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 13] మీరే చెప్పండి. స్త్రీ తల కప్పుకోకుండా దేవునికి ప్రార్థన చేయడం సరైనదేనా?
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 14] పురుషుడు తల వెంట్రుకలు పెంచుకోవడం అతనికి అవమానమని సహజంగా మీకు అనిపించడం లేదా?
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 15] దేవుడు స్త్రీకి తల వెంట్రుకలు పైటచెంగుగా ఇచ్చాడు కాబట్టి ఆమె వాటిని పెంచుకోవడం ఆమెకు ఘనత అని మీకు స్వతహాగా తెలుసు కదా!
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 16] ఈ విషయంలో వేరే వాదనలు చేసేవాడు, మాలో గానీ, దేవుని సంఘంలో గానీ దీనికి వ్యతిరేకంగా వేరొకఅభిప్రాయం లేదని తెలుసుకోవాలి.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 17] మీకు ఈ క్రింది ఆజ్ఞనిస్తూ మిమ్మల్నేమీ మెచ్చుకోవడం లేదు. ఎందుకంటే మీరు సమావేశం కావడం ఎక్కువ కీడుకే కారణమౌతున్నది గానీ మేలుకు కాదు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 18] మొదటి సంగతి, మీరు సమావేశమైనప్పుడు మీలో తగాదాలు ఉన్నాయని వింటున్నాను. కొంతమట్టుకు ఇది నిజమే అనిపిస్తుంది.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 19] మీలో నిజంగా యోగ్యులు ఎవరో తెలియాలంటే మీలో భిన్నాభిప్రాయాలు ఉండవలసిందే.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 20] మీరంతా సమావేశమై కలిసి తినేది ప్రభు రాత్రి భోజనం కాదు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 21] ఎందుకంటే మీరు ఆ భోజనం తినేటప్పుడు ఒకడికంటే ఒకడు ముందుగా తన మట్టుకు తానే తింటున్నాడు. దీనివలన ఒకడు ఆకలితో ఉండగానే ఇంకొకడు బాగా తిని తాగి మత్తులో మునిగిపోతాడు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 22] ఏమిటిది? తిని తాగడానికి మీకు ఇళ్ళు లేవా? దేవుని సంఘాన్ని చిన్నచూపు చూస్తూ లేని వారిని చిన్నచూపు చూస్తూ? మీతో ఏమి చెప్పాలి? మిమ్మల్ని మెచ్చుకోమంటారా? ఈ విషయంలో మిమ్మల్ని మెచ్చుకోలేను.
