[GNV | EN | OT | Joel | Chapter 2 | Verse 1] Blowe the trumpet in Zion, and shoute in mine holy mountaine: let all the inhabitants of the lande tremble: for the day of the Lord is come: for it is at hand.
[GNV | EN | OT | Joel | Chapter 2 | Verse 2] A day of darkenesse, and of blacknesse, a day of cloudes, and obscuritie, as the morning spred vpon the mountaines, so is there a great people, and a mighty: there was none like it from the beginning, neither shalbe any more after it, vnto the yeeres of many generations.
[GNV | EN | OT | Joel | Chapter 2 | Verse 3] A fire deuoureth before him, and behinde him a flame burneth vp: the land is as the garden of Eden before him, and behinde him a desolate wildernesse, so that nothing shall escape him.
[GNV | EN | OT | Joel | Chapter 2 | Verse 4] The beholding of him is like the sight of horses, and like the horsemen, so shall they runne.
[GNV | EN | OT | Joel | Chapter 2 | Verse 5] Like the noyse of charrets in the toppes of the mountaines shall they leape, like the noyse of a flame of fire that deuoureth the stubble, and as a mightie people prepared to the battel.
[GNV | EN | OT | Joel | Chapter 2 | Verse 6] Before his face shall the people tremble: all faces shall gather blackenesse.
[GNV | EN | OT | Joel | Chapter 2 | Verse 7] They shall runne like strong men, and goe vp to the wall like men of warre, and euery man shall goe forward in his wayes, and they shall not stay in their paths.
[GNV | EN | OT | Joel | Chapter 2 | Verse 8] Neither shall one thrust another, but euery one shall walke in his path: and when they fall vpon the sword, they shall not be wounded.
[GNV | EN | OT | Joel | Chapter 2 | Verse 9] They shall runne to and from in the citie: they shall runne vpon the wall: they shall clime vp vpon the houses, and enter in at ye windowes like ye thiefe.
[GNV | EN | OT | Joel | Chapter 2 | Verse 10] The earth shall tremble before him, ye heauens shall shake, the sunne and the moone shalbe darke, and the starres shall withdraw their shining,
[GNV | EN | OT | Joel | Chapter 2 | Verse 11] And the Lord shall vtter his voyce before his hoste: for his hoste is very great: for he is strog that doeth his word: for the day of the Lord is great and very terrible, and who can abide it?
[GNV | EN | OT | Joel | Chapter 2 | Verse 12] Therefore also now the Lord sayth, Turne you vnto me with all your heart, and with fasting, and with weeping, and with mourning,
[GNV | EN | OT | Joel | Chapter 2 | Verse 13] And rent your heart, and not your clothes: and turne vnto the Lord your God, for he is gratious, and mercifull, slowe to anger, and of great kindnes, and repenteth him of the euill.
[GNV | EN | OT | Joel | Chapter 2 | Verse 14] Who knoweth, is he wil returne and repent and leaue a blessing behinde him, euen a meate offring, and a drinke offring vnto ye Lord your God?
[GNV | EN | OT | Joel | Chapter 2 | Verse 15] Blowe the trumpet in Zion, sanctifie a fast, call a solemne assembly.
[GNV | EN | OT | Joel | Chapter 2 | Verse 16] Gather the people: sanctifie the congregation, gather the elders: assemble the children, and those that sucke the breastes: let the bridegrome go forth of his chamber, and the bride out of her bride chamber.
[GNV | EN | OT | Joel | Chapter 2 | Verse 17] Let the Priestes, the ministers of the Lord weepe betweene the porch and the altar, and let them say, Spare thy people, O Lord, and giue not thine heritage into reproche that the heathen should rule ouer them. Wherefore should they say among the people, Where is their God?
[GNV | EN | OT | Joel | Chapter 2 | Verse 18] Then will the Lord be ielous ouer his land, and spare his people.
[GNV | EN | OT | Joel | Chapter 2 | Verse 19] Yea, the Lord wil answere and say vnto his people, Beholde, I will send you corne, and wine, and oyle, and you shalbe satisfied therewith: and I will no more make you a reproche among the heathen,
[GNV | EN | OT | Joel | Chapter 2 | Verse 20] But I will remooue farre off from you the Northren armie, and I will driue him into a land, barren and desolate with his face toward the East sea, and his end to the vtmost sea, and his stinke shall come vp, and his corruption shall ascend, because he hath exalted himselfe to do this.
[GNV | EN | OT | Joel | Chapter 2 | Verse 21] Feare not, O land, but be glad, and reioyce: for the Lord wil do great things.
[GNV | EN | OT | Joel | Chapter 2 | Verse 22] Be not afrayde, ye beastes of the fielde: for the pastures of the wildernesse are greene: for the tree beareth her fruite: the figge tree and the vine do giue their force.
[GNV | EN | OT | Joel | Chapter 2 | Verse 23] Be glad then, ye children of Zion, and reioyce in the Lord your God: for he hath giuen you the rayne of righteousnes, he wil cause to come downe for you the rayne, euen the first raine, and the latter raine in the first moneth.
[GNV | EN | OT | Joel | Chapter 2 | Verse 24] And the barnes shalbe full of wheate, and the presses shall abound with wine and oyle.
[GNV | EN | OT | Joel | Chapter 2 | Verse 25] And I will render you the yeeres that the grashopper hath eaten, the canker worme and the caterpiller and the palmer worme, my great hoste which I sent among you.
[GNV | EN | OT | Joel | Chapter 2 | Verse 26] So you shall eate and be satisfied and praise the Name of the Lord your God, that hath dealt marueilously with you: and my people shall neuer be ashamed.
[GNV | EN | OT | Joel | Chapter 2 | Verse 27] Ye shall also know, that I am in the middes of Israel, and that I am the Lord your God and none other, and my people shall neuer be ashamed.
