[WEB | EN | NT | Philippians | Chapter 4 | Verse 1] Therefore, my brothers, beloved and longed for, my joy and crown, stand firm in the Lord in this way, my beloved.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 2] I exhort Euodia, and I exhort Syntyche, to think the same way in the Lord.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 3] Yes, I beg you also, true partner, help these women, for they labored with me in the Good News with Clement also, and the rest of my fellow workers, whose names are in the book of life.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 4] Rejoice in the Lord always! Again I will say, “Rejoice!”
[WEB | EN | NT | Philippians | Chapter 4 | Verse 5] Let your gentleness be known to all men. The Lord is at hand.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 6] In nothing be anxious, but in everything, by prayer and petition with thanksgiving, let your requests be made known to God.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 7] And the peace of God, which surpasses all understanding, will guard your hearts and your thoughts in Christ Jesus.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 8] Finally, brothers, whatever things are true, whatever things are honorable, whatever things are just, whatever things are pure, whatever things are lovely, whatever things are of good report: if there is any virtue and if there is anything worthy of praise, think about these things.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 9] Do the things which you learned, received, heard, and saw in me, and the God of peace will be with you.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 10] But I rejoice in the Lord greatly that now at length you have revived your thought for me; in which you did indeed take thought, but you lacked opportunity.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 11] Not that I speak because of lack, for I have learned in whatever state I am, to be content in it.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 12] I know how to be humbled, and I also know how to abound. In any and all circumstances I have learned the secret both to be filled and to be hungry, both to abound and to be in need.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 13] I can do all things through Christ who strengthens me.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 14] However you did well that you shared in my affliction.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 15] You yourselves also know, you Philippians, that in the beginning of the Good News, when I departed from Macedonia, no assembly shared with me in the matter of giving and receiving but you only.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 16] For even in Thessalonica you sent once and again to my need.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 17] Not that I seek for the gift, but I seek for the fruit that increases to your account.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 18] But I have all things and abound. I am filled, having received from Epaphroditus the things that came from you, a sweet-smelling fragrance, an acceptable and well-pleasing sacrifice to God.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 19] My God will supply every need of yours according to his riches in glory in Christ Jesus.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 20] Now to our God and Father be the glory forever and ever! Amen.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 21] Greet every saint in Christ Jesus. The brothers who are with me greet you.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 22] All the saints greet you, especially those who are of Caesar’s household.
[WEB | EN | NT | Philippians | Chapter 4 | Verse 23] The grace of the Lord Jesus Christ be with you all. Amen.
