[BSB | EN | NT | John | Chapter 5 | Verse 1] Some time later there was a feast of the Jews, and Jesus went up to Jerusalem.
[BSB | EN | NT | John | Chapter 5 | Verse 2] Now there is in Jerusalem near the Sheep Gate a pool with five covered colonnades, which in Hebrew is called Bethesda.
[BSB | EN | NT | John | Chapter 5 | Verse 3] On these walkways lay a great number of the sick, the blind, the lame, and the paralyzed.
[BSB | EN | NT | John | Chapter 5 | Verse 5] One man there had been an invalid for thirty-eight years.
[BSB | EN | NT | John | Chapter 5 | Verse 6] When Jesus saw him lying there and realized that he had spent a long time in this condition, He asked him, “Do you want to get well?”
[BSB | EN | NT | John | Chapter 5 | Verse 7] “Sir,” the invalid replied, “I have no one to help me into the pool when the water is stirred. While I am on my way, someone else goes in before me.”
[BSB | EN | NT | John | Chapter 5 | Verse 8] Then Jesus told him, “Get up, pick up your mat, and walk.”
[BSB | EN | NT | John | Chapter 5 | Verse 9] Immediately the man was made well, and he picked up his mat and began to walk. Now this happened on the Sabbath day,
[BSB | EN | NT | John | Chapter 5 | Verse 10] so the Jews said to the man who had been healed, “This is the Sabbath! It is unlawful for you to carry your mat.”
[BSB | EN | NT | John | Chapter 5 | Verse 11] But he answered, “The man who made me well told me, ‘Pick up your mat and walk.’”
[BSB | EN | NT | John | Chapter 5 | Verse 12] “Who is this man who told you to pick it up and walk?” they asked.
[BSB | EN | NT | John | Chapter 5 | Verse 13] But the man who was healed did not know who it was, for Jesus had slipped away while the crowd was there.
[BSB | EN | NT | John | Chapter 5 | Verse 14] Afterward, Jesus found the man at the temple and said to him, “See, you have been made well. Stop sinning, or something worse may happen to you.”
[BSB | EN | NT | John | Chapter 5 | Verse 15] And the man went away and told the Jews that it was Jesus who had made him well.
[BSB | EN | NT | John | Chapter 5 | Verse 16] Now because Jesus was doing these things on the Sabbath, the Jews began to persecute Him.
[BSB | EN | NT | John | Chapter 5 | Verse 17] But Jesus answered them, “To this very day My Father is at His work, and I too am working.”
[BSB | EN | NT | John | Chapter 5 | Verse 18] Because of this, the Jews tried all the harder to kill Him. Not only was He breaking the Sabbath, but He was even calling God His own Father, making Himself equal with God.
[BSB | EN | NT | John | Chapter 5 | Verse 19] So Jesus replied, “Truly, truly, I tell you, the Son can do nothing by Himself, unless He sees the Father doing it. For whatever the Father does, the Son also does.
[BSB | EN | NT | John | Chapter 5 | Verse 20] The Father loves the Son and shows Him all He does. And to your amazement, He will show Him even greater works than these.
[BSB | EN | NT | John | Chapter 5 | Verse 21] For just as the Father raises the dead and gives them life, so also the Son gives life to whom He wishes.
[BSB | EN | NT | John | Chapter 5 | Verse 22] Furthermore, the Father judges no one, but has assigned all judgment to the Son,
[BSB | EN | NT | John | Chapter 5 | Verse 23] so that all may honor the Son just as they honor the Father. Whoever does not honor the Son does not honor the Father who sent Him.
[BSB | EN | NT | John | Chapter 5 | Verse 24] Truly, truly, I tell you, whoever hears My word and believes Him who sent Me has eternal life and will not come under judgment. Indeed, he has crossed over from death to life.
[BSB | EN | NT | John | Chapter 5 | Verse 25] Truly, truly, I tell you, the hour is coming and has now come when the dead will hear the voice of the Son of God, and those who hear will live.
