[BSB | EN | NT | John | Chapter 20 | Verse 1] Early on the first day of the week, while it was still dark, Mary Magdalene went to the tomb and saw that the stone had been removed from the entrance.
[BSB | EN | NT | John | Chapter 20 | Verse 2] So she came running to Simon Peter and the other disciple, the one whom Jesus loved. “They have taken the Lord out of the tomb,” she said, “and we do not know where they have put Him!”
[BSB | EN | NT | John | Chapter 20 | Verse 3] Then Peter and the other disciple set out for the tomb.
[BSB | EN | NT | John | Chapter 20 | Verse 4] The two were running together, but the other disciple outran Peter and reached the tomb first.
[BSB | EN | NT | John | Chapter 20 | Verse 5] He bent down and looked in at the linen cloths lying there, but he did not go in.
[BSB | EN | NT | John | Chapter 20 | Verse 6] Simon Peter arrived just after him. He entered the tomb and saw the linen cloths lying there.
[BSB | EN | NT | John | Chapter 20 | Verse 7] The cloth that had been around Jesus’ head was rolled up, lying separate from the linen cloths.
[BSB | EN | NT | John | Chapter 20 | Verse 8] Then the other disciple, who had reached the tomb first, also went in. And he saw and believed.
[BSB | EN | NT | John | Chapter 20 | Verse 9] For they still did not understand from the Scripture that Jesus had to rise from the dead.
[BSB | EN | NT | John | Chapter 20 | Verse 10] Then the disciples returned to their homes.
[BSB | EN | NT | John | Chapter 20 | Verse 11] But Mary stood outside the tomb weeping. And as she wept, she bent down to look into the tomb,
[BSB | EN | NT | John | Chapter 20 | Verse 12] and she saw two angels in white sitting where the body of Jesus had lain, one at the head and the other at the feet.
[BSB | EN | NT | John | Chapter 20 | Verse 13] “Woman, why are you weeping?” they asked. “Because they have taken my Lord away,” she said, “and I do not know where they have put Him.”
[BSB | EN | NT | John | Chapter 20 | Verse 14] When she had said this, she turned around and saw Jesus standing there; but she did not recognize that it was Jesus.
[BSB | EN | NT | John | Chapter 20 | Verse 15] “Woman, why are you weeping?” Jesus asked. “Whom are you seeking?” Thinking He was the gardener, she said, “Sir, if you have carried Him off, tell me where you have put Him, and I will get Him.”
[BSB | EN | NT | John | Chapter 20 | Verse 16] Jesus said to her, “Mary.” She turned and said to Him in Hebrew, “Rabboni!” (which means “Teacher”).
[BSB | EN | NT | John | Chapter 20 | Verse 17] “Do not cling to Me,” Jesus said, “for I have not yet ascended to the Father. But go and tell My brothers, ‘I am ascending to My Father and your Father, to My God and your God.’”
[BSB | EN | NT | John | Chapter 20 | Verse 18] Mary Magdalene went and announced to the disciples, “I have seen the Lord!” And she told them what He had said to her.
[BSB | EN | NT | John | Chapter 20 | Verse 19] It was the first day of the week, and that very evening, while the disciples were together with the doors locked for fear of the Jews, Jesus came and stood among them. “Peace be with you!” He said to them.
[BSB | EN | NT | John | Chapter 20 | Verse 20] After He had said this, He showed them His hands and His side. The disciples rejoiced when they saw the Lord.
[BSB | EN | NT | John | Chapter 20 | Verse 21] Again Jesus said to them, “Peace be with you. As the Father has sent Me, so also I am sending you.”
[BSB | EN | NT | John | Chapter 20 | Verse 22] When He had said this, He breathed on them and said, “Receive the Holy Spirit.
[BSB | EN | NT | John | Chapter 20 | Verse 23] If you forgive anyone his sins, they are forgiven; if you withhold forgiveness from anyone, it is withheld.”
[BSB | EN | NT | John | Chapter 20 | Verse 24] Now Thomas called Didymus, one of the Twelve, was not with the disciples when Jesus came.
[BSB | EN | NT | John | Chapter 20 | Verse 25] So the other disciples told him, “We have seen the Lord!” But he replied, “Unless I see the nail marks in His hands, and put my finger where the nails have been, and put my hand into His side, I will never believe.”
[BSB | EN | NT | John | Chapter 20 | Verse 26] Eight days later, His disciples were once again inside with the doors locked, and Thomas was with them. Jesus came and stood among them and said, “Peace be with you.”
[BSB | EN | NT | John | Chapter 20 | Verse 27] Then Jesus said to Thomas, “Put your finger here and look at My hands. Reach out your hand and put it into My side. Stop doubting and believe.”
[BSB | EN | NT | John | Chapter 20 | Verse 28] Thomas replied, “My Lord and my God!”
[BSB | EN | NT | John | Chapter 20 | Verse 29] Jesus said to him, “Because you have seen Me, you have believed; blessed are those who have not seen and yet have believed.”
[BSB | EN | NT | John | Chapter 20 | Verse 30] Jesus performed many other signs in the presence of His disciples, which are not written in this book.
[BSB | EN | NT | John | Chapter 20 | Verse 31] But these are written so that you may believe that Jesus is the Christ, the Son of God, and that by believing you may have life in His name.
