[BSB | EN | NT | John | Chapter 12 | Verse 1] Six days before the Passover, Jesus came to Bethany, the hometown of Lazarus, whom He had raised from the dead.
[BSB | EN | NT | John | Chapter 12 | Verse 2] So they hosted a dinner for Jesus there. Martha served, and Lazarus was among those reclining at the table with Him.
[BSB | EN | NT | John | Chapter 12 | Verse 3] Then Mary took about a pint of expensive perfume, made of pure nard, and she anointed Jesus’ feet and wiped them with her hair. And the house was filled with the fragrance of the perfume.
[BSB | EN | NT | John | Chapter 12 | Verse 4] But one of His disciples, Judas Iscariot, who was going to betray Him, asked,
[BSB | EN | NT | John | Chapter 12 | Verse 5] “Why wasn’t this perfume sold for three hundred denarii and the money given to the poor?”
[BSB | EN | NT | John | Chapter 12 | Verse 6] Judas did not say this because he cared about the poor, but because he was a thief. As keeper of the money bag, he used to take from what was put into it.
[BSB | EN | NT | John | Chapter 12 | Verse 7] “Leave her alone,” Jesus replied. “She has kept this perfume in preparation for the day of My burial.
[BSB | EN | NT | John | Chapter 12 | Verse 8] The poor you will always have with you, but you will not always have Me.”
[BSB | EN | NT | John | Chapter 12 | Verse 9] Meanwhile a large crowd of Jews learned that Jesus was there. And they came not only because of Him, but also to see Lazarus, whom He had raised from the dead.
[BSB | EN | NT | John | Chapter 12 | Verse 10] So the chief priests made plans to kill Lazarus as well,
[BSB | EN | NT | John | Chapter 12 | Verse 11] for on account of him many of the Jews were deserting them and believing in Jesus.
[BSB | EN | NT | John | Chapter 12 | Verse 12] The next day the great crowd that had come to the feast heard that Jesus was coming to Jerusalem.
[BSB | EN | NT | John | Chapter 12 | Verse 13] They took palm branches and went out to meet Him, shouting: “Hosanna!” “Blessed is He who comes in the name of the Lord!” “Blessed is the King of Israel!”
[BSB | EN | NT | John | Chapter 12 | Verse 14] Finding a young donkey, Jesus sat on it, as it is written:
[BSB | EN | NT | John | Chapter 12 | Verse 15] “Do not be afraid, O Daughter of Zion. See, your King is coming, seated on the colt of a donkey.”
