[BSB | EN | NT | John | Chapter 17 | Verse 1] When Jesus had spoken these things, He lifted up His eyes to heaven and said, “Father, the hour has come. Glorify Your Son, that Your Son may glorify You.
[BSB | EN | NT | John | Chapter 17 | Verse 2] For You granted Him authority over all people, so that He may give eternal life to all those You have given Him.
[BSB | EN | NT | John | Chapter 17 | Verse 3] Now this is eternal life, that they may know You, the only true God, and Jesus Christ, whom You have sent.
[BSB | EN | NT | John | Chapter 17 | Verse 4] I have glorified You on earth by accomplishing the work You gave Me to do.
[BSB | EN | NT | John | Chapter 17 | Verse 5] And now, Father, glorify Me in Your presence with the glory I had with You before the world existed.
[BSB | EN | NT | John | Chapter 17 | Verse 6] I have revealed Your name to those You have given Me out of the world. They were Yours; You gave them to Me, and they have kept Your word.
[BSB | EN | NT | John | Chapter 17 | Verse 7] Now they know that everything You have given Me comes from You.
[BSB | EN | NT | John | Chapter 17 | Verse 8] For I have given them the words You gave Me, and they have received them. They knew with certainty that I came from You, and they believed that You sent Me.
[BSB | EN | NT | John | Chapter 17 | Verse 9] I ask on their behalf. I do not ask on behalf of the world, but on behalf of those You have given Me; for they are Yours.
[BSB | EN | NT | John | Chapter 17 | Verse 10] All I have is Yours, and all You have is Mine; and in them I have been glorified.
[BSB | EN | NT | John | Chapter 17 | Verse 11] I will no longer be in the world, but they are in the world, and I am coming to You. Holy Father, protect them by Your name, the name You gave Me, so that they may be one as We are one.
[BSB | EN | NT | John | Chapter 17 | Verse 12] While I was with them, I protected and preserved them by Your name, the name You gave Me. Not one of them has been lost, except the son of destruction, so that the Scripture would be fulfilled.
[BSB | EN | NT | John | Chapter 17 | Verse 13] But now I am coming to You; and I am saying these things while I am in the world, so that they may have My joy fulfilled within them.
[BSB | EN | NT | John | Chapter 17 | Verse 14] I have given them Your word and the world has hated them; for they are not of the world, just as I am not of the world.
[BSB | EN | NT | John | Chapter 17 | Verse 15] I am not asking that You take them out of the world, but that You keep them from the evil one.
[BSB | EN | NT | John | Chapter 17 | Verse 16] They are not of the world, just as I am not of the world.
[BSB | EN | NT | John | Chapter 17 | Verse 17] Sanctify them by the truth; Your word is truth.
[BSB | EN | NT | John | Chapter 17 | Verse 18] As You sent Me into the world, I have also sent them into the world.
[BSB | EN | NT | John | Chapter 17 | Verse 19] For them I sanctify Myself, so that they too may be sanctified by the truth.
[BSB | EN | NT | John | Chapter 17 | Verse 20] I am not asking on behalf of them alone, but also on behalf of those who will believe in Me through their message,
[BSB | EN | NT | John | Chapter 17 | Verse 21] that all of them may be one, as You, Father, are in Me, and I am in You. May they also be in Us, so that the world may believe that You sent Me.
[BSB | EN | NT | John | Chapter 17 | Verse 22] I have given them the glory You gave Me, so that they may be one as We are one—
[BSB | EN | NT | John | Chapter 17 | Verse 23] I in them and You in Me—that they may be perfectly united, so that the world may know that You sent Me and have loved them just as You have loved Me.
[BSB | EN | NT | John | Chapter 17 | Verse 24] Father, I want those You have given Me to be with Me where I am, that they may see the glory You gave Me because You loved Me before the foundation of the world.
[BSB | EN | NT | John | Chapter 17 | Verse 25] Righteous Father, although the world has not known You, I know You, and they know that You sent Me.
[BSB | EN | NT | John | Chapter 17 | Verse 26] And I have made Your name known to them and will continue to make it known, so that the love You have for Me may be in them, and I in them.”
