[BSB | EN | NT | John | Chapter 3 | Verse 1] Now there was a man of the Pharisees named Nicodemus, a leader of the Jews.
[BSB | EN | NT | John | Chapter 3 | Verse 2] He came to Jesus at night and said, “Rabbi, we know that You are a teacher who has come from God. For no one could perform the signs You are doing if God were not with him.”
[BSB | EN | NT | John | Chapter 3 | Verse 3] Jesus replied, “Truly, truly, I tell you, no one can see the kingdom of God unless he is born again.”
[BSB | EN | NT | John | Chapter 3 | Verse 4] “How can a man be born when he is old?” Nicodemus asked. “Can he enter his mother’s womb a second time to be born?”
[BSB | EN | NT | John | Chapter 3 | Verse 5] Jesus answered, “Truly, truly, I tell you, no one can enter the kingdom of God unless he is born of water and the Spirit.
[BSB | EN | NT | John | Chapter 3 | Verse 6] Flesh is born of flesh, but spirit is born of the Spirit.
[BSB | EN | NT | John | Chapter 3 | Verse 7] Do not be amazed that I said, ‘You must be born again.’
[BSB | EN | NT | John | Chapter 3 | Verse 8] The wind blows where it wishes. You hear its sound, but you do not know where it comes from or where it is going. So it is with everyone born of the Spirit.”
[BSB | EN | NT | John | Chapter 3 | Verse 9] “How can this be?” Nicodemus asked.
[BSB | EN | NT | John | Chapter 3 | Verse 10] “You are Israel’s teacher,” said Jesus, “and you do not understand these things?
[BSB | EN | NT | John | Chapter 3 | Verse 11] Truly, truly, I tell you, we speak of what we know, and we testify to what we have seen, and yet you people do not accept our testimony.
[BSB | EN | NT | John | Chapter 3 | Verse 12] If I have told you about earthly things and you do not believe, how will you believe if I tell you about heavenly things?
[BSB | EN | NT | John | Chapter 3 | Verse 13] No one has ascended into heaven except the One who descended from heaven—the Son of Man.
[BSB | EN | NT | John | Chapter 3 | Verse 14] Just as Moses lifted up the snake in the wilderness, so the Son of Man must be lifted up,
[BSB | EN | NT | John | Chapter 3 | Verse 15] that everyone who believes in Him may have eternal life.
[BSB | EN | NT | John | Chapter 3 | Verse 16] For God so loved the world that He gave His one and only Son, that everyone who believes in Him shall not perish but have eternal life.
[BSB | EN | NT | John | Chapter 3 | Verse 17] For God did not send His Son into the world to condemn the world, but to save the world through Him.
[BSB | EN | NT | John | Chapter 3 | Verse 18] Whoever believes in Him is not condemned, but whoever does not believe has already been condemned, because he has not believed in the name of God’s one and only Son.
[BSB | EN | NT | John | Chapter 3 | Verse 19] And this is the verdict: The Light has come into the world, but men loved the darkness rather than the Light because their deeds were evil.
[BSB | EN | NT | John | Chapter 3 | Verse 20] Everyone who does evil hates the Light, and does not come into the Light for fear that his deeds will be exposed.
[BSB | EN | NT | John | Chapter 3 | Verse 21] But whoever practices the truth comes into the Light, so that it may be seen clearly that what he has done has been accomplished in God.”
[BSB | EN | NT | John | Chapter 3 | Verse 22] After this, Jesus and His disciples went into the Judean countryside, where He spent some time with them and baptized.
[BSB | EN | NT | John | Chapter 3 | Verse 23] Now John was also baptizing at Aenon near Salim, because the water was plentiful there, and people kept coming to be baptized.
[BSB | EN | NT | John | Chapter 3 | Verse 24] (For John had not yet been thrown into prison.)
[BSB | EN | NT | John | Chapter 3 | Verse 25] Then a dispute arose between John’s disciples and a certain Jew over the issue of ceremonial washing.
[BSB | EN | NT | John | Chapter 3 | Verse 26] So John’s disciples came to him and said, “Look, Rabbi, the One who was with you beyond the Jordan, the One you testified about—He is baptizing, and everyone is going to Him.”
[BSB | EN | NT | John | Chapter 3 | Verse 27] John replied, “A man can receive only what is given him from heaven.
[BSB | EN | NT | John | Chapter 3 | Verse 28] You yourselves can testify that I said, ‘I am not the Christ, but am sent ahead of Him.’
[BSB | EN | NT | John | Chapter 3 | Verse 29] The bride belongs to the bridegroom. The friend of the bridegroom stands and listens for him, and is overjoyed to hear the bridegroom’s voice. That joy is mine, and it is now complete.
[BSB | EN | NT | John | Chapter 3 | Verse 30] He must increase; I must decrease.
[BSB | EN | NT | John | Chapter 3 | Verse 31] The One who comes from above is above all. The one who is from the earth belongs to the earth and speaks as one from the earth. The One who comes from heaven is above all.
[BSB | EN | NT | John | Chapter 3 | Verse 32] He testifies to what He has seen and heard, yet no one accepts His testimony.
[BSB | EN | NT | John | Chapter 3 | Verse 33] Whoever accepts His testimony has certified that God is truthful.
[BSB | EN | NT | John | Chapter 3 | Verse 34] For the One whom God has sent speaks the words of God, for God gives the Spirit without limit.
[BSB | EN | NT | John | Chapter 3 | Verse 35] The Father loves the Son and has placed all things in His hands.
[BSB | EN | NT | John | Chapter 3 | Verse 36] Whoever believes in the Son has eternal life. Whoever rejects the Son will not see life. Instead, the wrath of God remains on him.”
