[IRV | MR | OT | Leviticus | Chapter 6 | Verse 1] परमेश्वर मोशेला म्हणाला,
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 2] जर कोणी परमेश्वराविरूद्ध आज्ञेचा भंग करून पाप केले म्हणजे एखाद्याने गहाण ठेवलेली वस्तू किंवा ठेव या बाबतीत आपल्या शेजाऱ्याला फसवले किंवा लूट करून फसविले व त्याच्यावर जुलूम केला.
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 3] किंवा आपल्या शेजाऱ्याची हरवलेली वस्तू सापडली असता सापडली नाही अशी लबाडी केली व तिच्याविषयी खोटी शपथ वाहिली, अशा ज्या गोष्टी करून लोक पाप करतात त्यापैकी एखादी करून कोणी अपराधी ठरला;
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 4] म्हणजे असले पाप करून दोषी झाला; तर त्याने चोरलेली किंवा जुलूम करून जे घेतले असेल ते किंवा आपल्या जवळची कोणाची गहाण ठेवलेली वस्तू बूडविली असेल ती, किंवा कोणाची हरवलेली वस्तू त्यास सापडली असून त्याने परत केली नसेल ती.
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 5] किंवा एखाद्या कामाबद्दल खोटी शपथ वाहीली तर ती त्याने पूर्ण भरून द्यावी ज्या वस्तुचा त्याने अपहार केला असेल तिची पूर्ण भरपाई आपल्या दोषार्पणाच्या दिवशी करून देऊन त्या वस्तूंच्या किंमतीचा पाचवा हिस्सा अधिक भरावा;
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 6] त्याने परमेश्वरासाठी याजकाने सांगितलेल्या किंमतीचा एक निर्दोष मेंढा दोषार्पण म्हणून याजकापाशी आणावा;
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 7] मग याजकाने तो मेंढा घेऊन परमेश्वरासमोर जावे व त्याच्यासाठी प्रायश्चित करावे; आणि मग ज्या अपराधामुळे तो दोषी ठरला असेल त्याची क्षमा होईल.
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 8] परमेश्वर मोशेला म्हणाला,
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 9] अहरोन व त्याचे पुत्र ह्यांना आज्ञा कर की होमापर्णाचे असे नियम आहेत. होमबली अग्नीकुंडावर रात्रभर ठेवून तो सकाळपर्यंत राहू द्यावा; आणि वेदीवरील अग्नी तिच्यावर जळतच ठेवावा.
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 10] मग याजकाने आपला तागाचा झगा व चोळणा अंगात घालून होमार्पणमुळे वेदीवर राहिलेली राख उचलावी व ती वेदीजवळ ठेवावी.
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 11] मग याजकाने आपली वस्त्रे काढावी व दुसरी वस्त्रे घालून ती राख छावणीबाहेर एखाद्या स्वच्छ ठिकाणी न्यावी.
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 12] परंतु वेदीवरील अग्नी जळतच ठेवावा, तो विझू देऊ नये; याजकाने रोज सकाळी त्या अग्नीवर लाकडे ठेवून तो पेटता ठेवावा व त्याच्यावर होमबली रचून शांत्यर्पणाच्या अर्पणातील चरबीचा होम करावा.
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 13] वेदीवरील अग्नी सतत जळत ठेवावा, तो विझू देऊ नये.
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 14] हा अन्नार्पणाचा नियम आहे: अहरोनाच्या मुलांनी ते परमेश्वरासमोर वेदीपुढे आणावे;
[IRV | MR | OT | Leviticus | Chapter 6 | Verse 15] याजकाने त्या अन्नार्पणातून मूठभर सपिठ, थोडे तेल व धूप घ्यावा व त्याचा वेदीवर होम करावा; ते परमेश्वरासाठी स्मारक भाग म्हणून त्याच्या चांगूलपणासाठीचे सुवासीक हव्य होय.
