[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 1] ಗೋಡೆಯನ್ನು ಕಟ್ಟಿ ಮುಗಿಸಿದ ನಂತರ ನಾನು ಬಾಗಿಲುಗಳನ್ನು ಇರಿಸಿದೆನು; ದ್ವಾರಪಾಲಕರನ್ನೂ, ಗಾಯಕರನ್ನೂ, ಲೇವಿಯರನ್ನೂ ನೇಮಿಸಲಾಯಿತು.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 2] ಆನಂತರ ನನ್ನ ತಮ್ಮನಾದ ಹನಾನಿಗೂ, ಬಹಳ ನಂಬಿಗಸ್ತನೂ ದೇವರಲ್ಲಿ ವಿಶೇಷ ಭಯಭಕ್ತಿಯುಳ್ಳವನೂ, ಕೋಟೆಯ ಅಧಿಕಾರಿಯೂ ಆದ ಹನನ್ಯನಿಗೂ ಯೆರೂಸಲೇಮಿನ ಮೇಲ್ವಿಚಾರಣೆಯನ್ನು ಒಪ್ಪಿಸಿದೆನು.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 3] ನಾನು ಅವರಿಗೆ, “ಬಿಸಿಲೇರುವುದಕ್ಕಿಂತ ಮೊದಲು ಯೆರೂಸಲೇಮಿನ ಬಾಗಿಲುಗಳನ್ನು ತೆರೆಯಬಾರದು; ಕಾವಲುಗಾರರು ಇನ್ನೂ ಇರುವಾಗಲೇ ಬಾಗಿಲುಗಳನ್ನು ಮುಚ್ಚಿ ಭದ್ರಪಡಿಸಬೇಕು. ಇದಲ್ಲದೆ ಯೆರೂಸಲೇಮಿನ ನಿವಾಸಿಗಳೊಳಗೆ ಕಾವಲುಗಾರರನ್ನು ಗೊತ್ತುಮಾಡಿರಿ, ಅವರಲ್ಲಿ ಕೆಲವರು ತಮ್ಮ ಕಾವಲಿನ ಸ್ಥಳಗಳಲ್ಲಿಯೂ, ಇನ್ನು ಕೆಲವರನ್ನು ಅವರ ಮನೆಯ ಎದುರಿನಲ್ಲಿಯೂ ಕಾವಲಿರುವಂತೆ ನೇಮಿಸಬೇಕು” ಎಂದು ಆಜ್ಞಾಪಿಸಿದೆನು.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 4] ಪಟ್ಟಣವು ವಿಸ್ತಾರವಾಗಿದ್ದರೂ ಅದರೊಳಗೆ ಬಹಳ ಸ್ವಲ್ಪ ಜನರು ಮಾತ್ರ ಇದ್ದರು. ಮನೆಗಳನ್ನು ಇನ್ನೂ ಕಟ್ಟಿರಲಿಲ್ಲ.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 5] ಹೀಗಿರಲಾಗಿ ನಾನು ನನ್ನ ದೇವರ ಪ್ರೇರಣೆಯಿಂದ ಗಣ್ಯರನ್ನು, ಶ್ರೀಮಂತರನ್ನೂ, ಅಧಿಕಾರಿಗಳನ್ನೂ, ಸಾಧಾರಣ ಜನರನ್ನೂ ಜನಗಣತಿಗಾಗಿ ಸಭೆಸೇರಿಸಿದನು. ಆಗ ಯೆರೂಸಲೇಮಿಗೆ ಮೊದಲು ಬಂದವರ ಹೆಸರುಗಳ ಪಟ್ಟಿಯು ನನಗೆ ಸಿಕ್ಕಿತು. ಅದರಲ್ಲಿ ಬರೆದಿದ್ದೇನೆಂದರೆ,
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 6] ಬಾಬಿಲೋನಿನ ಅರಸನಾದ ನೆಬೂಕದ್ನೆಚ್ಚರನಿಂದ ಸೆರೆಯಾಗಿ ಒಯ್ಯಲ್ಪಟ್ಟವರು ಹಿಂತಿರುಗಿ ತಮ್ಮ ಸ್ವದೇಶವಾದ ಯೆಹೂದ ಪ್ರಾಂತ್ಯದ ಸ್ವಂತ ಪಟ್ಟಣಗಳಿಗೂ, ಯೆರೂಸಲೇಮಿಗೂ ಹಿಂತಿರುಗಿದರು.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 7] ಅವರು ಜೆರುಬ್ಬಾಬೆಲ್, ಯೇಷೂವ, ನೆಹೆಮೀಯ. ಅಜರ್ಯ, ರಗಮ್ಯ, ನಹಮಾನೀ, ಮೊರ್ದೆಕೈ, ಬಿಲ್ಷಾನ್, ಮಿಸ್ಪೆರೆತ್, ಬಿಗ್ವೈ, ನೆಹೂಮ್, ಬಾಣ ಎಂಬ ನಾಯಕರೊಡನೆ ತಿರುಗಿ ಬಂದ ಇಸ್ರಾಯೇಲರು ಯಾರೆಂದರೆ:
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 8] ಪರೋಷಿನವರು - 2,172.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 9] ಶೆಫಟ್ಯನ ಸಂತಾನದವರು - 372.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 10] ಆರಹನ ಸಂತಾನದವರು - 652.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 11] ಪಹತ್ ಮೋವಾಬಿನವರಾದ ಯೇಷೂವ ಮತ್ತು ಯೋವಾಬನ ಸಂತಾನದವರು - 2,818.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 12] ಏಲಾಮಿನ ಸಂತಾನದವರು - 1,254.
[IRV | KN | OT | Nehemiah | Chapter 7 | Verse 13] ಜತ್ತೂವಿನ ಸಂತಾನದವರು - 845.
