[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 1] ബെന്യാമീൻ ആദ്യജാതനായ ബേലയെയും രണ്ടാമനായ അശ്ബേലിനെയും മൂന്നാമനായ അഹൂഹിനെയും
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 2] നാലാമനായ നോഹയെയും അഞ്ചാമനായ രഫായെയും ജനിപ്പിച്ചു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 3] ബേലയുടെ പുത്രന്മാർ: അദ്ദാർ, ഗേരാ,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 4] അബീഹൂദ്, അബീശൂവ, നയമാൻ, അഹോഹ്,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 5] ഗേരാ, ശെഫൂഫാൻ, ഹൂരാം.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 6] ഏഹൂദിന്റെ പുത്രന്മാരോ‒അവർ ഗേബനിവാസികളുടെ പിതൃഭവനങ്ങൾക്കു തലവന്മാർ; അവർ അവരെ മാനഹത്തിലേക്കു പിടിച്ചുകൊണ്ടുപോയി;
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 7] നയമാൻ അഹീയാവു, ഗേരാ എന്നിവരെ തന്നേ അവൻ പിടിച്ചു കൊണ്ടുപോയി‒പിന്നെ അവൻ ഹുസ്സയെയും അഹീഹൂദിനെയും ജനിപ്പിച്ചു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 8] ശഹരയീം തന്റെ ഭാര്യമാരായ ഹൂശീമിനെയും ബയരയെയും ഉപേക്ഷിച്ചശേഷം മോവാബ് ദേശത്തു പുത്രന്മാരെ ജനിപ്പിച്ചു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 9] അവൻ തന്റെ ഭാര്യയായ ഹോദേശിൽ യോബാബ്, സിബ്യാവു, മേശാ, മല്ക്കാം,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 10] യെവൂസ്, സാഖ്യാവു, മിർമ്മാ എന്നിവരെ ജനിപ്പിച്ചു. ഇവർ അവന്റെ പുത്രന്മാരായി പിതൃഭവനങ്ങൾക്കു തലവന്മാർ ആയിരുന്നു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 11] ഹൂശീമിൽ അവൻ അബീത്തൂബിനെയും എല്പയലിനെയും ജനിപ്പിച്ചു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 12] എല്പയലിന്റെ പുത്രന്മാർ: ഏബെർ, മിശാം, ശേമെർ; ഇവൻ ഓനോവും ലോദും അതിനോടു ചേർന്ന പട്ടണങ്ങളും പണിതു;
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 13] ബെരീയാവു, ശേമ‒ഇവർ അയ്യാലോൻ നിവാസികളുടെ പിതൃഭവനങ്ങൾക്കു തലവന്മാരായിരുന്നു ഗത്ത് നിവാസികളെ ഓടിച്ചുകളഞ്ഞു‒;
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 14] അഹ്യോ, ശാശക്, യെരോമോത്ത്,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 15] സെബദ്യാവു, അരാദ്, ഏദെർ, മീഖായേൽ,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 16] യിശ്പാ, യോഹാ; എന്നിവർ ബെരീയാവിന്റെ പുത്രന്മാർ.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 17] സെബദ്യാവു, മെശുല്ലാം, ഹിസ്കി, ഹെബെർ,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 18] യിശ്മെരായി, യിസ്ലീയാവു, യോബാബ് എന്നിവർ
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 19] എല്പയലിന്റെ പുത്രന്മാർ. യാക്കീം, സിക്രി,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 20] സബ്ദി, എലിയേനായി, സില്ലെഥായി,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 21] എലീയേർ, അദായാവു, ബെരായാവു, ശിമ്രാത്ത് എന്നിവർ ശിമിയുടെ പുത്രന്മാർ;
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 22] യിശ്ഫാൻ, ഏബെർ, എലീയേൽ,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 23] അബ്ദോൻ, സിക്രി, ഹാനാൻ
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 24] ഹനന്യാവു, ഏലാം, അന്ഥോഥ്യാവു,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 25] യിഫ്ദേയാ, പെനൂവേൽ എന്നിവർ ശാശക്കിന്റെ പുത്രന്മാർ.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 26] ശംശെരായി, ശെഹര്യാവു, അഥല്യാവു,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 27] യാരെശ്യാവു, എലീയാവു, സിക്രി എന്നിവർ യെരോഹാമിന്റെ പുത്രന്മാർ.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 28] ഇവർ തങ്ങളുടെ തലമുറകളിൽ പിതൃഭവനങ്ങൾക്കു തലവന്മാരും പ്രധാനികളും ആയിരുന്നു; അവർ യെരൂശലേമിൽ പാർത്തിരുന്നു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 29] ഗിബെയോനിൽ ഗിബെയോന്റെ പിതാവായ യെയീയേലും -അവന്റെ ഭാര്യക്കു മയഖാ എന്നു പേർ-
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 30] അവന്റെ ആദ്യജാതൻ അബ്ദോൻ, സൂർ, കീശ്, ബാൽ, നാദാബ്,
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 31] ഗെദോർ, അഹ്യോ, സേഖെർ എന്നിവരും പാർത്തു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 32] മിക്ലോത്ത് ശിമെയയെ ജനിപ്പിച്ചു; ഇവരും തങ്ങളുടെ സഹോദരന്മാരോടുകൂടെ യെരൂശലേമിൽ തങ്ങളുടെ സഹോദരന്മാർക്കെതിരെ പാർത്തു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 33] നേർ കീശിനെ ജനിപ്പിച്ചു, കീശ് ശൗലിനെ ജനിപ്പിച്ചു, ശൗൽ യോനാഥാനെയും മല്ക്കീശൂവയെയും അബീനാദാബിനെയും എശ്-ബാലിനെയും ജനിപ്പിച്ചു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 34] യോനാഥാന്റെ മകൻ മെരീബ്ബാൽ; മെരീബ്ബാൽ മീഖയെ ജനിപ്പിച്ചു.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 35] മീഖയുടെ പുത്രന്മാർ: പീഥോൻ, മേലെക്, തരേയ, ആഹാസ്.
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 36] ആഹാസ് യെഹോവദ്ദയെ ജനിപ്പിച്ചു; യഹോവദ്ദാ അലേമെത്ത്, അസ്മാവെത്ത്, സിമ്രി എന്നിവരെ ജനിപ്പിച്ചു; സിമ്രി മോസയെ ജനിപ്പിച്ചു; മോസാ ബിനയയെ ജനിപ്പിച്ചു;
[IRV | ML | OT | 1 Chronicles | Chapter 8 | Verse 37] അവന്റെ മകൻ രാഫാ; അവന്റെ മകൻ ഏലാസാ;
