[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 1] ആദാം, ശേത്ത്, ഏനോശ്,
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 2] കേനാൻ, മഹലലേൽ, യാരേദ്,
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 3] ഹനോക്ക്, മെഥൂശേലഹ്, ലാമെക്ക്, നോഹ,
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 4] ശേം, ഹാം, യാഫെത്ത്. യാഫെത്തിന്റെ പുത്രന്മാർ:
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 5] ഗോമെർ, മാഗോഗ്, മാദായി, യാവാൻ, തൂബാൽ
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 6] മേശെക്ക്, തീരാസ്. ഗോമെരിന്റെ പുത്രന്മാർ: അശ്കേനസ്, രീഫത്ത്, തോഗർമ്മാ.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 7] യാവാന്റെ പുത്രന്മാർ: എലീശാ, തർശീശ്, കിത്ഥിം, ദോദാനീം.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 8] ഹാമിന്റെ പുത്രന്മാർ: കൂശ്, മിസ്രയീം, പൂത്ത്, കനാൻ.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 9] കൂശിന്റെ പുത്രന്മാർ: സെബാ, ഹവീലാ, സബ്താ, രമാ, സബെത്ഖാ. രമയുടെ പുത്രന്മാർ: ശെബാ, ദെദാൻ.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 10] കൂശ് നിമ്രോദിനെ ജനിപ്പിച്ചു. അവൻ ഭൂമിയിൽ ആദ്യത്തെ വീരനായിരുന്നു.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 11] മിസ്രയീമോ: ലൂദീം, അനാമീം, ലെഹാബീം,
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 12] നഫ്തൂഹീം, പത്രൂസീം, കസ്ലൂഹീം, ‒ഇവരിൽനിന്നു ഫെലിസ്ത്യർ ഉത്ഭവിച്ചു‒കഫ്തോരീം എന്നിവരെ ജനിപ്പിച്ചു.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 13] കനാൻ തന്റെ ആദ്യജാതനായ സീദോൻ,
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 14] ഹേത്ത്, യെബൂസി, അമോരി,
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 15] ഗിർഗ്ഗശി, ഹിവ്വി, അർക്കി, സീനി, അർവ്വാദി,
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 16] സെമാരി, ഹമാത്തി എന്നിവരെ ജനിപ്പിച്ചു.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 17] ശേമിന്റെ പുത്രന്മാർ: ഏലാം, അശ്ശൂർ, അർപ്പക്ഷദ്, ലൂദ്, അരാം, ഊസ്, ഹൂൾ, ഗേഥെർ, മേശെക്.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 18] അർപ്പക്ഷദ് ശേലഹിനെ ജനിപ്പിച്ചു; ശേലഹ് ഏബെരിനെ ജനിപ്പിച്ചു.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 19] ഏബെരിന്നു രണ്ടു പുത്രന്മാർ ജനിച്ചു; ഒരുത്തന്നു പേലെഗ് എന്നു പേർ; അവന്റെ കാലത്തായിരുന്നു ഭൂവാസികൾ പിരിഞ്ഞുപോയതു; അവന്റെ സഹോദരന്നു യൊക്താൻ എന്നു പേർ.
[IRV | ML | OT | 1 Chronicles | Chapter 1 | Verse 20] യൊക്താനോ: അല്മോദാദ്, ശേലെഫ്, ഹസർമ്മാവെത്ത്,
