[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 1] اَلْحِكْمَةُ بَنَتْ بَيْتَهَا. نَحَتَتْ أَعْمِدَتَهَا ٱلسَّبْعَةَ.
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 2] ذَبَحَتْ ذَبْحَهَا. مَزَجَتْ خَمْرَهَا. أَيْضًا رَتَّبَتْ مَائِدَتَهَا.
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 3] أَرْسَلَتْ جَوَارِيَهَا تُنَادِي عَلَى ظُهُورِ أَعَالِي ٱلْمَدِينَةِ:
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 4] «مَنْ هُوَ جَاهِلٌ فَلْيَمِلْ إِلَى هُنَا». وَٱلنَّاقِصُ ٱلْفَهْمِ قَالَتْ لَهُ:
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 5] «هَلُمُّوا كُلُوا مِنْ طَعَامِي، وَٱشْرَبُوا مِنَ ٱلْخَمْرِ ٱلَّتِي مَزَجْتُهَا.
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 6] اُتْرُكُوا ٱلْجَهَالَاتِ فَتَحْيَوْا، وَسِيرُوا فِي طَرِيقِ ٱلْفَهْمِ».
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 7] مَنْ يُوَبِّخْ مُسْتَهْزِئًا يَكْسَبْ لِنَفْسِهِ هَوَانًا، وَمَنْ يُنْذِرْ شِرِّيرًا يَكْسَبْ عَيْبًا.
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 8] لَا تُوَبِّخْ مُسْتَهْزِئًا لِئَلَّا يُبْغِضَكَ. وَبِّخْ حَكِيمًا فَيُحِبَّكَ.
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 9] أَعْطِ حَكِيمًا فَيَكُونَ أَوْفَرَ حِكْمَةً. عَلِّمْ صِدِّيقًا فَيَزْدَادَ عِلْمًا.
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 10] بَدْءُ ٱلْحِكْمَةِ مَخَافَةُ ٱلرَّبِّ، وَمَعْرِفَةُ ٱلْقُدُّوسِ فَهْمٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 11] لِأَنَّهُ بِي تَكْثُرُ أَيَّامُكَ وَتَزْدَادُ لَكَ سِنُو حَيَاةٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 12] إِنْ كُنْتَ حَكِيمًا فَأَنْتَ حَكِيمٌ لِنَفْسِكَ، وَإِنِ ٱسْتَهْزَأْتَ فَأَنْتَ وَحْدَكَ تَتَحَمَّلُ.
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 13] اَلْمَرْأَةُ ٱلْجَاهِلَةُ صَخَّابَةٌ حَمْقَاءُ وَلَا تَدْرِي شَيْئًا،
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 14] فَتَقْعُدُ عِنْدَ بَابِ بَيْتِهَا عَلَى كُرْسِيٍّ فِي أَعَالِي ٱلْمَدِينَةِ،
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 15] لِتُنَادِيَ عَابِرِي ٱلسَّبِيلِ ٱلْمُقَوِّمِينَ طُرُقَهُمْ:
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 16] «مَنْ هُوَ جَاهِلٌ فَلْيَمِلْ إِلَى هُنَا». وَٱلنَّاقِصُ ٱلْفَهْمِ تَقُولُ لَهُ:
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 17] «ٱلْمِيَاهُ ٱلْمَسْرُوقَةُ حُلْوَةٌ، وَخُبْزُ ٱلْخُفْيَةِ لَذِيذٌ».
[VANDYKE | AR | OT | Proverbs | Chapter 9 | Verse 18] وَلَا يَعْلَمُ أَنَّ ٱلْأَخْيِلَةَ هُنَاكَ، وَأَنَّ فِي أَعْمَاقِ ٱلْهَاوِيَةِ ضُيُوفَهَا.
