[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 1] ٱلْمُعْتَزِلُ يَطْلُبُ شَهْوَتَهُ. بِكُلِّ مَشُورَةٍ يَغْتَاظُ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 2] اَلْجَاهِلُ لَا يُسَرُّ بِٱلْفَهْمِ، بَلْ بِكَشْفِ قَلْبِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 3] إِذَا جَاءَ ٱلشِّرِّيرُ جَاءَ ٱلِٱحْتِقَارُ أَيْضًا، وَمَعَ ٱلْهَوَانِ عَارٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 4] كَلِمَاتُ فَمِ ٱلْإِنْسَانِ مِيَاهٌ عَمِيقَةٌ. نَبْعُ ٱلْحِكْمَةِ نَهْرٌ مُنْدَفِقٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 5] رَفْعُ وَجْهِ ٱلشِّرِّيرِ لَيْسَ حَسَنًا لِإِخْطَاءِ ٱلصِّدِّيقِ فِي ٱلْقَضَاءِ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 6] شَفَتَا ٱلْجَاهِلِ تُدَاخِلَانِ فِي ٱلْخُصُومَةِ، وَفَمُهُ يَدْعُو بِضَرَبَاتٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 7] فَمُ ٱلْجَاهِلِ مَهْلَكَةٌ لَهُ، وَشَفَتَاهُ شَرَكٌ لِنَفْسِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 8] كَلَامُ ٱلنَّمَّامِ مِثْلُ لُقَمٍ حُلْوَةٍ وَهُوَ يَنْزِلُ إِلَى مَخَادِعِ ٱلْبَطْنِ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 9] أَيْضًا ٱلْمُتَرَاخِي فِي عَمَلِهِ هُوَ أَخُو ٱلْمُسْرِفِ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 10] اِسْمُ ٱلرَّبِّ بُرْجٌ حَصِينٌ، يَرْكُضُ إِلَيْهِ ٱلصِّدِّيقُ وَيَتَمَنَّعُ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 11] ثَرْوَةُ ٱلْغَنِيِّ مَدِينَتُهُ ٱلْحَصِينَةُ، وَمِثْلُ سُورٍ عَالٍ فِي تَصَوُّرِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 12] قَبْلَ ٱلْكَسْرِ يَتَكَبَّرُ قَلْبُ ٱلْإِنْسَانِ، وَقَبْلَ ٱلْكَرَامَةِ ٱلتَّوَاضُعُ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 13] مَنْ يُجِيبُ عَنْ أَمْرٍ قَبْلَ أَنْ يَسْمَعَهُ، فَلَهُ حَمَاقَةٌ وَعَارٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 14] رُوحُ ٱلْإِنْسَانِ تَحْتَمِلُ مَرَضَهُ، أَمَّا ٱلرُّوحُ ٱلْمَكْسُورَةُ فَمَنْ يَحْمِلُهَا؟
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 15] قَلْبُ ٱلْفَهِيمِ يَقْتَنِي مَعْرِفَةً، وَأُذُنُ ٱلْحُكَمَاءِ تَطْلُبُ عِلْمًا.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 16] هَدِيَّةُ ٱلْإِنْسَانِ تُرَحِّبُ لَهُ وَتَهْدِيهِ إِلَى أَمَامِ ٱلْعُظَمَاءِ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 17] اَلْأَوَّلُ فِي دَعْوَاهُ مُحِقٌّ، فَيَأْتِي رَفِيقُهُ وَيَفْحَصُهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 18] اَلْقُرْعَةُ تُبَطِّلُ ٱلْخُصُومَاتِ وَتَفْصِلُ بَيْنَ ٱلْأَقْوِيَاءِ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 19] اَلْأَخُ أَمْنَعُ مِنْ مَدِينَةٍ حَصِينَةٍ، وَٱلْمُخَاصَمَاتُ كَعَارِضَةِ قَلْعَةٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 20] مِنْ ثَمَرِ فَمِ ٱلْإِنْسَانِ يَشْبَعُ بَطْنُهُ، مِنْ غَلَّةِ شَفَتَيْهِ يَشْبَعُ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 21] اَلْمَوْتُ وَٱلْحَيَاةُ فِي يَدِ ٱللِّسَانِ، وَأَحِبَّاؤُهُ يَأْكُلُونَ ثَمَرَهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 22] مَنْ يَجِدُ زَوْجَةً يَجِدُ خَيْرًا وَيَنَالُ رِضًى مِنَ ٱلرَّبِّ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 23] بِتَضَرُّعَاتٍ يَتَكَلَّمُ ٱلْفَقِيرُ، وَٱلْغَنِيُّ يُجَاوِبُ بِخُشُونَةٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 18 | Verse 24] اَلْمُكْثِرُ ٱلْأَصْحَابِ يُخْرِبُ نَفْسَهُ، وَلَكِنْ يُوجَدُ مُحِبٌّ أَلْزَقُ مِنَ ٱلْأَخِ.
