[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 1] الْكَرَامَةُ لَا تَلِيقُ بِالْجَاهِلِ، فَهِيَ كَالثَّلْجِ فِي الصَّيْفِ، وَكَالْمَطَرِ فِي مَوْسِمِ الْحَصَادِ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 2] اللَّعْنَةُ مِنْ غَيْرِ عِلَّةٍ لَا تَسْتَقِرُّ، فَهِيَ كَالْعُصْفُورِ الْحَائِمِ وَالْيَمَامَةِ الطَّائِرَةِ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 3] السَّوْطُ لِلْفَرَسِ، وَاللِّجَامُ لِلْحِمَارِ، وَالْعَصَا لِظُهُورِ الْجُهَّالِ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 4] لَا تُجِبِ الْجَاهِلَ بِمِثْلِ حُمْقِهِ لِئَلّا تُصْبِحَ مِثْلَهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 5] رُدَّ عَلَى الْجَاهِلِ حَسَبَ جَهْلِهِ لِئَلّا يَضْحَى حَكِيماً فِي عَيْنَيْ نَفْسِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 6] مَنْ يَبْعَثُ بِرِسَالَةٍ عَلَى فَمِ جَاهِلٍ يَكُونُ كَمَنْ يَبْتُرُ الرِّجْلَيْنِ أَوْ يَجْرَعُ الظُّلْمَ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 7] الْمَثَلُ فِي فَمِ الْجُهَّالِ كَسَاقَيِ الأَعْرَجِ الْمُرْتَخِيَتَيْنِ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 8] مَثَلُ مَنْ يُكْرِمُ الْجَاهِلَ كَمَثَلِ مَنْ يَضْرِبُ حَجَراً فِي مِقْلاعٍ (وَيَقْذِفُهُ بَعِيداً).
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 9] الْمَثَلُ فِي فَمِ الْجُهَّالِ كَشَوْكٍ فِي يَدِ سَكْرَانٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 10] مَنْ يَسْتَأْجِرُ الْجَاهِلَ أَوْ أَيَّ عَابِرِ طَرِيقٍ، يَكُونُ كَرَامِي سِهَامٍ، يُصِيبُ عَلَى غَيْرِ هُدىً.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 11] كَمَا يَعُودُ الْكَلْبُ إِلَى قَيْئِهِ، هَكَذَا يَعُودُ الْجَاهِلُ لِيَرْتَكِبَ حَمَاقَتَهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 12] أَشَاهَدْتَ رَجُلاً مُعْتَزّاً بِحِكْمَتِهِ؟ إِنَّ لِلْجَاهِلِ رَجَاءً فِي الإِصْلاحِ أَكْثَرَ مِنْهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 13] يَقُولُ الْكَسُولُ: فِي الطَّرِيقِ أَسَدٌ، وَفِي الشَّوَارِعِ لَيْثٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 14] كَمَا يَدُورُ الْبَابُ عَلَى مَفَاصِلِهِ، يَتَقَلَّبُ الْكَسُولُ فِي فِرَاشِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 15] يَدْفِنُ الْكَسُولُ يَدَهُ فِي صَحْفَتِهِ وَيَشُقُّ عَلَيْهِ أَنْ يَرُدَّهَا إِلَى فَمِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 16] الْكَسُولُ أَكْثَرُ حِكْمَةً فِي عَيْنَيْ نَفْسِهِ مِنْ سَبْعَةٍ يُجِيبُونَ بِفِطْنَةٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 17] مَنْ يَتَدَخَّلْ فِي خُصُومَةٍ لَا تَعْنِيهِ يَكُنْ كَمَنْ يَقْبِضُ عَلَى أُذُنَيْ كَلْبٍ عَابِرٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 18] كَمَجْنُونٍ يَقْذِفُ شَرَراً وَسِهَاماً وَمَوْتاً،
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 19] مَنْ يَخْدَعُ قَرِيبَهُ، ثُمَّ يَقُولُ: كُنْتُ أَمْزَحُ فَقَطْ!
[VANDYKE | AR | OT | Proverbs | Chapter 26 | Verse 20] كَمَا تَخْمَدُ النَّارُ لافْتِقَارِهَا إِلَى الْحَطَبِ، هَكَذَا تَكُفُّ الْخُصُومَةُ حِينَمَا يَغِيبُ النَّمَّامُ.
