[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 1] هَذِهِ أَقْوَالُ لَمُوئِيلَ مَلِكِ مَسَّا الَّتِي تَلَقَّنَهَا عَنْ أُمِّهِ:
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 2] مَاذَا يَا ابْنِي يَا ابْنَ أَحْشَائِي، يَا ابْنَ نُذُورِي؟
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 3] لَا تُنْفِقْ قُوَّتَكَ عَلَى النِّسَاءِ، وَلا تَسْتَسْلِمْ لِمَنْ يُهْلِكْنَ الْمُلُوكَ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 4] لَيْسَ لِلْمُلُوكِ يَا لَمُوئِيلُ، لَيْسَ لِلْمُلُوكِ أَنْ يُدْمِنُوا الْخَمْرَ، وَلا لِلْعُظَمَاءِ أَنْ يَجْرَعُوا الْمُسْكِرَ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 5] لِئَلّا يَسْكَرُوا فَيَنْسَوْا الشَّرِيعَةَ، وَيَجُورُوا عَلَى حُقُوقِ الْبَائِسِينَ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 6] أَعْطُوا الْمُسْكِرَ لِلْهَالِكِ، وَالْخَمْرَ لِذَوِي النُّفُوسِ التَّعِسَةِ،
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 7] فَيَثْمَلُوا وَيَنْسَوْا فَقْرَهُمْ، وَلا يَذْكُرُوا بُؤْسَهُمْ بَعْدُ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 8] افْتَحْ فَمَكَ مُدَافِعاً عَنِ الأَخْرَسِ، وَفِي دَعْوَى كُلِّ مَنْبُوذٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 9] افْتَحْ فَمَكَ قَاضِياً بِالْعَدْلِ، وَدَافِعْ عَنْ حُقُوقِ الْفُقَرَاءِ وَالْمُحْتَاجِينَ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 10] مَنْ يَعْثُرُ عَلَى الْمَرْأَةِ الْفَاضِلَةِ؟ إِنَّ قِيمَتَهَا تَفُوقُ اللَّآلِئَ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 11] بِها يَثِقُ قَلْبُ زَوْجِهَا فَلا يَحْتَاجُ إِلَى مَا هُوَ نَفِيسٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 12] تُسْبِغُ عَلَيْهِ الْخَيْرَ دُونَ الشَّرِّ كُلَّ أَيَّامِ حَيَاتِهَا.
