[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 1] حِكْمَةُ الْمَرْأَةِ تَبْنِي بَيْتَهَا، وَحَمَاقَتُهَا تَهْدِمُهُ بِيَدَيْهَا.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 2] السَّالِكُ بِاسْتِقَامَتِهِ يَتَّقِي الرَّبَّ، وَذُو الطُّرُقِ الْمُعْوَجَّةِ يَسْتَخِفُّ بِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 3] فِي أَقْوَالِ فَمِ الْجَاهِلِ سَفَاهَةٌ تُخْزِي كِبْرِيَاءَهُ، أَمَّا شِفَاهُ الْحُكَمَاءِ فَتَصُونُهُمْ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 4] الْحَظِيرَةُ الْخَاوِيَةُ مِنَ الْبَقَرِ مَعْلِفُهَا فَارِغٌ، وَوَفْرَةُ الْغِلالِ بِقُوَّةِ الثَّوْرِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 5] الشَّاهِدُ الأَمِينُ لَا يَكْذِبُ، وَالشَّاهِدُ الزُّورُ يَنْفُثُ كَذِباً.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 6] عَبَثاً يَلْتَمِسُ الأَحْمَقُ حِكْمَةً، أَمَّا الْعِلْمُ فَمُتَيَسِّرٌ لِلْفَطِنِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 7] انْصَرِفْ مِنْ حَضْرَةِ الْجَاهِلِ إِذْ لَا عِلْمَ فِي أَقْوَالِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 8] حِكْمَةُ الْعَاقِلِ فِي تَبَيُّنِ حُسْنِ مَسْلَكِهِ، وَغَبَاوَةُ الْجُهَّالِ فِي ارْتِكَابِ خِدَعِهِمْ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 9] كُلُّ جَاهِلٍ يَسْتَهْزِئُ بِالإِثْمِ، أَمَّا بَيْنَ الْمُسْتَقِيمِينَ فَيَشِيعُ رِضَى اللهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 10] الْقَلْبُ وَحْدَهُ يَعْرِفُ عُمْقَ مَرَارَةِ نَفْسِهِ، وَلا يُقَاسِمُهُ فَرَحَهُ غَرِيبٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 11] بَيْتُ الأَشْرَارِ يَنْهَارُ، وَخِبَاءُ الْمُسْتَقِيمِينَ يَزْدَهِرُ.
