[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 1] لِلْإِنْسَانِ تَدَابِيرُ ٱلْقَلْبِ، وَمِنَ ٱلرَّبِّ جَوَابُ ٱللِّسَانِ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 2] كُلُّ طُرُقِ ٱلْإِنْسَانِ نَقِيَّةٌ فِي عَيْنَيْ نَفْسِهِ، وَٱلرَّبُّ وَازِنُ ٱلْأَرْوَاحِ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 3] أَلْقِ عَلَى ٱلرَّبِّ أَعْمَالَكَ فَتُثَبَّتَ أَفْكَارُكَ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 4] اَلرَّبُّ صَنَعَ ٱلْكُلَّ لِغَرَضِهِ، وَٱلشِّرِّيرَ أَيْضًا لِيَوْمِ ٱلشَّرِّ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 5] مَكْرَهَةُ ٱلرَّبِّ كُلُّ مُتَشَامِخِ ٱلْقَلْبِ. يَدًا لِيَدٍ لَا يَتَبَرَّأُ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 6] بِٱلرَّحْمَةِ وَٱلْحَقِّ يُسْتَرُ ٱلْإِثْمُ، وَفِي مَخَافَةِ ٱلرَّبِّ ٱلْحَيَدَانُ عَنِ ٱلشَّرِّ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 7] إِذَا أَرْضَتِ ٱلرَّبَّ طُرُقُ إِنْسَانٍ، جَعَلَ أَعْدَاءَهُ أَيْضًا يُسَالِمُونَهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 8] اَلْقَلِيلُ مَعَ ٱلْعَدْلِ خَيْرٌ مِنْ دَخْلٍ جَزِيلٍ بِغَيْرِ حَقٍّ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 9] قَلْبُ ٱلْإِنْسَانِ يُفَكِّرُ فِي طَرِيقِهِ، وَٱلرَّبُّ يَهْدِي خَطْوَتَهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 10] فِي شَفَتَيِ ٱلْمَلِكِ وَحْيٌ. فِي ٱلْقَضَاءِ فَمُهُ لَا يَخُونُ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 11] قَبَّانُ ٱلْحَقِّ وَمَوَازِينُهُ لِلرَّبِّ. كُلُّ مَعَايِيرِ ٱلْكِيسِ عَمَلُهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 12] مَكْرَهَةُ ٱلْمُلُوكِ فِعْلُ ٱلشَّرِّ، لِأَنَّ ٱلْكُرْسِيَّ يُثَبَّتُ بِٱلْبِرِّ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 13] مَرْضَاةُ ٱلْمُلُوكِ شَفَتَا حَقٍّ، وَٱلْمُتَكَلِّمُ بِٱلْمُسْتَقِيمَاتِ يُحَبُّ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 14] غَضَبُ ٱلْمَلِكِ رُسُلُ ٱلْمَوْتِ، وَٱلْإِنْسَانُ ٱلْحَكِيمُ يَسْتَعْطِفُهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 15] فِي نُورِ وَجْهِ ٱلْمَلِكِ حَيَاةٌ، وَرِضَاهُ كَسَحَابِ ٱلْمَطَرِ ٱلْمُتَأَخِّرِ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 16] قِنْيَةُ ٱلْحِكْمَةِ كَمْ هِيَ خَيْرٌ مِنَ ٱلذَّهَبِ، وَقِنْيَةُ ٱلْفَهْمِ تُخْتَارُ عَلَى ٱلْفِضَّةِ!
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 17] مَنْهَجُ ٱلْمُسْتَقِيمِينَ ٱلْحَيَدَانُ عَنِ ٱلشَّرِّ. حَافِظٌ نَفْسَهُ حَافِظٌ طَرِيقَهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 18] قَبْلَ ٱلْكَسْرِ ٱلْكِبْرِيَاءُ، وَقَبْلَ ٱلسُّقُوطِ تَشَامُخُ ٱلرُّوحِ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 19] تَوَاضُعُ ٱلرُّوحِ مَعَ ٱلْوُدَعَاءِ خَيْرٌ مِنْ قَسْمِ ٱلْغَنِيمَةِ مَعَ ٱلْمُتَكَبِّرِينَ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 20] ٱلْفَطِنُ مِنْ جِهَةِ أَمْرٍ يَجِدُ خَيْرًا، وَمَنْ يَتَّكِلُ عَلَى ٱلرَّبِّ فَطُوبَى لَهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 21] حَكِيمُ ٱلْقَلْبِ يُدْعَى فَهِيمًا، وَحَلَاوَةُ ٱلشَّفَتَيْنِ تَزِيدُ عِلْمًا.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 22] ٱلْفِطْنَةُ يَنْبُوعُ حَيَاةٍ لِصَاحِبِهَا، وَتَأْدِيبُ ٱلْحَمْقَى حَمَاقَةٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 23] قَلْبُ ٱلْحَكِيمِ يُرْشِدُ فَمَهُ وَيَزِيدُ شَفَتَيْهِ عِلْمًا.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 24] اَلْكَلَامُ ٱلْحَسَنُ شَهْدُ عَسَلٍ، حُلْوٌ لِلنَّفْسِ وَشِفَاءٌ لِلْعِظَامِ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 25] تُوجَدُ طَرِيقٌ تَظْهَرُ لِلْإِنْسَانِ مُسْتَقِيمَةً وَعَاقِبَتُهَا طُرُقُ ٱلْمَوْتِ.
[VANDYKE | AR | OT | Proverbs | Chapter 16 | Verse 26] نَفْسُ ٱلتَّعِبِ تُتْعِبُ لَهُ، لِأَنَّ فَمَهُ يَحِثُّهُ.
