[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 1] يَا ٱبْنِي، لَا تَنْسَ شَرِيعَتِي، بَلْ لِيَحْفَظْ قَلْبُكَ وَصَايَايَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 2] فَإِنَّهَا تَزِيدُكَ طُولَ أَيَّامٍ، وَسِنِي حَيَاةٍ وَسَلَامَةً.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 3] لَا تَدَعِ ٱلرَّحْمَةَ وَٱلْحَقَّ يَتْرُكَانِكَ. تَقَلَّدْهُمَا عَلَى عُنُقِكَ. اُكْتُبْهُمَا عَلَى لَوْحِ قَلْبِكَ،
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 4] فَتَجِدَ نِعْمَةً وَفِطْنَةً صَالِحَةً فِي أَعْيُنِ ٱللهِ وَٱلنَّاسِ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 5] تَوَكَّلْ عَلَى ٱلرَّبِّ بِكُلِّ قَلْبِكَ، وَعَلَى فَهْمِكَ لَا تَعْتَمِدْ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 6] فِي كُلِّ طُرُقِكَ ٱعْرِفْهُ، وَهُوَ يُقَوِّمُ سُبُلَكَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 7] لَا تَكُنْ حَكِيمًا فِي عَيْنَيْ نَفْسِكَ. ٱتَّقِ ٱلرَّبَّ وَٱبْعُدْ عَنِ ٱلشَّرِّ،
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 8] فَيَكُونَ شِفَاءً لِسُرَّتِكَ، وَسَقَاءً لِعِظَامِكَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 9] أَكْرِمِ ٱلرَّبَّ مِنْ مَالِكَ وَمِنْ كُلِّ بَاكُورَاتِ غَلَّتِكَ،
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 10] فَتَمْتَلِئَ خَزَائِنُكَ شِبْعًا، وَتَفِيضَ مَعَاصِرُكَ مِسْطَارًا.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 11] يَا ٱبْنِي، لَا تَحْتَقِرْ تَأْدِيبَ ٱلرَّبِّ وَلَا تَكْرَهْ تَوْبِيخَهُ،
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 12] لِأَنَّ ٱلَّذِي يُحِبُّهُ ٱلرَّبُّ يُؤَدِّبُهُ، وَكَأَبٍ بِٱبْنٍ يُسَرُّ بِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 13] طُوبَى لِلْإِنْسَانِ ٱلَّذِي يَجِدُ ٱلْحِكْمَةَ، وَلِلرَّجُلِ ٱلَّذِي يَنَالُ ٱلْفَهْمَ،
