[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 1] اَلْكَثِيرُ ٱلتَّوَبُّخِ، ٱلْمُقَسِّي عُنُقَهُ، بَغْتَةً يُكَسَّرُ وَلَا شِفَاءَ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 2] إِذَا سَادَ ٱلصِّدِّيقُونَ فَرِحَ ٱلشَّعْبُ، وَإِذَا تَسَلَّطَ ٱلشِّرِّيرُ يَئِنُّ ٱلشَّعْبُ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 3] مَنْ يُحِبُّ ٱلْحِكْمَةَ يُفَرِّحُ أَبَاهُ، وَرَفِيقُ ٱلزَّوَانِي يُبَدِّدُ مَالًا.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 4] اَلْمَلِكُ بِٱلْعَدْلِ يُثَبِّتُ ٱلْأَرْضَ، وَٱلْقَابِلُ ٱلْهَدَايَا يُدَمِّرُهَا.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 5] اَلرَّجُلُ ٱلَّذِي يُطْرِي صَاحِبَهُ يَبْسُطُ شَبَكَةً لِرِجْلَيْهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 6] فِي مَعْصِيَةِ رَجُلٍ شِرِّيرٍ شَرَكٌ، أَمَّا ٱلصِّدِّيقُ فَيَتَرَنَّمُ وَيَفْرَحُ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 7] ٱلصِّدِّيقُ يَعْرِفُ دَعْوَى ٱلْفُقَرَاءِ، أَمَّا ٱلشِّرِّيرُ فَلَا يَفْهَمُ مَعْرِفَةً.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 8] اَلنَّاسُ ٱلْمُسْتَهْزِئُونَ يَفْتِنُونَ ٱلْمَدِينَةَ، أَمَّا ٱلْحُكَمَاءُ فَيَصْرِفُونَ ٱلْغَضَبَ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 9] رَجُلٌ حَكِيمٌ إِنْ حَاكَمَ رَجُلًا أَحْمَقَ، فَإِنْ غَضِبَ وَإِنْ ضَحِكَ فَلَا رَاحَةَ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 10] أَهْلُ ٱلدِّمَاءِ يُبْغِضُونَ ٱلْكَامِلَ، أَمَّا ٱلْمُسْتَقِيمُونَ فَيَسْأَلُونَ عَنْ نَفْسِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 11] اَلْجَاهِلُ يُظْهِرُ كُلَّ غَيْظِهِ، وَٱلْحَكِيمُ يُسَكِّنُهُ أَخِيرًا.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 12] اَلْحَاكِمُ ٱلْمُصْغِي إِلَى كَلَامِ كَذِبٍ كُلُّ خُدَّامِهِ أَشْرَارٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 13] اَلْفَقِيرُ وَٱلْمُرْبِي يَتَلَاقَيَانِ. ٱلرَّبُّ يُنَوِّرُ أَعْيُنَ كِلَيْهِمَا.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 14] اَلْمَلِكُ ٱلْحَاكِمُ بِٱلْحَقِّ لِلْفُقَرَاءِ يُثَبَّتُ كُرْسِيُّهُ إِلَى ٱلْأَبَدِ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 15] اَلْعَصَا وَٱلتَّوْبِيخُ يُعْطِيَانِ حِكْمَةً، وَٱلصَّبِيُّ ٱلْمُطْلَقُ إِلَى هَوَاهُ يُخْجِلُ أُمَّهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 16] إِذَا سَادَ ٱلْأَشْرَارُ كَثُرَتِ ٱلْمَعَاصِي، أَمَّا ٱلصِّدِّيقُونَ فَيَنْظُرُونَ سُقُوطَهُمْ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 17] أَدِّبِ ٱبْنَكَ فَيُرِيحَكَ وَيُعْطِيَ نَفْسَكَ لَذَّاتٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 18] بِلَا رُؤْيَا يَجْمَحُ ٱلشَّعْبُ، أَمَّا حَافِظُ ٱلشَّرِيعَةِ فَطُوبَاهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 19] بِٱلْكَلَامِ لَا يُؤَدَّبُ ٱلْعَبْدُ، لِأَنَّهُ يَفْهَمُ وَلَا يُعْنَى.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 20] أَرَأَيْتَ إِنْسَانًا عَجُولًا فِي كَلَامِهِ؟ ٱلرَّجَاءُ بِٱلْجَاهِلِ أَكْثَرُ مِنَ ٱلرَّجَاءِ بِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 29 | Verse 21] مَنْ فَنَّقَ عَبْدَهُ مِنْ حَدَاثَتِهِ، فَفِي آخِرَتِهِ يَصِيرُ مَنُونًا.
