[VANDYKE | AR | OT | Job | Chapter 30 | Verse 1] «وَأَمَّا ٱلْآنَ فَقَدْ ضَحِكَ عَلَيَّ أَصَاغِرِي أَيَّامًا، ٱلَّذِينَ كُنْتُ أَسْتَنْكِفُ مِنْ أَنْ أَجْعَلَ آبَاءَهُمْ مَعَ كِلَابِ غَنَمِي.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 2] قُوَّةُ أَيْدِيهِمْ أَيْضًا مَا هِيَ لِي. فِيهِمْ عَجِزَتِ ٱلشَّيْخُوخَةُ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 3] فِي ٱلْعَوَزِ وَٱلْمَحْلِ مَهْزُولُونَ، عَارِقُونَ ٱلْيَابِسَةَ ٱلَّتِي هِيَ مُنْذُ أَمْسِ خَرَابٌ وَخَرِبَةٌ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 4] ٱلَّذِينَ يَقْطِفُونَ ٱلْمَلَّاحَ عِنْدَ ٱلشِّيحِ، وَأُصُولُ ٱلرَّتَمِ خُبْزُهُمْ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 5] مِنَ ٱلْوَسَطِ يُطْرَدُونَ. يَصِيحُونَ عَلَيْهِمْ كَمَا عَلَى لِصٍّ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 6] لِلسَّكَنِ فِي أَوْدِيَةٍ مُرْعِبَةٍ وَثُقَبِ ٱلتُّرَابِ وَٱلصُّخُورِ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 7] بَيْنَ ٱلشِّيحِ يَنْهَقُونَ. تَحْتَ ٱلْعَوْسَجِ يَنْكَبُّونَ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 8] أَبْنَاءُ ٱلْحَمَاقَةِ، بَلْ أَبْنَاءُ أُنَاسٍ بِلَا ٱسْمٍ، سِيطُوا مِنَ ٱلْأَرْضِ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 9] «أَمَّا ٱلْآنَ فَصِرْتُ أُغْنِيَتَهُمْ، وَأَصْبَحْتُ لَهُمْ مَثَلًا!
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 10] يَكْرَهُونَنِي. يَبْتَعِدُونَ عَنِّي، وَأَمَامَ وَجْهِي لَمْ يُمْسِكُوا عَنِ ٱلْبَصْقِ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 11] لِأَنَّهُ أَطْلَقَ ٱلْعِنَانَ وَقَهَرَنِي، فَنَزَعُوا ٱلزِّمَامَ قُدَّامِي.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 12] عَنِ ٱلْيَمِينِ ٱلْفُرُوخُ يَقُومُونَ يُزِيحُونَ رِجْلِي، وَيُعِدُّونَ عَلَيَّ طُرُقَهُمْ لِلْبَوَارِ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 13] أَفْسَدُوا سُبُلِي. أَعَانُوا عَلَى سُقُوطِي. لَا مُسَاعِدَ عَلَيْهِمْ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 14] يَأْتُونَ كَصَدْعٍ عَرِيضٍ. تَحْتَ ٱلْهَدَّةِ يَتَدَحْرَجُونَ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 15] اِنْقَلَبَتْ عَلَيَّ أَهْوَالٌ. طَرَدَتْ كَٱلرِّيحِ نِعْمَتِي، فَعَبَرَتْ كَٱلسَّحَابِ سَعَادَتِي.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 16] «فَٱلْآنَ ٱنْهَالَتْ نَفْسِي عَلَيَّ، وَأَخَذَتْنِي أَيَّامُ ٱلْمَذَلَّةِ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 17] ٱللَّيْلَ يَنْخَرُ عِظَامِي فِيَّ، وَعَارِقِيَّ لَا تَهْجَعُ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 18] بِكَثْرَةِ ٱلشِّدَّةِ تَنَكَّرَ لِبْسِي. مِثْلَ جَيْبِ قَمِيصِي حَزَمَتْنِي.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 19] قَدْ طَرَحَنِي فِي ٱلْوَحْلِ، فَأَشْبَهْتُ ٱلتُّرَابَ وَٱلرَّمَادَ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 20] إِلَيْكَ أَصْرُخُ فَمَا تَسْتَجِيبُ لِي. أَقُومُ فَمَا تَنْتَبِهُ إِلَيَّ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 21] تَحَوَّلْتَ إِلَى جَافٍ مِنْ نَحْوِي. بِقُدْرَةِ يَدِكَ تَضْطَهِدُنِي.
