[VANDYKE | AR | OT | Job | Chapter 16 | Verse 1] فَأَجَابَ أَيُّوبُ وَقَالَ:
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 2] «قَدْ سَمِعْتُ كَثِيرًا مِثْلَ هَذَا. مُعَزُّونَ مُتْعِبُونَ كُلُّكُمْ!
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 3] هَلْ مِنْ نِهَايَةٍ لِكَلَامٍ فَارِغٍ؟ أَوْ مَاذَا يُهَيِّجُكَ حَتَّى تُجَاوِبَ؟
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 4] أَنَا أَيْضًا أَسْتَطِيعُ أَنْ أَتَكَلَّمَ مِثْلَكُمْ، لَوْ كَانَتْ أَنْفُسُكُمْ مَكَانَ نَفْسِي، وَأَنْ أَسْرُدَ عَلَيْكُمْ أَقْوَالًا وَأُنْغِضَ رَأْسِي إِلَيْكُمْ.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 5] بَلْ كُنْتُ أُشَدِّدُكُمْ بِفَمِي، وَتَعْزِيَةُ شَفَتَيَّ تُمْسِكُكُمْ.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 6] «إِنْ تَكَلَّمْتُ لَمْ تَمْتَنِعْ كَآبَتِي، وَإِنْ سَكَتُّ فَمَاذَا يَذْهَبُ عَنِّي؟
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 7] إِنَّهُ ٱلْآنَ ضَجَّرَنِي. خَرَّبْتَ كُلَّ جَمَاعَتِي.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 8] قَبَضْتَ عَلَيَّ. وُجِدَ شَاهِدٌ. قَامَ عَلَيَّ هُزَالِي يُجَاوِبُ فِي وَجْهِي.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 9] غَضَبُهُ ٱفْتَرَسَنِي وَٱضْطَهَدَنِي. حَرَقَ عَلَيَّ أَسْنَانَهُ. عَدُوِّي يُحَدِّدُ عَيْنَيْهِ عَلَيَّ.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 10] فَغَرُوا عَلَيَّ أَفْوَاهَهُمْ. لَطَمُونِي عَلَى فَكِّي تَعْيِيرًا. تَعَاوَنُوا عَلَيَّ جَمِيعًا.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 11] دَفَعَنِيَ ٱللهُ إِلَى ٱلظَّالِمِ، وَفِي أَيْدِي ٱلْأَشْرَارِ طَرَحَنِي.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 12] كُنْتُ مُسْتَرِيحًا فَزَعْزَعَنِي، وَأَمْسَكَ بِقَفَايَ فَحَطَّمَنِي، وَنَصَبَنِي لَهُ غَرَضًا.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 13] أَحَاطَتْ بِي رُمَاتُهُ. شَقَّ كُلْيَتَيَّ وَلَمْ يُشْفِقْ. سَفَكَ مَرَارَتِي عَلَى ٱلْأَرْضِ.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 14] يَقْتَحِمُنِي ٱقْتِحَامًا عَلَى ٱقْتِحَامٍ. يَعْدُو عَلَيَّ كَجَبَّارٍ.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 15] خِطْتُ مِسْحًا عَلَى جِلْدِي، وَدَسَسْتُ فِي ٱلتُّرَابِ قَرْنِي.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 16] اِحْمَرَّ وَجْهِي مِنَ ٱلْبُكَاءِ، وَعَلَى هُدْبِي ظِلُّ ٱلْمَوْتِ.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 17] مَعَ أَنَّهُ لَا ظُلْمَ فِي يَدِي، وَصَلَاتِي خَالِصَةٌ.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 18] «يَا أَرْضُ لَا تُغَطِّي دَمِي، وَلَا يَكُنْ مَكَانٌ لِصُرَاخِي.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 19] أَيْضًا ٱلْآنَ هُوَذَا فِي ٱلسَّمَاوَاتِ شَهِيدِي، وَشَاهِدِي فِي ٱلْأَعَالِي.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 20] ٱلْمُسْتَهْزِئُونَ بِي هُمْ أَصْحَابِي. لِلهِ تَقْطُرُ عَيْنِي
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 21] لِكَيْ يُحَاكِمَ ٱلْإِنْسَانَ عِنْدَ ٱللهِ كَٱبْنِ آدَمَ لَدَى صَاحِبِهِ.
[VANDYKE | AR | OT | Job | Chapter 16 | Verse 22] إِذَا مَضَتْ سِنُونَ قَلِيلَةٌ أَسْلُكُ فِي طَرِيقٍ لَا أَعُودُ مِنْهَا.
