[VANDYKE | AR | OT | Job | Chapter 27 | Verse 1] وَعَادَ أَيُّوبُ يَنْطِقُ بِمَثَلِهِ فَقَالَ:
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 2] «حَيٌّ هُوَ ٱللهُ ٱلَّذِي نَزَعَ حَقِّي، وَٱلْقَدِيرُ ٱلَّذِي أَمَرَّ نَفْسِي،
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 3] إِنَّهُ مَا دَامَتْ نَسَمَتِي فِيَّ، وَنَفْخَةُ ٱللهِ فِي أَنْفِي،
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 4] لَنْ تَتَكَلَّمَ شَفَتَايَ إِثْمًا، وَلَا يَلْفِظَ لِسَانِي بِغِشٍّ.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 5] حَاشَا لِي أَنْ أُبَرِّرَكُمْ! حَتَّى أُسْلِمَ ٱلرُّوحَ لَا أَعْزِلُ كَمَالِي عَنِّي.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 6] تَمَسَّكْتُ بِبِرِّي وَلَا أَرْخِيهِ. قَلْبِي لَا يُعَيِّرُ يَوْمًا مِنْ أَيَّامِي.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 7] لِيَكُنْ عَدُوِّي كَٱلشِّرِّيرِ، وَمُعَانِدِي كَفَاعِلِ ٱلشَّرِّ.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 8] لِأَنَّهُ مَا هُوَ رَجَاءُ ٱلْفَاجِرِ عِنْدَمَا يَقْطَعُهُ، عِنْدَمَا يَسْلُبُ ٱللهُ نَفْسَهُ؟
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 9] أَفَيَسْمَعُ ٱللهُ صُرَاخَهُ إِذَا جَاءَ عَلَيْهِ ضِيقٌ؟
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 10] أَمْ يَتَلَذَّذُ بِٱلْقَدِيرِ؟ هَلْ يَدْعُو ٱللهَ فِي كُلِّ حِينٍ؟
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 11] «إِنِّي أُعَلِّمُكُمْ بِيَدِ ٱللهِ. لَا أَكْتُمُ مَا هُوَ عِنْدَ ٱلْقَدِيرِ.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 12] هَا أَنْتُمْ كُلُّكُمْ قَدْ رَأَيْتُمْ، فَلِمَاذَا تَتَبَطَّلُونَ تَبَطُّلًا؟ قَائِلِينَ:
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 13] هَذَا نَصِيبُ ٱلْإِنْسَانِ ٱلشِّرِّيرِ مِنْ عِنْدِ ٱللهِ، وَمِيرَاثُ ٱلْعُتَاةِ ٱلَّذِي يَنَالُونَهُ مِنَ ٱلْقَدِيرِ.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 14] إِنْ كَثُرَ بَنُوهُ فَلِلسَّيْفِ، وَذُرِّيَّتُهُ لَا تَشْبَعُ خُبْزًا.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 15] بَقِيَّتُهُ تُدْفَنُ بِٱلْمَوْتَانِ، وَأَرَامِلُهُ لَا تَبْكِي.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 16] إِنْ كَنَزَ فِضَّةً كَٱلتُّرَابِ، وَأَعَدَّ مَلَابِسَ كَٱلطِّينِ،
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 17] فَهُوَ يُعِدُّ وَٱلْبَارُّ يَلْبَسُهُ، وَٱلْبَرِئُ يَقْسِمُ ٱلْفِضَّةَ.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 18] يَبْنِي بَيْتَهُ كَٱلْعُثِّ، أَوْ كَمَظَلَّةٍ صَنَعَهَا ٱلنَّاطُورُ.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 19] يَضْطَجِعُ غَنِيًّا وَلَكِنَّهُ لَا يُضَمُّ. يَفْتَحُ عَيْنَيْهِ وَلَا يَكُونُ.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 20] ٱلْأَهْوَالُ تُدْرِكُهُ كَٱلْمِيَاهِ. لَيْلًا تَخْتَطِفُهُ ٱلزَّوْبَعَةُ.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 21] تَحْمِلُهُ ٱلشَّرْقِيَّةُ فَيَذْهَبُ، وَتَجْرُفُهُ مِنْ مَكَانِهِ.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 22] يُلْقِي ٱللهُ عَلَيْهِ وَلَا يُشْفِقُ. مِنْ يَدِهِ يَهْرُبُ هَرَبًا.
[VANDYKE | AR | OT | Job | Chapter 27 | Verse 23] يَصْفِقُونَ عَلَيْهِ بِأَيْدِيهِمْ، وَيَصْفِرُونَ عَلَيْهِ مِنْ مَكَانِهِ.
