[VANDYKE | AR | OT | Job | Chapter 18 | Verse 1] فَقَالَ بِلْدَدُ الشُّوحِيُّ:
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 2] «مَتَى تَكُفُّ عَنْ تَرْدِيدِ هَذِهِ الْكَلِمَاتِ؟ تَعَقَّلْ ثُمَّ نَتَكَلَّمُ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 3] لِمَاذَا تَعْتَبِرُنَا كَالْبَهِيمَةِ وَحَمْقَى فِي عَيْنَيْكَ؟
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 4] يَا مَنْ تُمَزِّقُ نَفْسَكَ إِرْباً غَيْظاً، هَلْ تُهْجَرُ الأَرْضُ مِنْ أَجْلِكَ أَمْ تَتَزَحْزَحُ الصَّخْرَةُ مِنْ مَوْضِعِهَا؟
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 5] أَجَلْ! إِنَّ نُورَ الأَشْرَارِ يَنْطَفِئُ وَلَهِيبَ نَارِهِمْ لَا يُضِيءُ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 6] يَتَحَوَّلُ النُّورُ إِلَى ظُلْمَةٍ فِي خَيْمَتِهِ، وَيَنْطَفِئُ سِرَاجُهُ عَلَيْهِ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 7] تَقْصُرُ خَطْوَاتُهُ الْقَوِيَّةُ وَتَصْرَعُهُ تَدْبِيرَاتُهُ،
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 8] لأَنَّ قَدَمَيْهِ تُوْقِعَانِهِ فِي الشَّرَكِ وَتَطْرَحَانِهِ فِي حُفْرَةٍ،
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 9] يَقْبِضُ الْفَخُّ عَلَى عَقِبَيْهِ وَالشَّرَكُ يَشُدُّ عَلَيْهِ،
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 10] حِبَالَتُهُ مَطْمُورَةٌ فِي الطَّرِيقِ، وَالْمِصْيَدَةُ كَامِنَةٌ فِي سَبِيلِهِ،
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 11] تُرْعِبُهُ أَهْوَالٌ مِنْ حَوْلِهِ وَتُزَاحِمُهُ عِنْدَ رِجْلَيْهِ،
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 12] قُوَّتُهُ يَلْتَهِمُهَا الْجُوعُ النَّهِمُ، وَالْكَوَارِثُ مُتَأَهِّبَةٌ تَتَرَصَّدُ كَبْوَتَهُ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 13] يَفْتَرِسُ الدَّاءُ جِلْدَهُ وَيَلْتَهِمُ الْمَرَضُ الأَكَّالُ أَعْضَاءَهُ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 14] يُؤْخَذُ مِنْ خَيْمَتِهِ رُكْنِ اعْتِمَادِهِ، وَيُسَاقُ أَمَامَ مَلِكِ الأَهْوَالِ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 15] يُقِيمُ فِي خَيْمَتِهِ غَرِيبٌ وَيُذَرُّ كِبْرِيتٌ عَلَى مَرْبِضِهِ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 16] تَجِفُّ أُصُولُهُ تَحْتَهُ، وَتَتَبَعْثَرُ فُرُوعُهُ مِنْ فَوْقِهِ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 17] يَبِيدُ ذِكْرُهُ مِنَ الأَرْضِ، وَلا يَبْقَى لَهُ اسْمٌ فِيهَا.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 18] يُطْرَدُ مِنَ النُّورِ إِلَى الظُّلْمَةِ، وَيُنْفَى مِنَ الْمَسْكُونَةِ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 19] لَا يَكُونُ لَهُ نَسْلٌ، وَلا عَقِبٌ بَيْنَ شَعْبِهِ، وَلا حَيٌّ فِي أَمَاكِنِ سُكْنَاهُ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 20] يَرْتَعِبُ مِنْ مَصِيرِهِ أَهْلُ الْغَرْبِ، وَيَسْتَوْلِي الْفَزَعُ عَلَى أَبْنَاءِ الشَّرْقِ.
[VANDYKE | AR | OT | Job | Chapter 18 | Verse 21] حَقّاً تِلْكَ هِيَ مَسَاكِنُ الأَشْرَارِ، وَهَذَا هُوَ مَقَامُ مَنْ لَا يَعْرِفُ اللهَ!»
