[VANDYKE | AR | OT | Job | Chapter 29 | Verse 1] وَاسْتَطْرَدَ أَيُّوبُ فِي ضَرْبِ مَثَلِهِ:
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 2] «يَا لَيْتَنِي مَازِلْتُ كَمَا كُنْتُ فِي الشُّهُورِ الْغَابِرَةِ، فِي الأَيَّامِ الَّتِي حَفِظَنِي فِيهَا اللهُ،
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 3] كَانَ مِصْبَاحُهُ يُضِيءُ فَوْقَ رَأْسِي، فَأَسْلُكُ عَبْرَ الظُّلْمَةِ فِي نُورِهِ.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 4] يَوْمَ كُنْتُ فِي رَيعَانِ قُوَّتِي وَرِضَى اللهِ مُخَيِّماً فَوْقَ بَيْتِي.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 5] وَالْقَدِيرُ مَا بَرِحَ مَعِي، وَأَوْلادِي مَازَالُوا حَوْلِي.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 6] حِينَ كُنْتُ أَغْسِلُ خَطْوَاتِي بِاللَّبَنِ، وَالصَّخْرُ يَفِيضُ لِي أَنْهَاراً مِنَ الزَّيْتِ.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 7] حِينَ كُنْتُ أَخْرُجُ إِلَى بَوَّابَةِ الْمَدِينَةِ، وَأَحْتَلُّ فِي السَّاحَةِ مَجْلِسِي،
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 8] فَيَرَانِي الشُّبَّانُ وَيَتَوَارَوْنَ، وَيَقِفُ الشُّيُوخُ احْتِرَاماً لِي.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 9] يَمْتَنِعُ الْعُظَمَاءُ عَنِ الْكَلامِ وَيَضَعُونَ أَيْدِيَهُمْ عَلَى أَفْوَاهِهِمْ.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 10] يَتَلاشَى صَوْتُ النُّبَلاءِ، وَتَلْتَصِقُ أَلْسِنَتُهُمْ بِأَحْنَاكِهِمْ.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 11] إِذَا سَمِعَتْ لِيَ الأُذُنُ تُطَوِّبُنِي، وَإذَا شَهِدَتْنِي الْعَيْنُ تُثْنِي عَلَيَّ،
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 12] لأَنِّي أَنْقَذْتُ الْبَائِسَ الْمُسْتَغِيثَ، وَأَجَرْتُ الْيَتِيمَ طَالِبَ الْعَوْنِ،
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 13] فَحَلَّتْ عَلَيَّ بَرَكَةُ الْمُشْرِفِ عَلَى الْمَوْتِ، وَجَعَلْتُ قَلْبَ الأَرْمَلَةِ يَتَهَلَّلُ فَرَحاً.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 14] ارْتَدَيْتُ الْبِرَّ فَكَسَانِي، وَكَجُبَّةٍ وَعِمَامَةٍ كَانَ عَدْلِي.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 15] كُنْتُ عُيُوناً لِلأَعْمَى، وَأَقْدَاماً لِلأَعْرَجِ،
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 16] وَكُنْتُ أَباً لِلْمِسْكِينِ، أَتَقَصَّى دَعْوَى مَنْ لَمْ أَعْرِفْهُ.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 17] هَشَّمْتُ أَنْيَابَ الظَّالِمِ وَمِنْ بَيْنِ أَسْنَانِهِ نَزَعْتُ الْفَرِيسَةَ،
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 18] ثُمَّ حَدَّثْتُ نَفْسِي: إِنِّي سَأَمُوتُ فِي خَيْمَتِي وَتَتَكَاثَرُ أَيَّامِي كَحَبَّاتِ الرَّمْلِ.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 19] سَتَمْتَدُّ أُصُولِي إِلَى الْمِيَاهِ، وَالطَّلُّ يَبِيتُ عَلَى أَغْصَانِي.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 20] يَتَجَدَّدُ مَجْدِي دَائِماً، وَقَوْسِي أَبَداً جَدِيدَةٌ فِي يَدِي.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 21] يَسْتَمِعُ النَّاسُ لِي وَيَنْتَظِرُونَ، وَيَصْمُتُونَ مُنْصِتِينَ لِمَشُورَتِي.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 22] بَعْدَ كَلامِي لَا يُثَنُّونَ عَلَى أَقْوَالِي، وَحَدِيثِي يَقْطُرُ عَلَيْهِمْ كَالنَّدَى.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 23] يَتَرَقَّبُونَنِي كَالْغَيْثِ، وَيَفْتَحُونَ أَفْوَاهَهُمْ كَمَنْ يَنْهَلُ مِنْ مَطَرِ الرَّبِيعِ
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 24] إِنِ ابْتَسَمْتُ لَهُمْ لَا يُصَدِّقُونَ، وَنُورُ وَجْهِي لَمْ يَطْرَحُوهُ عَنْهُمْ بَعِيداً.
[VANDYKE | AR | OT | Job | Chapter 29 | Verse 25] أَخْتَارُ لَهُمْ طَرِيقَهُمْ وَأَتَصَدَّرُ مَجْلِسَهُمْ، وَأَكُونُ بَيْنَهُمْ كَمَلِكٍ بَيْنَ جُيُوشِهِ، وَكَالْمُعَزِّي بَيْنَ النَّائِحِينَ.
