[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 1] Παῦλος δέσμιος Χριστοῦ Ἰησοῦ, καὶ Τιμόθεος ὁ ἀδελφός, Φιλήμονι τῷ ἀγαπητῷ καὶ συνεργῷ ἡμῶν,
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 2] καὶ Ἀπφίᾳ τῇ ἀγαπητῇ, καὶ Ἀρχίππῳ τῷ συστρατιώτῃ ἡμῶν, καὶ τῇ κατ᾿ οἶκόν σου ἐκκλησίᾳ·
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 3] χάρις ὑμῖν καὶ εἰρήνη ἀπὸ Θεοῦ πατρὸς ἡμῶν καὶ Κυρίου Ἰησοῦ Χριστοῦ.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 4] Εὐχαριστῶ τῷ Θεῷ μου, πάντοτε μνείαν σου ποιούμενος ἐπὶ τῶν προσευχῶν μου,
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 5] ἀκούων σου τὴν ἀγάπην, καὶ τὴν πίστιν ἣν ἔχεις πρὸς τὸν Κύριον Ἰησοῦν καὶ εἰς πάντας τοὺς ἁγίους,
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 6] ὅπως ἡ κοινωνία τῆς πίστεώς σου ἐνεργὴς γένηται ἐν ἐπιγνώσει παντὸς ἀγαθοῦ τοῦ ἐν ὑμῖν εἰς Χριστὸν Ἰησοῦν.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 7] + 1:7 Χαρὰν ¦ Χάριν ST Χαρὰν γὰρ ἔχομεν πολλὴν καὶ παράκλησιν ἐπὶ τῇ ἀγάπῃ σου, ὅτι τὰ σπλάγχνα τῶν ἁγίων ἀναπέπαυται διὰ σοῦ, ἀδελφέ.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 8] Διὸ πολλὴν ἐν Χριστῷ παρρησίαν ἔχων ἐπιτάσσειν σοι τὸ ἀνῆκον,
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 9] διὰ τὴν ἀγάπην μᾶλλον παρακαλῶ, τοιοῦτος ὢν ὡς Παῦλος πρεσβύτης, νυνὶ δὲ καὶ δέσμιος Ἰησοῦ Χριστοῦ.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 10] Παρακαλῶ σε περὶ τοῦ ἐμοῦ τέκνου, ὃν ἐγέννησα ἐν τοῖς δεσμοῖς μου, Ὀνήσιμον,
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 11] τόν ποτέ σοι ἄχρηστον, νυνὶ δὲ σοὶ καὶ ἐμοὶ εὔχρηστον, ὃν ἀνέπεμψα·
