[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 1] The LORD’s word came again to me, saying,
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 2] “Son of man, there were two women, the daughters of one mother.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 3] They played the prostitute in Egypt. They played the prostitute in their youth. Their breasts were fondled there, and their youthful nipples were caressed there.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 4] Their names were Oholah the elder, and Oholibah her sister. They became mine, and they bore sons and daughters. As for their names, Samaria is Oholah, and Jerusalem Oholibah.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 5] “Oholah played the prostitute when she was mine. She doted on her lovers, on the Assyrians her neighbors,
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 6] who were clothed with blue—governors and rulers, all of them desirable young men, horsemen riding on horses.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 7] She gave herself as a prostitute to them, all of them the choicest men of Assyria. She defiled herself with the idols of whomever she lusted after.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 8] She hasn’t left her prostitution since leaving Egypt; for in her youth they lay with her. They caressed her youthful nipples and they poured out their prostitution on her.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 9] “Therefore I delivered her into the hand of her lovers, into the hand of the Assyrians on whom she doted.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 10] These uncovered her nakedness. They took her sons and her daughters, and they killed her with the sword. She became a byword among women; for they executed judgments on her.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 11] “Her sister Oholibah saw this, yet she was more corrupt in her lusting than she, and in her prostitution which was more depraved than the prostitution of her sister.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 12] She lusted after the Assyrians, governors and rulers—her neighbors, clothed most gorgeously, horsemen riding on horses, all of them desirable young men.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 13] I saw that she was defiled. They both went the same way.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 14] “She increased her prostitution; for she saw men portrayed on the wall, the images of the Chaldeans portrayed with red,
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 15] dressed with belts on their waists, with flowing turbans on their heads, all of them looking like princes, after the likeness of the Babylonians in Chaldea, the land of their birth.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 16] As soon as she saw them, she lusted after them and sent messengers to them into Chaldea.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 17] The Babylonians came to her into the bed of love, and they defiled her with their prostitution. She was polluted with them, and her soul was alienated from them.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 18] So she uncovered her prostitution and uncovered her nakedness. Then my soul was alienated from her, just like my soul was alienated from her sister.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 19] Yet she multiplied her prostitution, remembering the days of her youth, in which she had played the prostitute in the land of Egypt.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 20] She lusted after their lovers, whose flesh is as the flesh of donkeys, and whose issue is like the issue of horses.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 21] Thus you called to memory the lewdness of your youth, in the caressing of your nipples by the Egyptians because of your youthful breasts.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 22] “Therefore, Oholibah, the Lord GOD says: ‘Behold, I will raise up your lovers against you, from whom your soul is alienated, and I will bring them against you on every side:
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 23] the Babylonians and all the Chaldeans, Pekod, Shoa, Koa, and all the Assyrians with them; all of them desirable young men, governors and rulers, princes and men of renown, all of them riding on horses.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 24] They will come against you with weapons, chariots, and wagons, and with a company of peoples. They will set themselves against you with buckler, shield, and helmet all around. I will commit the judgment to them, and they will judge you according to their judgments.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 25] I will set my jealousy against you, and they will deal with you in fury. They will take away your nose and your ears. Your remnant will fall by the sword. They will take your sons and your daughters; and the rest of you will be devoured by the fire.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 26] They will also strip you of your clothes and take away your beautiful jewels.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 27] Thus I will make your lewdness to cease from you, and remove your prostitution from the land of Egypt, so that you will not lift up your eyes to them, nor remember Egypt any more.’
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 28] “For the Lord GOD says: ‘Behold, I will deliver you into the hand of them whom you hate, into the hand of them from whom your soul is alienated.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 29] They will deal with you in hatred, and will take away all your labor, and will leave you naked and bare. The nakedness of your prostitution will be uncovered, both your lewdness and your prostitution.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 30] These things will be done to you because you have played the prostitute after the nations, and because you are polluted with their idols.
