[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 1] The LORD’s word came to me, saying,
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 2] “Son of man, speak to the children of your people, and tell them, ‘When I bring the sword on a land, and the people of the land take a man from among them, and set him for their watchman,
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 3] if, when he sees the sword come on the land, he blows the trumpet and warns the people,
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 4] then whoever hears the sound of the trumpet and doesn’t heed the warning, if the sword comes and takes him away, his blood will be on his own head.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 5] He heard the sound of the trumpet and didn’t take warning. His blood will be on him; whereas if he had heeded the warning, he would have delivered his soul.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 6] But if the watchman sees the sword come and doesn’t blow the trumpet, and the people aren’t warned, and the sword comes and takes any person from among them, he is taken away in his iniquity, but his blood I will require at the watchman’s hand.’
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 7] “So you, son of man, I have set you a watchman to the house of Israel. Therefore hear the word from my mouth, and give them warnings from me.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 8] When I tell the wicked, ‘O wicked man, you will surely die,’ and you don’t speak to warn the wicked from his way, that wicked man will die in his iniquity, but I will require his blood at your hand.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 9] Nevertheless, if you warn the wicked of his way to turn from it, and he doesn’t turn from his way; he will die in his iniquity, but you have delivered your soul.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 10] “You, son of man, tell the house of Israel: ‘You say this, “Our transgressions and our sins are on us, and we pine away in them. How then can we live?”’
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 11] Tell them, ‘“As I live,” says the Lord GOD, “I have no pleasure in the death of the wicked, but that the wicked turn from his way and live. Turn, turn from your evil ways! For why will you die, house of Israel?”’
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 12] “You, son of man, tell the children of your people, ‘The righteousness of the righteous will not deliver him in the day of his disobedience. And as for the wickedness of the wicked, he will not fall by it in the day that he turns from his wickedness; neither will he who is righteous be able to live by it in the day that he sins.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 13] When I tell the righteous that he will surely live, if he trusts in his righteousness and commits iniquity, none of his righteous deeds will be remembered; but he will die in his iniquity that he has committed.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 14] Again, when I say to the wicked, “You will surely die,” if he turns from his sin and does that which is lawful and right,
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 15] if the wicked restore the pledge, give again that which he had taken by robbery, walk in the statutes of life, committing no iniquity, he will surely live. He will not die.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 16] None of his sins that he has committed will be remembered against him. He has done that which is lawful and right. He will surely live.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 17] “‘Yet the children of your people say, “The way of the Lord is not fair;” but as for them, their way is not fair.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 18] When the righteous turns from his righteousness and commits iniquity, he will even die therein.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 19] When the wicked turns from his wickedness and does that which is lawful and right, he will live by it.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 20] Yet you say, “The way of the Lord is not fair.” House of Israel, I will judge every one of you after his ways.’”
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 21] In the twelfth year of our captivity, in the tenth month, in the fifth day of the month, one who had escaped out of Jerusalem came to me, saying, “The city has been defeated!”
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 22] Now the LORD’s hand had been on me in the evening, before he who had escaped came; and he had opened my mouth until he came to me in the morning; and my mouth was opened, and I was no longer mute.
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 23] The LORD’s word came to me, saying,
[WEB | EN | OT | Ezekiel | Chapter 33 | Verse 24] “Son of man, those who inhabit the waste places in the land of Israel speak, saying, ‘Abraham was one, and he inherited the land; but we are many. The land is given us for inheritance.’
