[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 1] Then he brought me out into the outer court, the way toward the north. Then he brought me into the room that was opposite the separate place, and which was opposite the building toward the north.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 2] Facing the length of one hundred cubits was the north door, and the width was fifty cubits.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 3] Opposite the twenty cubits which belonged to the inner court, and opposite the pavement which belonged to the outer court, was gallery against gallery in the three stories.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 4] Before the rooms was a walk of ten cubits’ width inward, a way of one cubit; and their doors were toward the north.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 5] Now the upper rooms were shorter; for the galleries took away from these more than from the lower and the middle in the building.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 6] For they were in three stories, and they didn’t have pillars as the pillars of the courts. Therefore the uppermost was set back more than the lowest and the middle from the ground.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 7] The wall that was outside by the side of the rooms, toward the outer court before the rooms, was fifty cubits long.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 8] For the length of the rooms that were in the outer court was fifty cubits. Behold, those facing the temple were one hundred cubits.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 9] From under these rooms was the entry on the east side, as one goes into them from the outer court.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 10] In the thickness of the wall of the court toward the east, before the separate place, and before the building, there were rooms.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 11] The way before them was like the appearance of the rooms which were toward the north. Their length and width were the same. All their exits had the same arrangement and doors.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 12] Like the doors of the rooms that were toward the south was a door at the head of the way, even the way directly before the wall toward the east, as one enters into them.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 13] Then he said to me, “The north rooms and the south rooms, which are opposite the separate place, are the holy rooms, where the priests who are near to the LORD shall eat the most holy things. There they shall lay the most holy things, with the meal offering, the sin offering, and the trespass offering; for the place is holy.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 14] When the priests enter in, then they shall not go out of the holy place into the outer court until they lay their garments in which they minister there; for they are holy. Then they shall put on other garments, and shall approach that which is for the people.”
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 15] Now when he had finished measuring the inner house, he brought me out by the way of the gate which faces toward the east, and measured it all around.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 16] He measured on the east side with the measuring reed five hundred reeds, with the measuring reed all around.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 17] He measured on the north side five hundred reeds with the measuring reed all around.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 18] He measured on the south side five hundred reeds with the measuring reed.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 19] He turned about to the west side, and measured five hundred reeds with the measuring reed.
[WEB | EN | OT | Ezekiel | Chapter 42 | Verse 20] He measured it on the four sides. It had a wall around it, the length five hundred cubits, and the width five hundred cubits, to make a separation between that which was holy and that which was common.
