[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 1] Moreover the LORD’s word came to me, saying,
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 2] “Son of man, set your face against Mount Seir, and prophesy against it,
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 3] and tell it, ‘The Lord GOD says: “Behold, I am against you, Mount Seir, and I will stretch out my hand against you. I will make you a desolation and an astonishment.
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 4] I will lay your cities waste, and you will be desolate. Then you will know that I am the LORD.
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 5] “‘“Because you have had a perpetual hostility, and have given over the children of Israel to the power of the sword in the time of their calamity, in the time of the iniquity of the end,
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 6] therefore, as I live,” says the Lord GOD, “I will prepare you for blood, and blood will pursue you. Since you have not hated blood, therefore blood will pursue you.
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 7] Thus I will make Mount Seir an astonishment and a desolation. I will cut off from it him who passes through and him who returns.
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 8] I will fill its mountains with its slain. The slain with the sword will fall in your hills and in your valleys and in all your watercourses.
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 9] I will make you a perpetual desolation, and your cities will not be inhabited. Then you will know that I am the LORD.
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 10] “‘“Because you have said, ‘These two nations and these two countries will be mine, and we will possess it,’ although the LORD was there,
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 11] therefore, as I live,” says the Lord GOD, “I will do according to your anger, and according to your envy which you have shown out of your hatred against them; and I will make myself known among them when I judge you.
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 12] You will know that I, the LORD, have heard all your insults which you have spoken against the mountains of Israel, saying, ‘They have been laid desolate. They have been given to us to devour.’
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 13] You have magnified yourselves against me with your mouth, and have multiplied your words against me. I have heard it.”
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 14] The Lord GOD says: “When the whole earth rejoices, I will make you desolate.
[WEB | EN | OT | Ezekiel | Chapter 35 | Verse 15] As you rejoiced over the inheritance of the house of Israel because it was desolate, so I will do to you. You will be desolate, Mount Seir, and all Edom, even all of it. Then they will know that I am the LORD.’”
