[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 1] He brought me to the nave and measured the posts, six cubits wide on the one side and six cubits wide on the other side, which was the width of the tent.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 2] The width of the entrance was ten cubits, and the sides of the entrance were five cubits on the one side, and five cubits on the other side. He measured its length, forty cubits, and the width, twenty cubits.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 3] Then he went inward and measured each post of the entrance, two cubits; and the entrance, six cubits; and the width of the entrance, seven cubits.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 4] He measured its length, twenty cubits, and the width, twenty cubits, before the nave. He said to me, “This is the most holy place.”
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 5] Then he measured the wall of the house, six cubits; and the width of every side room, four cubits, all around the house on every side.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 6] The side rooms were in three stories, one over another, and thirty in each story. They entered into the wall which belonged to the house for the side rooms all around, that they might be supported and not penetrate the wall of the house.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 7] The side rooms were wider on the higher levels, because the walls were narrower at the higher levels. Therefore the width of the house increased upward; and so one went up from the lowest level to the highest through the middle level.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 8] I saw also that the house had a raised base all around. The foundations of the side rooms were a full reed of six great cubits.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 9] The thickness of the outer wall of the side rooms was five cubits. That which was left was the place of the side rooms that belonged to the house.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 10] Between the rooms was a width of twenty cubits around the house on every side.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 11] The doors of the side rooms were toward an open area that was left, one door toward the north, and another door toward the south. The width of the open area was five cubits all around.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 12] The building that was before the separate place at the side toward the west was seventy cubits wide; and the wall of the building was five cubits thick all around, and its length ninety cubits.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 13] So he measured the temple, one hundred cubits long; and the separate place, and the building, with its walls, one hundred cubits long;
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 14] also the width of the face of the temple, and of the separate place toward the east, one hundred cubits.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 15] He measured the length of the building before the separate place which was at its back, and its galleries on the one side and on the other side, one hundred cubits from the inner temple, and the porches of the court,
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 16] the thresholds, and the closed windows, and the galleries around on their three stories, opposite the threshold, with wood ceilings all around, and from the ground up to the windows, (now the windows were covered),
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 17] to the space above the door, even to the inner house, and outside, and by all the wall all around inside and outside, by measure.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 18] It was made with cherubim and palm trees. A palm tree was between cherub and cherub, and every cherub had two faces,
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 19] so that there was the face of a man toward the palm tree on the one side, and the face of a young lion toward the palm tree on the other side. It was made like this through all the house all around.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 20] Cherubim and palm trees were made from the ground to above the door. The wall of the temple was like this.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 21] The door posts of the nave were squared. As for the face of the nave, its appearance was as the appearance of the temple.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 22] The altar was of wood, three cubits high, and its length two cubits. Its corners, its base, and its walls were of wood. He said to me, “This is the table that is before the LORD.”
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 23] The temple and the sanctuary had two doors.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 24] The doors had two leaves each, two turning leaves: two for the one door, and two leaves for the other.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 25] There were made on them, on the doors of the nave, cherubim and palm trees, like those made on the walls. There was a threshold of wood on the face of the porch outside.
[WEB | EN | OT | Ezekiel | Chapter 41 | Verse 26] There were closed windows and palm trees on the one side and on the other side, on the sides of the porch. This is how the side rooms of the temple and the thresholds were arranged.
