[ERV | EN | OT | Job | Chapter 18 | Verse 1] Then answered Bildad the Shuhite, and said,
[ERV | EN | OT | Job | Chapter 18 | Verse 2] How long will ye lay snares for words? consider, and afterwards we will speak.
[ERV | EN | OT | Job | Chapter 18 | Verse 3] Wherefore are we counted as beasts, and are become unclean in your sight?
[ERV | EN | OT | Job | Chapter 18 | Verse 4] Thou that tearest thyself in thine anger, shall the earth be forsaken for thee? or shall the rock be removed out of its place?
[ERV | EN | OT | Job | Chapter 18 | Verse 5] Yea, the light of the wicked shall be put out, and the spark of his fire shall not shine.
[ERV | EN | OT | Job | Chapter 18 | Verse 6] The light shall be dark in his tent, and his lamp above him shall be put out.
[ERV | EN | OT | Job | Chapter 18 | Verse 7] The steps of his strength shall be straitened, and his own counsel shall cast him down.
[ERV | EN | OT | Job | Chapter 18 | Verse 8] For he is cast into a net by his own feet, and he walketh upon the toils.
[ERV | EN | OT | Job | Chapter 18 | Verse 9] A gin shall take him by the heel, and a snare shall lay hold on him.
[ERV | EN | OT | Job | Chapter 18 | Verse 10] A noose is hid for him in the ground, and a trap for him in the way.
[ERV | EN | OT | Job | Chapter 18 | Verse 11] Terrors shall make him afraid on every side, and shall chase him at his heels.
[ERV | EN | OT | Job | Chapter 18 | Verse 12] His strength shall be hunger-bitten and calamity shall be ready for his halting.
[ERV | EN | OT | Job | Chapter 18 | Verse 13] It shall devour the members of his body, yea, the firstborn of death shall devour his members.
[ERV | EN | OT | Job | Chapter 18 | Verse 14] He shall be rooted out of his tent wherein he trusteth; and he shall be brought to the king of terrors.
[ERV | EN | OT | Job | Chapter 18 | Verse 15] There shall dwell in his tent that which is none of his: brimstone shall be scattered upon his habitation.
[ERV | EN | OT | Job | Chapter 18 | Verse 16] His roots shall be dried up beneath, and above shall his branch be cut off.
[ERV | EN | OT | Job | Chapter 18 | Verse 17] His remembrance shall perish from the earth, and he shall have no name in the street.
[ERV | EN | OT | Job | Chapter 18 | Verse 18] He shall be driven from light into darkness, and chased out of the world.
[ERV | EN | OT | Job | Chapter 18 | Verse 19] He shall have neither son nor son’s son among his people, nor any remaining where he sojourned.
[ERV | EN | OT | Job | Chapter 18 | Verse 20] They that come after shall be astonied at his day, as they that went before were affrighted.
[ERV | EN | OT | Job | Chapter 18 | Verse 21] Surely such are the dwellings of the unrighteous, and this is the place of him that knoweth not God.
