[ERV | EN | OT | Job | Chapter 13 | Verse 1] Lo, mine eye hath seen all this, mine ear hath heard and understood it.
[ERV | EN | OT | Job | Chapter 13 | Verse 2] What ye know, the same do I know also: I am not inferior unto you.
[ERV | EN | OT | Job | Chapter 13 | Verse 3] Surely I would speak to the Almighty, and I desire to reason with God.
[ERV | EN | OT | Job | Chapter 13 | Verse 4] But ye are forgers of lies, ye are all physicians of no value.
[ERV | EN | OT | Job | Chapter 13 | Verse 5] Oh that ye would altogether hold your peace! and it should be your wisdom.
[ERV | EN | OT | Job | Chapter 13 | Verse 6] Hear now my reasoning, and hearken to the pleadings of my lips.
[ERV | EN | OT | Job | Chapter 13 | Verse 7] Will ye speak unrighteously for God, and talk deceitfully for him?
[ERV | EN | OT | Job | Chapter 13 | Verse 8] Will ye respect his person? will ye contend for God?
[ERV | EN | OT | Job | Chapter 13 | Verse 9] Is it good that he should search you out? or as one deceiveth a man, will ye deceive him?
[ERV | EN | OT | Job | Chapter 13 | Verse 10] He will surely reprove you, if ye do secretly respect persons.
[ERV | EN | OT | Job | Chapter 13 | Verse 11] Shall not his excellency make you afraid, and his dread fall upon you?
[ERV | EN | OT | Job | Chapter 13 | Verse 12] Your memorable sayings are proverbs of ashes, your defences are defences of clay.
[ERV | EN | OT | Job | Chapter 13 | Verse 13] Hold your peace, let me alone, that I may speak, and let come on me what wilt.
[ERV | EN | OT | Job | Chapter 13 | Verse 14] Wherefore should I take my flesh in my teeth, and put my life in mine hand?
[ERV | EN | OT | Job | Chapter 13 | Verse 15] Though he slay me, yet will I wait for him: nevertheless I will maintain my ways before him.
[ERV | EN | OT | Job | Chapter 13 | Verse 16] This also shall be my salvation; for a godless man shall not come before him.
[ERV | EN | OT | Job | Chapter 13 | Verse 17] Hear diligently my speech, and let my declaration be in your ears.
[ERV | EN | OT | Job | Chapter 13 | Verse 18] Behold now, I have ordered my cause; I know that I am righteous.
[ERV | EN | OT | Job | Chapter 13 | Verse 19] Who is he that will contend with me? for now shall I hold my peace and give up the ghost.
[ERV | EN | OT | Job | Chapter 13 | Verse 20] Only do not two things unto me, then will I not hide myself from thy face:
[ERV | EN | OT | Job | Chapter 13 | Verse 21] Withdraw thine hand far from me; and let not thy terror make me afraid.
[ERV | EN | OT | Job | Chapter 13 | Verse 22] Then call thou, and I will answer; or let me speak, and answer thou me.
[ERV | EN | OT | Job | Chapter 13 | Verse 23] How many are mine iniquities and sins? make me to know my transgression and my sin.
[ERV | EN | OT | Job | Chapter 13 | Verse 24] Wherefore hidest thou thy face, and holdest me for thine enemy?
[ERV | EN | OT | Job | Chapter 13 | Verse 25] Wilt thou harass a driven leaf? and wilt thou pursue the dry stubble?
[ERV | EN | OT | Job | Chapter 13 | Verse 26] For thou writest bitter things against me, and makest me to inherit the iniquities of my youth:
[ERV | EN | OT | Job | Chapter 13 | Verse 27] Thou puttest my feet also in the stocks, and markest all my paths; thou drawest thee a line about the soles of my feet:
[ERV | EN | OT | Job | Chapter 13 | Verse 28] Though I am like a rotten thing that consumeth, like a garment that is moth-eaten.
