[ERV | EN | OT | Job | Chapter 15 | Verse 1] Then answered Eliphaz the Temanite, and said,
[ERV | EN | OT | Job | Chapter 15 | Verse 2] Should a wise man make answer with vain knowledge, and fill his belly with the east wind?
[ERV | EN | OT | Job | Chapter 15 | Verse 3] Should he reason with unprofitable talk, or with speeches wherewith he can do no good?
[ERV | EN | OT | Job | Chapter 15 | Verse 4] Yea, thou doest away with fear, and restrainest devotion before God.
[ERV | EN | OT | Job | Chapter 15 | Verse 5] For thine iniquity teacheth thy mouth, and thou choosest the tongue of the crafty.
[ERV | EN | OT | Job | Chapter 15 | Verse 6] Thine own mouth condemneth thee, and not I; yea, thine own lips testify against thee.
[ERV | EN | OT | Job | Chapter 15 | Verse 7] Art thou the first man that was born? or wast thou brought forth before the hills?
[ERV | EN | OT | Job | Chapter 15 | Verse 8] Hast thou heard the secret counsel of God? and dost thou restrain wisdom to thyself?
[ERV | EN | OT | Job | Chapter 15 | Verse 9] What knowest thou, that we know not? what understandest thou, which is not in us?
[ERV | EN | OT | Job | Chapter 15 | Verse 10] With us are both the grayheaded and the very aged men, much elder than thy father.
[ERV | EN | OT | Job | Chapter 15 | Verse 11] Are the consolations of God too small for thee, and the word that dealeth gently with thee?
[ERV | EN | OT | Job | Chapter 15 | Verse 12] Why doth thine heart carry thee away? and why do thine eyes wink?
[ERV | EN | OT | Job | Chapter 15 | Verse 13] That thou turnest thy spirit against God, and lettest such words go out of thy mouth.
[ERV | EN | OT | Job | Chapter 15 | Verse 14] What is man, that he should be clean? and he which is born of a woman, that he should be righteous?
[ERV | EN | OT | Job | Chapter 15 | Verse 15] Behold, he putteth no trust in his holy ones; yea, the heavens are not clean in his sight.
[ERV | EN | OT | Job | Chapter 15 | Verse 16] How much less one that is abominable and corrupt, a man that drinketh iniquity like water!
[ERV | EN | OT | Job | Chapter 15 | Verse 17] I will shew thee, hear thou me; and that which I have seen I will declare:
[ERV | EN | OT | Job | Chapter 15 | Verse 18] (Which wise men have told from their fathers, and have not hid it;
[ERV | EN | OT | Job | Chapter 15 | Verse 19] Unto whom alone the land was given, and no stranger passed among them:)
[ERV | EN | OT | Job | Chapter 15 | Verse 20] The wicked man travaileth with pain all his days, even the number of years that are laid up for the oppressor.
[ERV | EN | OT | Job | Chapter 15 | Verse 21] A sound of terrors is in his ears; in prosperity the spoiler shall come upon him:
[ERV | EN | OT | Job | Chapter 15 | Verse 22] He believeth not that he shall return out of darkness, and he is waited for of the sword:
[ERV | EN | OT | Job | Chapter 15 | Verse 23] He wandereth abroad for bread, saying, Where is it? he knoweth that the day of darkness is ready at his hand:
[ERV | EN | OT | Job | Chapter 15 | Verse 24] Distress and anguish make him afraid; they prevail against him, as a king ready to the battle:
[ERV | EN | OT | Job | Chapter 15 | Verse 25] Because he hath stretched out his hand against God, and behaveth himself proudly against the Almighty;
[ERV | EN | OT | Job | Chapter 15 | Verse 26] He runneth upon him with a stiff neck, with the thick bosses of his bucklers:
[ERV | EN | OT | Job | Chapter 15 | Verse 27] Because he hath covered his face with his fatness, and made collops of fat on his flanks;
[ERV | EN | OT | Job | Chapter 15 | Verse 28] And he hath dwelt in desolate cities, in houses which no man inhabited, which were ready to become heaps.
[ERV | EN | OT | Job | Chapter 15 | Verse 29] He shall not be rich, neither shall his substance continue, neither shall their produce bend to the earth.
[ERV | EN | OT | Job | Chapter 15 | Verse 30] He shall not depart out of darkness; the flame shall dry up his branches, and by the breath of his mouth shall he go away.
[ERV | EN | OT | Job | Chapter 15 | Verse 31] Let him not trust in vanity, deceiving himself: for vanity shall be his recompence.
[ERV | EN | OT | Job | Chapter 15 | Verse 32] It shall be accomplished before his time, and his branch shall not be green.
[ERV | EN | OT | Job | Chapter 15 | Verse 33] He shall shake off his unripe grape as the vine, and shall cast off his flower as the olive.
[ERV | EN | OT | Job | Chapter 15 | Verse 34] For the company of the godless shall be barren, and fire shall consume the tents of bribery.
[ERV | EN | OT | Job | Chapter 15 | Verse 35] They conceive mischief, and bring forth iniquity, and their belly prepareth deceit.
