[ERV | EN | OT | Job | Chapter 41 | Verse 1] Canst thou draw out leviathan with a fish hook? or press down his tongue with a cord?
[ERV | EN | OT | Job | Chapter 41 | Verse 2] Canst thou put a rope into his nose? or pierce his jaw through with a hook?
[ERV | EN | OT | Job | Chapter 41 | Verse 3] Will he make many supplications unto thee? or will he speak soft words unto thee?
[ERV | EN | OT | Job | Chapter 41 | Verse 4] Will he make a covenant with thee, that thou shouldest take him for a servant for ever?
[ERV | EN | OT | Job | Chapter 41 | Verse 5] Wilt thou play with him as with a bird? or wilt thou bind him for thy maidens?
[ERV | EN | OT | Job | Chapter 41 | Verse 6] Shall the bands of fishermen make traffic of him? shall they part him among the merchants?
[ERV | EN | OT | Job | Chapter 41 | Verse 7] Canst thou fill his skin with barbed irons, or his head with fish spears?
[ERV | EN | OT | Job | Chapter 41 | Verse 8] Lay thine hand upon him; remember the battle, and do so no more.
[ERV | EN | OT | Job | Chapter 41 | Verse 9] Behold, the hope of him is in vain: shall not one be cast down even at the sight of him?
[ERV | EN | OT | Job | Chapter 41 | Verse 10] None is so fierce that he dare stir him up: who then is he that can stand before me?
[ERV | EN | OT | Job | Chapter 41 | Verse 11] Who hath first given unto me, that I should repay him? whatsoever is under the whole heaven is mine.
[ERV | EN | OT | Job | Chapter 41 | Verse 12] I will not keep silence concerning his limbs, nor his mighty strength, nor his comely proportion.
[ERV | EN | OT | Job | Chapter 41 | Verse 13] Who can strip off his outer garment? who shall come within his double bridle?
[ERV | EN | OT | Job | Chapter 41 | Verse 14] Who can open the doors of his face? round about his teeth is terror.
[ERV | EN | OT | Job | Chapter 41 | Verse 15] His strong scales are his pride, shut up together as with a close seal.
[ERV | EN | OT | Job | Chapter 41 | Verse 16] One is so near to another, that no air can come between them.
[ERV | EN | OT | Job | Chapter 41 | Verse 17] They are joined one to another; they stick together, that they cannot be sundered.
[ERV | EN | OT | Job | Chapter 41 | Verse 18] His neesings flash forth light, and his eyes are like the eyelids of the morning.
[ERV | EN | OT | Job | Chapter 41 | Verse 19] Out of his mouth go burning torches, and sparks of fire leap forth.
[ERV | EN | OT | Job | Chapter 41 | Verse 20] Out of his nostrils a smoke goeth, as of a seething pot and burning rushes.
[ERV | EN | OT | Job | Chapter 41 | Verse 21] His breath kindleth coals, and a flame goeth forth from his mouth.
[ERV | EN | OT | Job | Chapter 41 | Verse 22] In his neck abideth strength, and terror danceth before him.
[ERV | EN | OT | Job | Chapter 41 | Verse 23] The flakes of his flesh are joined together: they are firm upon him; they cannot be moved.
[ERV | EN | OT | Job | Chapter 41 | Verse 24] His heart is as firm as a stone; yea, firm as the nether millstone.
[ERV | EN | OT | Job | Chapter 41 | Verse 25] When he raiseth himself up, the mighty are afraid: by reason of consternation they are beside themselves.
[ERV | EN | OT | Job | Chapter 41 | Verse 26] If one lay at him with the sword, it cannot avail; nor the spear, the dart, nor the pointed shaft.
[ERV | EN | OT | Job | Chapter 41 | Verse 27] He counteth iron as straw, and brass as rotten wood.
[ERV | EN | OT | Job | Chapter 41 | Verse 28] The arrow cannot make him flee: slingstones are turned with him into stubble.
[ERV | EN | OT | Job | Chapter 41 | Verse 29] Clubs are counted as stubble: he laugheth at the rushing of the javelin.
[ERV | EN | OT | Job | Chapter 41 | Verse 30] His underparts are like sharp potsherds: he spreadeth as it were a threshing wain upon the mire.
[ERV | EN | OT | Job | Chapter 41 | Verse 31] He maketh the deep to boil like a pot: he maketh the sea like ointment.
[ERV | EN | OT | Job | Chapter 41 | Verse 32] He maketh a path to shine after him; one would think the deep to be hoary.
[ERV | EN | OT | Job | Chapter 41 | Verse 33] Upon earth there is not his like, that is made without fear.
[ERV | EN | OT | Job | Chapter 41 | Verse 34] He beholdeth every thing that is high: he is king over all the sons of pride.
