[ERV | EN | OT | Job | Chapter 14 | Verse 1] Man that is born of a woman is of few days, and full of trouble.
[ERV | EN | OT | Job | Chapter 14 | Verse 2] He cometh forth like a flower, and is cut down: he fleeth also as a shadow, and continueth not.
[ERV | EN | OT | Job | Chapter 14 | Verse 3] And dost thou open thine eyes upon such an one, and bringest me into judgment with thee?
[ERV | EN | OT | Job | Chapter 14 | Verse 4] Who can bring a clean thing out of an unclean? not one.
[ERV | EN | OT | Job | Chapter 14 | Verse 5] Seeing his days are determined, the number of his months is with thee, and thou hast appointed his bounds that he cannot pass;
[ERV | EN | OT | Job | Chapter 14 | Verse 6] Look away from him, that he may rest, till he shall accomplish, as an hireling, his day.
[ERV | EN | OT | Job | Chapter 14 | Verse 7] For there is hope of a tree, if it be cut down, that it will sprout again, and that the tender branch thereof will not cease.
[ERV | EN | OT | Job | Chapter 14 | Verse 8] Though the root thereof wax old in the earth, and the stock thereof die in the ground;
[ERV | EN | OT | Job | Chapter 14 | Verse 9] Yet through the scent of water it will bud, and put forth boughs like a plant.
[ERV | EN | OT | Job | Chapter 14 | Verse 10] But man dieth, and wasteth away: yea, man giveth up the ghost, and where is he?
[ERV | EN | OT | Job | Chapter 14 | Verse 11] As the waters fail from the sea, and the river decayeth and drieth up;
[ERV | EN | OT | Job | Chapter 14 | Verse 12] So man lieth down and riseth not: till the heavens be no more, they shall not awake, nor be roused out of their sleep.
[ERV | EN | OT | Job | Chapter 14 | Verse 13] Oh that thou wouldest hide me in Sheol, that thou wouldest keep me secret, until thy wrath be past, that thou wouldest appoint me a set time, and remember me!
[ERV | EN | OT | Job | Chapter 14 | Verse 14] If a man die, shall he live again? all the days of my warfare would I wait, till my release should come.
[ERV | EN | OT | Job | Chapter 14 | Verse 15] Thou shouldest call, and I would answer thee: thou wouldest have a desire to the work of thine hands.
[ERV | EN | OT | Job | Chapter 14 | Verse 16] But now thou numberest my steps: dost thou not watch over my sin?
[ERV | EN | OT | Job | Chapter 14 | Verse 17] My transgression is sealed up in a bag, and thou fastenest up mine iniquity.
[ERV | EN | OT | Job | Chapter 14 | Verse 18] And surely the mountain falling cometh to nought, and the rock is removed out of its place;
[ERV | EN | OT | Job | Chapter 14 | Verse 19] The waters wear the stones; the overflowings thereof wash away the dust of the earth: and thou destroyest the hope of man.
[ERV | EN | OT | Job | Chapter 14 | Verse 20] Thou prevailest for ever against him, and he passeth; thou changest his countenance, and sendest him away.
[ERV | EN | OT | Job | Chapter 14 | Verse 21] His sons come to honour, and he knoweth it not; and they are brought low, but he perceiveth it not of them.
[ERV | EN | OT | Job | Chapter 14 | Verse 22] But his flesh upon him hath pain, and his soul within him mourneth.
