[ERV | EN | OT | Job | Chapter 8 | Verse 1] Then answered Bildad the Shuhite, and said,
[ERV | EN | OT | Job | Chapter 8 | Verse 2] How long wilt thou speak these things? and how long shall the words of thy mouth be like a mighty wind?
[ERV | EN | OT | Job | Chapter 8 | Verse 3] Doth God pervert judgment? or doth the Almighty pervert justice?
[ERV | EN | OT | Job | Chapter 8 | Verse 4] If thy children have sinned against him, and he have delivered them into the hand of their transgression:
[ERV | EN | OT | Job | Chapter 8 | Verse 5] If thou wouldest seek diligently unto God, and make thy supplication to the Almighty;
[ERV | EN | OT | Job | Chapter 8 | Verse 6] If thou wert pure and upright; surely now he would awake for thee, and make the habitation of thy righteousness prosperous.
[ERV | EN | OT | Job | Chapter 8 | Verse 7] And though thy beginning was small, yet thy latter end should greatly increase.
[ERV | EN | OT | Job | Chapter 8 | Verse 8] For inquire, I pray thee, of the former age, and apply thyself to that which their fathers have searched out:
[ERV | EN | OT | Job | Chapter 8 | Verse 9] ( For we are but of yesterday, and know nothing, because our days upon earth are a shadow:)
[ERV | EN | OT | Job | Chapter 8 | Verse 10] Shall not they teach thee, and tell thee, and utter words out of their heart?
[ERV | EN | OT | Job | Chapter 8 | Verse 11] Can the rush grow up without mire? can the flag grow without water?
[ERV | EN | OT | Job | Chapter 8 | Verse 12] Whilst it is yet in its greenness, and not cut down, it withereth before any other herb.
[ERV | EN | OT | Job | Chapter 8 | Verse 13] So are the paths of all that forget God; and the hope of the godless man shall perish:
[ERV | EN | OT | Job | Chapter 8 | Verse 14] Whose confidence shall break in sunder, and whose trust is a spider’s web.
[ERV | EN | OT | Job | Chapter 8 | Verse 15] He shall lean upon his house, but it shall not stand: he shall hold fast thereby, but it shall not endure.
[ERV | EN | OT | Job | Chapter 8 | Verse 16] He is green before the sun, and his shoots go forth over his garden.
[ERV | EN | OT | Job | Chapter 8 | Verse 17] His roots are wrapped about the heap, he beholdeth the place of stones.
[ERV | EN | OT | Job | Chapter 8 | Verse 18] If he be destroyed from his place, then it shall deny him, saying, I have not seen thee.
[ERV | EN | OT | Job | Chapter 8 | Verse 19] Behold, this is the joy of his way, and out of the earth shall others spring.
[ERV | EN | OT | Job | Chapter 8 | Verse 20] Behold, God will not cast away a perfect man, neither will he uphold the evil-doers.
[ERV | EN | OT | Job | Chapter 8 | Verse 21] He will yet fill thy mouth with laughter, and thy lips with shouting.
[ERV | EN | OT | Job | Chapter 8 | Verse 22] They that hate thee shall be clothed with shame; and the tent of the wicked shall be no more.
