[ERV | EN | OT | Job | Chapter 28 | Verse 1] Surely there is a mine for silver, and a place for gold which they refine.
[ERV | EN | OT | Job | Chapter 28 | Verse 2] Iron is taken out of the earth, and brass is molten out of the stone.
[ERV | EN | OT | Job | Chapter 28 | Verse 3] Man setteth an end to darkness, and searcheth out to the furthest bound the stones of thick darkness and of the shadow of death.
[ERV | EN | OT | Job | Chapter 28 | Verse 4] He breaketh open a shaft away from where men sojourn; they are forgotten of the foot that passeth by; they hang afar from men, they swing to and fro.
[ERV | EN | OT | Job | Chapter 28 | Verse 5] As for the earth, out of it cometh bread: and underneath it is turned up as it were by fire.
[ERV | EN | OT | Job | Chapter 28 | Verse 6] The stones thereof are the place of sapphires, and it hath dust of gold.
[ERV | EN | OT | Job | Chapter 28 | Verse 7] That path no bird of prey knoweth, neither hath the falcon’s eye seen it:
[ERV | EN | OT | Job | Chapter 28 | Verse 8] The proud beasts have not trodden it, nor hath the fierce lion passed thereby.
[ERV | EN | OT | Job | Chapter 28 | Verse 9] He putteth forth his hand upon the flinty rock; he overturneth the mountains by the roots.
[ERV | EN | OT | Job | Chapter 28 | Verse 10] He cutteth out channels among the rocks; and his eye seeth every precious thing.
[ERV | EN | OT | Job | Chapter 28 | Verse 11] He bindeth the streams that they trickle not; and the thing that is hid bringeth he forth to light.
[ERV | EN | OT | Job | Chapter 28 | Verse 12] But where shall wisdom be found? and where is the place of understanding?
[ERV | EN | OT | Job | Chapter 28 | Verse 13] Man knoweth not the price thereof; neither is it found in the land of the living.
[ERV | EN | OT | Job | Chapter 28 | Verse 14] The deep saith, It is not in me: and the sea saith, It is not with me.
[ERV | EN | OT | Job | Chapter 28 | Verse 15] It cannot be gotten for gold, neither shall silver be weighed for the price thereof.
[ERV | EN | OT | Job | Chapter 28 | Verse 16] It cannot be valued with the gold of Ophir, with the precious onyx, or the sapphire.
[ERV | EN | OT | Job | Chapter 28 | Verse 17] Gold and glass cannot equal it: neither shall the exchange thereof be jewels of fine gold.
[ERV | EN | OT | Job | Chapter 28 | Verse 18] No mention shall be made of coral or of crystal: yea, the price of wisdom is above rubies.
[ERV | EN | OT | Job | Chapter 28 | Verse 19] The topaz of Ethiopia shall not equal it, neither shall it be valued with pure gold.
[ERV | EN | OT | Job | Chapter 28 | Verse 20] Whence then cometh wisdom? and where is the place of understanding?
[ERV | EN | OT | Job | Chapter 28 | Verse 21] Seeing it is hid from the eyes of all living, and kept close from the fowls of the air.
[ERV | EN | OT | Job | Chapter 28 | Verse 22] Destruction and Death say, We have heard a rumour thereof with our ears.
[ERV | EN | OT | Job | Chapter 28 | Verse 23] God understandeth the way thereof, and he knoweth the place thereof.
[ERV | EN | OT | Job | Chapter 28 | Verse 24] For he looketh to the ends of the earth, and seeth under the whole heaven;
[ERV | EN | OT | Job | Chapter 28 | Verse 25] To make a weight for the wind; yea, he meteth out the waters by measure.
[ERV | EN | OT | Job | Chapter 28 | Verse 26] When he made a decree for the rain, and a way for the lightning of the thunder:
[ERV | EN | OT | Job | Chapter 28 | Verse 27] Then did he see it, and declare it; he established it, yea, and searched it out.
[ERV | EN | OT | Job | Chapter 28 | Verse 28] And unto man he said, Behold, the fear of the Lord, that is wisdom; and to depart from evil is understanding.
