[ERV | EN | OT | Job | Chapter 34 | Verse 1] Moreover Elihu answered and said,
[ERV | EN | OT | Job | Chapter 34 | Verse 2] Hear my words, ye wise men; and give ear unto me, ye that have knowledge.
[ERV | EN | OT | Job | Chapter 34 | Verse 3] For the ear trieth words, as the palate tasteth meat.
[ERV | EN | OT | Job | Chapter 34 | Verse 4] Let us choose for us that which is right: let us know among ourselves what is good.
[ERV | EN | OT | Job | Chapter 34 | Verse 5] For Job hath said, I am righteous, and God hath taken away my right:
[ERV | EN | OT | Job | Chapter 34 | Verse 6] Notwithstanding my right I am accounted a liar; my wound is incurable, though I am without transgression.
[ERV | EN | OT | Job | Chapter 34 | Verse 7] What man is like Job, who drinketh up scorning like water?
[ERV | EN | OT | Job | Chapter 34 | Verse 8] Which goeth in company with the workers of iniquity, and walketh with wicked men.
[ERV | EN | OT | Job | Chapter 34 | Verse 9] For he hath said, it profiteth a man nothing that he should delight himself with God.
[ERV | EN | OT | Job | Chapter 34 | Verse 10] Therefore hearken unto me, ye men of understanding: far be it from God, that he should do wickedness; and from the Almighty, that he should commit iniquity.
[ERV | EN | OT | Job | Chapter 34 | Verse 11] For the work of a man shall he render unto him, and cause every man to find according to his ways.
[ERV | EN | OT | Job | Chapter 34 | Verse 12] Yea, of a surety, God will not do wickedly, neither will the Almighty pervert judgment.
[ERV | EN | OT | Job | Chapter 34 | Verse 13] Who gave him a charge over the earth? or who hath disposed the whole world?
[ERV | EN | OT | Job | Chapter 34 | Verse 14] If he set his heart upon man, if he gather unto himself his spirit and his breath;
[ERV | EN | OT | Job | Chapter 34 | Verse 15] All flesh shall perish together, and man shall turn again unto dust.
[ERV | EN | OT | Job | Chapter 34 | Verse 16] If now thou hast understanding, hear this: hearken to the voice of my words.
[ERV | EN | OT | Job | Chapter 34 | Verse 17] Shall even one that hateth right govern? and wilt thou condemn him that is just and mighty?
[ERV | EN | OT | Job | Chapter 34 | Verse 18] Is it fit to say to a king, Thou art vile? or to nobles, Ye are wicked?
[ERV | EN | OT | Job | Chapter 34 | Verse 19] How much less to him that respecteth not the persons of princes, nor regardeth the rich more than the poor? for they all are the work of his hands.
[ERV | EN | OT | Job | Chapter 34 | Verse 20] In a moment they die, even at midnight; the people are shaken and pass away, and the mighty are taken away without hand.
[ERV | EN | OT | Job | Chapter 34 | Verse 21] For his eyes are upon the ways of a man, and he seeth all his goings.
[ERV | EN | OT | Job | Chapter 34 | Verse 22] There is no darkness, nor shadow of death, where the workers of iniquity may hide themselves.
[ERV | EN | OT | Job | Chapter 34 | Verse 23] For he needeth not further to consider a man, that he should go before God in judgment.
[ERV | EN | OT | Job | Chapter 34 | Verse 24] He breaketh in pieces mighty men in ways past finding out, and setteth others in their stead.
[ERV | EN | OT | Job | Chapter 34 | Verse 25] Therefore he taketh knowledge of their works; and he overturneth them in the night, so that they are destroyed.
[ERV | EN | OT | Job | Chapter 34 | Verse 26] He striketh them as wicked men in the open sight of others;
[ERV | EN | OT | Job | Chapter 34 | Verse 27] Because they turned aside from following him, and would not have regard to any of his ways:
[ERV | EN | OT | Job | Chapter 34 | Verse 28] So that they caused the cry of the poor to come unto him, and he heard the cry of the afflicted.
[ERV | EN | OT | Job | Chapter 34 | Verse 29] When he giveth quietness, who then can condemn? and when he hideth his face, who then can behold him? whether it be done unto a nation, or unto a man, alike:
[ERV | EN | OT | Job | Chapter 34 | Verse 30] That the godless man reign not, that there be none to ensnare the people.
[ERV | EN | OT | Job | Chapter 34 | Verse 31] For hath any said unto God, I have borne chastisement, I will not offend any more:
[ERV | EN | OT | Job | Chapter 34 | Verse 32] That which I see not teach thou me: if I have done iniquity, I will do it no more?
[ERV | EN | OT | Job | Chapter 34 | Verse 33] Shall his recompence be as thou wilt, that thou refusest it? for thou must choose, and not I: therefore speak what thou knowest.
[ERV | EN | OT | Job | Chapter 34 | Verse 34] Men of understanding will say unto me, yea, every wise man that heareth me:
[ERV | EN | OT | Job | Chapter 34 | Verse 35] Job speaketh without knowledge, and his words are without wisdom.
[ERV | EN | OT | Job | Chapter 34 | Verse 36] Would that Job were tried unto the end, because of his answering like wicked men.
[ERV | EN | OT | Job | Chapter 34 | Verse 37] For he addeth rebellion unto his sin, he clappeth his hands among us, and multiplieth his words against God.
