[ERV | EN | OT | Job | Chapter 7 | Verse 1] Is there not a warfare to man upon earth? and are not his days like the days of an hireling?
[ERV | EN | OT | Job | Chapter 7 | Verse 2] As a servant that earnestly desireth the shadow, and as an hireling that looketh for his wages:
[ERV | EN | OT | Job | Chapter 7 | Verse 3] So am I made to possess months of vanity, and wearisome nights are appointed to me.
[ERV | EN | OT | Job | Chapter 7 | Verse 4] When I lie down, I say, When shall I arise? but the night is long; and I am full of tossings to and fro unto the dawning of the day.
[ERV | EN | OT | Job | Chapter 7 | Verse 5] My flesh is clothed with worms and clods of dust; my skin closeth up and breaketh out afresh.
[ERV | EN | OT | Job | Chapter 7 | Verse 6] My days are swifter than a weaver’s shuttle, and are spent without hope.
[ERV | EN | OT | Job | Chapter 7 | Verse 7] Oh remember that my life is wind: mine eye shall no more see good.
[ERV | EN | OT | Job | Chapter 7 | Verse 8] The eye of him that seeth me shall behold me no more: thine eyes shall be upon me, but I shall not be.
[ERV | EN | OT | Job | Chapter 7 | Verse 9] As the cloud is consumed and vanisheth away, so he that goeth down to Sheol shall come up no more.
[ERV | EN | OT | Job | Chapter 7 | Verse 10] He shall return no more to his house, neither shall his place know him any more.
[ERV | EN | OT | Job | Chapter 7 | Verse 11] Therefore I will not refrain my mouth; I will speak in the anguish of my spirit; I will complain in the bitterness of my soul.
[ERV | EN | OT | Job | Chapter 7 | Verse 12] Am I a sea, or a sea-monster, that thou settest a watch over me?
[ERV | EN | OT | Job | Chapter 7 | Verse 13] When I say, My bed shall comfort me, my couch shall ease my complaint;
[ERV | EN | OT | Job | Chapter 7 | Verse 14] Then thou scarest me with dreams, and terrifiest me through visions:
[ERV | EN | OT | Job | Chapter 7 | Verse 15] So that my soul chooseth strangling, and death rather than these my bones.
[ERV | EN | OT | Job | Chapter 7 | Verse 16] I loathe my life; I would not live alway: let me alone; for my days are vanity.
[ERV | EN | OT | Job | Chapter 7 | Verse 17] What is man, that thou shouldest magnify him, and that thou shouldest set thine heart upon him,
[ERV | EN | OT | Job | Chapter 7 | Verse 18] And that thou shouldest visit him every morning, and try him every moment?
[ERV | EN | OT | Job | Chapter 7 | Verse 19] How long wilt thou not look away from me, nor let me alone till I swallow down my spittle?
[ERV | EN | OT | Job | Chapter 7 | Verse 20] If I have sinned, what do I unto thee, O thou watcher of men? why hast thou set me as a mark for thee, so that I am a burden to myself?
[ERV | EN | OT | Job | Chapter 7 | Verse 21] And why dost thou not pardon my transgression, and take away mine iniquity? for now shall I lie down in the dust; and thou shall seek me diligently, but I shall not be.
