[ERV | EN | OT | Job | Chapter 11 | Verse 1] Then answered Zophar the Naamathite, and said,
[ERV | EN | OT | Job | Chapter 11 | Verse 2] Should not the multitude of words be answered? and should a man full of talk be justified?
[ERV | EN | OT | Job | Chapter 11 | Verse 3] Should thy boastings make men hold their peace? and when thou mockest, shall no man make thee ashamed?
[ERV | EN | OT | Job | Chapter 11 | Verse 4] For thou sayest, My doctrine is pure, and I am clean in thine eyes.
[ERV | EN | OT | Job | Chapter 11 | Verse 5] But Oh that God would speak, and open his lips against thee;
[ERV | EN | OT | Job | Chapter 11 | Verse 6] And that he would shew thee the secrets of wisdom, that is manifold in effectual working! Know therefore that God exacteth of thee less than thine iniquity deserveth.
[ERV | EN | OT | Job | Chapter 11 | Verse 7] Canst thou by searching find out God? canst thou find out the Almighty unto perfection?
[ERV | EN | OT | Job | Chapter 11 | Verse 8] It is high as heaven; what canst thou do? deeper than Sheol; what canst thou know?
[ERV | EN | OT | Job | Chapter 11 | Verse 9] The measure thereof is longer than the earth, and broader than the sea.
[ERV | EN | OT | Job | Chapter 11 | Verse 10] If he pass through, and shut up, and call unto judgment, then who can hinder him?
[ERV | EN | OT | Job | Chapter 11 | Verse 11] For he knoweth vain men: he seeth iniquity also, even though he consider it not.
[ERV | EN | OT | Job | Chapter 11 | Verse 12] But vain man is void of understanding, yea, man is born as a wild ass’s colt.
[ERV | EN | OT | Job | Chapter 11 | Verse 13] If thou set thine heart aright, and stretch out thine hands toward him;
[ERV | EN | OT | Job | Chapter 11 | Verse 14] If iniquity be in thine hand, put it far away, and let not unrighteousness dwell in thy tents;
[ERV | EN | OT | Job | Chapter 11 | Verse 15] Surely then shalt thou lift up thy face without spot; yea, thou shalt be stedfast, and shalt not fear:
[ERV | EN | OT | Job | Chapter 11 | Verse 16] For thou shalt forget thy misery; thou shalt remember it as waters that are passed away:
[ERV | EN | OT | Job | Chapter 11 | Verse 17] And thy life shall be clearer than the noonday; though there be darkness, it shall be as the morning.
[ERV | EN | OT | Job | Chapter 11 | Verse 18] And thou shalt be secure, because there is hope; yea, thou shalt search about thee, and shalt take thy rest in safety.
[ERV | EN | OT | Job | Chapter 11 | Verse 19] Also thou shalt lie down, and none shall make thee afraid; yea, many shall make suit unto thee.
[ERV | EN | OT | Job | Chapter 11 | Verse 20] But the eyes of the wicked shall fail, and they shall have no way to flee, and their hope shall be the giving up of the ghost.
