[ERV | EN | OT | Job | Chapter 40 | Verse 1] Moreover the LORD answered Job, and said,
[ERV | EN | OT | Job | Chapter 40 | Verse 2] Shall he that cavilleth contend with the Almighty? he that argueth with God, let him answer it.
[ERV | EN | OT | Job | Chapter 40 | Verse 3] Then Job answered the LORD, and said,
[ERV | EN | OT | Job | Chapter 40 | Verse 4] Behold, I am of small account; what shall I answer thee? I lay mine hand upon my mouth.
[ERV | EN | OT | Job | Chapter 40 | Verse 5] Once have I spoken, and I will not answer; yea twice, but I will proceed no further.
[ERV | EN | OT | Job | Chapter 40 | Verse 6] Then the LORD answered Job out of the whirlwind, and said,
[ERV | EN | OT | Job | Chapter 40 | Verse 7] Gird up thy loins now like a man: I will demand of thee, and declare thou unto me.
[ERV | EN | OT | Job | Chapter 40 | Verse 8] Wilt thou even disannul my judgment? wilt thou condemn me, that thou mayest be justified?
[ERV | EN | OT | Job | Chapter 40 | Verse 9] Or hast thou an arm like God? and canst thou thunder with a voice like him?
[ERV | EN | OT | Job | Chapter 40 | Verse 10] Deck thyself now with excellency and dignity; and array thyself with honour and majesty.
[ERV | EN | OT | Job | Chapter 40 | Verse 11] Pour forth the overflowings of thine anger: and look upon every one that is proud, and abase him.
[ERV | EN | OT | Job | Chapter 40 | Verse 12] Look on every one that is proud, and bring him low; and tread down the wicked where they stand.
[ERV | EN | OT | Job | Chapter 40 | Verse 13] Hide them in the dust together; bind their faces in the hidden place.
[ERV | EN | OT | Job | Chapter 40 | Verse 14] Then wilt I also confess of thee that thine own right hand can save thee.
[ERV | EN | OT | Job | Chapter 40 | Verse 15] Behold now behemoth, which I made with thee; he eateth grass as all ox.
[ERV | EN | OT | Job | Chapter 40 | Verse 16] Lo now, his strength is in his loins, and his force is in the muscles of his belly.
[ERV | EN | OT | Job | Chapter 40 | Verse 17] He moveth his tail like a cedar: the sinews of his thighs are knit together.
[ERV | EN | OT | Job | Chapter 40 | Verse 18] His bones are as tubes of brass; his limbs are like bars of iron.
[ERV | EN | OT | Job | Chapter 40 | Verse 19] He is the chief of the ways of God: he only that made him can make his sword to approach unto him.
[ERV | EN | OT | Job | Chapter 40 | Verse 20] Surely the mountains bring him forth food; where all the beasts of the field do play.
[ERV | EN | OT | Job | Chapter 40 | Verse 21] He lieth under the lotus trees, in the covert of the reed, and the fen.
[ERV | EN | OT | Job | Chapter 40 | Verse 22] The lotus trees cover him with their shadow; the willows of the brook compass him about.
[ERV | EN | OT | Job | Chapter 40 | Verse 23] Behold, if a river overflow, he trembleth not: he is confident, though Jordan swell even to his mouth.
[ERV | EN | OT | Job | Chapter 40 | Verse 24] Shall any take him when he is on the watch, or pierce through his nose with a snare?
