[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 1] But concerning the times and the seasons, brethren, ye have no need that aught be written unto you.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 2] For yourselves know perfectly that the day of the Lord so cometh as a thief in the night.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 3] When they are saying, Peace and safety, then sudden destruction cometh upon them, as travail upon a woman with child; and they shall in no wise escape.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 4] But ye, brethren, are not in darkness, that that day should overtake you as a thief:
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 5] for ye are all sons of light, and sons of the day: we are not of the night, nor of darkness;
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 6] so then let us not sleep, as do the rest, but let us watch and be sober.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 7] For they that sleep sleep in the night; and they that be drunken are drunken in the night.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 8] But let us, since we are of the day, be sober, putting on the breastplate of faith and love; and for a helmet, the hope of salvation.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 9] For God appointed us not unto wrath, but unto the obtaining of salvation through our Lord Jesus Christ,
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 10] who died for us, that, whether we wake or sleep, we should live together with him.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 11] Wherefore exhort one another, and build each other up, even as also ye do.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 12] But we beseech you, brethren, to know them that labour among you, and are over you in the Lord, and admonish you;
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 13] and to esteem them exceeding highly in love for their work’s sake. Be at peace among yourselves.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 14] And we exhort you, brethren, admonish the disorderly, encourage the fainthearted, support the weak, be longsuffering toward all.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 15] See that none render unto any one evil for evil; but alway follow after that which is good, one toward another, and toward all.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 16] Rejoice alway;
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 17] pray without ceasing;
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 18] in everything give thanks: for this is the will of God in Christ Jesus to you-ward.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 19] Quench not the Spirit;
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 20] despise not prophesyings;
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 21] prove all things; hold fast that which is good;
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 22] abstain from every form of evil.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 23] And the God of peace himself sanctify you wholly; and may your spirit and soul and body be preserved entire, without blame at the coming of our Lord Jesus Christ.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 24] Faithful is he that calleth you, who will also do it.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 25] Brethren, pray for us.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 26] Salute all the brethren with a holy kiss.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 27] I adjure you by the Lord that this epistle be read unto all the brethren.
[ERV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 28] The grace of our Lord Jesus Christ be with you.
