[IRV | GU | NT | Ephesians | Chapter 1 | Verse 1] એફેસસમાં જે સંતો તથા ખ્રિસ્ત ઈસુમાં જેઓ વિશ્વાસુ છે તેઓને, ઈશ્વરની ઇચ્છાથી ઈસુ ખ્રિસ્તનો પ્રેરિત થયેલો પાઉલ લખે છે:
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 2] ઈશ્વર આપણા પિતા તથા પ્રભુ ઈસુ ખ્રિસ્તથી તમને કૃપા તથા શાંતિ પ્રાપ્ત હો.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 3] આપણા પ્રભુ ઈસુ ખ્રિસ્તનાં પિતા અને ઈશ્વરની સ્તુતિ હો; તેમણે સ્વર્ગીય સ્થાનોમાં દરેક આત્મિક આશીર્વાદોથી આપણને ખ્રિસ્તમાં આશીર્વાદિત કર્યા છે;
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 4] એ પ્રમાણે ઈશ્વરે સૃષ્ટિના સર્જન અગાઉ આપણને તેમનાંમાં ઈસુ ખ્રિસ્તમાં પસંદ કર્યા છે, એ સારુ કે આપણે તેમની આગળ પ્રેમમાં પવિત્ર તથા નિર્દોષ થઈએ.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 5] તેમણે ઈશ્વરપિતાએ પોતાની ઇચ્છા તથા પ્રસન્નતા પ્રમાણે, પોતાને સારુ, આપણને ઈસુ ખ્રિસ્ત દ્વારા તેમના ઈશ્વરના પુત્રો તરીકે ગણાવાને અગાઉથી નિર્માણ કર્યા
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 6] કે, તેમની કૃપાના મહિમાની સ્તુતિ થાય; એ કૃપા તેમણે પોતાના વહાલા પુત્ર ઈસુ દ્વારા આપણને મફત આપી છે.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 7] ઈસુ ખ્રિસ્તનાં રક્તદ્વારા, તેમની કૃપાની સંપત પ્રમાણે આપણને ઉદ્ધાર એટલે પાપની માફી મળી છે.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 8] સર્વ જ્ઞાનમાં તથા વિવેકમાં તેમણે આપણા પર એ કૃપાની બહુ વૃદ્ધિ કરી છે.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 9] તેમણે ઈસુ ખ્રિસ્તમાં પોતાના સંકલ્પથી પોતાની પ્રસન્નતા પ્રમાણે, પોતાની ઇચ્છાનો મર્મ આપણને જણાવ્યો,
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 10] કે, સમયોની સંપૂર્ણતાની વ્યવસ્થામાં, સ્વર્ગમાંના તથા પૃથ્વી પરનાં સર્વનો ખ્રિસ્તમાં તે સમાવેશ કરે, હા ખ્રિસ્તમાં.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 11] જેમનાંમાં આપણે તેમના વારસો નિમાયા અને જે પોતાની ઇચ્છા પ્રમાણે સર્વ કરે છે, તેમના સંકલ્પ પ્રમાણે, આપણે અગાઉથી નિર્મિત થયા હતા;
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 12] જેથી ખ્રિસ્ત પર પહેલાંથી આશા રાખનારા અમે તેમના મહિમાની સ્તુતિને સારુ થઈએ.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 13] તમે પણ, સત્યનું વચન એટલે તમારા ઉદ્ધારની સુવાર્તા સાંભળીને, અને ઈસુ ખ્રિસ્ત પર વિશ્વાસ રાખીને, તેમનાંમાં આશાવચનના પવિત્ર આત્માથી મુદ્રાંકિત થયા;
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 14] ઈશ્વરના આત્મા પોતાના દ્રવ્યરૂપી લોકના ઉદ્ધારના સંબંધમાં પ્રભુના મહિમાને અર્થે આપણા વારસાની ખાતરી છે.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 15] એ માટે હું પણ, પ્રભુ ઈસુ પર તમારા વિશ્વાસ તથા તમામ સંતો પ્રત્યે તમારા પ્રેમ વિષે સાંભળીને,
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 16] તમારે સારુ આભાર માનવાનું ચૂકતો નથી; મારી પ્રાર્થનાઓમાં તમને યાદ કરીને માગુ છું કે.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 17] આપણા પ્રભુ ઈસુ ખ્રિસ્તનાં ઈશ્વર, મહિમાવાન પિતા, પોતાના વિષેના ડહાપણને સારુ બુદ્ધિનો તથા પ્રકટીકરણનો આત્મા તમને આપે;
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 18] અને તમારાં અંતર્નયનો પ્રકાશિત થઈ ગયા હોવાથી તેમના આમંત્રણની આશા અને સંતોમાં તેમના વારસાના મહિમાની સંપત્તિ શી છે.
[IRV | GU | NT | Ephesians | Chapter 1 | Verse 19] અને તેમની મહાન શક્તિના પરાક્રમ પ્રમાણે આપણ વિશ્વાસ કરનારાઓમાં તેમની શક્તિ શી છે, તે તમે સમજો.
