[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 1] യഹോവ ദാവീദിനെ സകലശത്രുക്കളുടെ കയ്യിൽനിന്നും ശൗലിന്റെ കയ്യിൽനിന്നും വിടുവിച്ചശേഷം അവൻ യഹോവെക്കു ഒരു സംഗീതംപാടി ചൊല്ലിയതെന്തെന്നാൽ:
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 2] യഹോവ എന്റെ ശൈലവും എൻ കോട്ടയും എന്റെ രക്ഷകനും ആകുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 3] എന്റെ പാറയായ ദൈവം; അവനിൽ ഞാൻ ആശ്രയിക്കും; എന്റെ പരിചയും എന്റെ രക്ഷയായ കൊമ്പും എന്റെ ഗോപുരവും എന്റെ സങ്കേതവും തന്നേ. എന്റെ രക്ഷിതാവേ, നീ എന്നെ സാഹസത്തിൽനിന്നു രക്ഷിക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 4] സ്തുത്യനായ യഹോവയെ ഞാൻ വിളിച്ചപേക്ഷിക്കും; എന്റെ ശത്രുക്കളിൽനിന്നു താൻ എന്നെ രക്ഷിക്കും.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 5] മരണത്തിന്റെ തിരമാല എന്നെ വളഞ്ഞു; ദുഷ്ടതയുടെ പ്രവാഹങ്ങൾ എന്നെ ഭ്രമിപ്പിച്ചു;
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 6] പാതാളപാശങ്ങൾ എന്നെ ചുഴന്നു; മരണത്തിന്റെ കണികൾ എന്റെമേൽ വീണു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 7] എന്റെ കഷ്ടതയിൽ ഞാൻ യഹോവയെ വിളിച്ചു, എന്റെ ദൈവത്തോടു തന്നേ നിലവിളിച്ചു, അവൻ തന്റെ മന്ദിരത്തിൽനിന്നു എന്റെ അപേക്ഷ കേട്ടു; എന്റെ നിലവിളി അവന്റെ ചെവികളിൽ എത്തി.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 8] ഭൂമി ഞെട്ടി വിറെച്ചു, ആകാശത്തിന്റെ അടിസ്ഥാനങ്ങൾ ഇളകി, അവൻ കോപിക്കയാൽ അവ കുലുങ്ങിപ്പോയി.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 9] അവന്റെ മൂക്കിൽനിന്നു പുക പൊങ്ങി, അവന്റെ വായിൽനിന്നു തീ പുറപ്പെട്ടു ദഹിപ്പിച്ചു, തീക്കനൽ അവങ്കൽനിന്നു ജ്വലിച്ചു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 10] അവൻ ആകാശം ചായിച്ചിറങ്ങി; കൂരിരുൾ അവന്റെ കാല്ക്കീഴുണ്ടായിരുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 11] അവൻ കെരൂബിനെ വാഹനമാക്കി പറന്നു, കാറ്റിൻ ചിറകിന്മേൽ പ്രത്യക്ഷനായി.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 12] അവൻ അന്ധകാരം തനിക്കു ചുറ്റും മണ്ഡപമാക്കി; ജലാശയവും കനത്ത മേഘങ്ങളും കൂടെ.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 13] അവന്റെ മുമ്പിലുള്ള പ്രകാശത്താൽ തീക്കനൽ ജ്വലിച്ചു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 14] യഹോവ ആകാശത്തിൽ ഇടിമുഴക്കി, അത്യുന്നതൻ തന്റെ നാദം കേൾപ്പിച്ചു.
