[BSB | EN | NT | Acts | Chapter 24 | Verse 1] Five days later the high priest Ananias came down with some elders and a lawyer named Tertullus, who presented to the governor their case against Paul.
[BSB | EN | NT | Acts | Chapter 24 | Verse 2] When Paul had been called in, Tertullus opened the prosecution: “Because of you, we have enjoyed a lasting peace, and your foresight has brought improvements to this nation.
[BSB | EN | NT | Acts | Chapter 24 | Verse 3] In every way and everywhere, most excellent Felix, we acknowledge this with all gratitude.
[BSB | EN | NT | Acts | Chapter 24 | Verse 4] But in order not to burden you any further, I beg your indulgence to hear us briefly.
[BSB | EN | NT | Acts | Chapter 24 | Verse 5] We have found this man to be a pestilence, stirring up dissension among the Jews all over the world. He is a ringleader of the sect of the Nazarenes,
[BSB | EN | NT | Acts | Chapter 24 | Verse 6] and he even tried to desecrate the temple; so we seized him.
[BSB | EN | NT | Acts | Chapter 24 | Verse 8] By examining him yourself, you will be able to learn the truth about all our charges against him.”
[BSB | EN | NT | Acts | Chapter 24 | Verse 9] The Jews concurred, asserting that these charges were true.
[BSB | EN | NT | Acts | Chapter 24 | Verse 10] When the governor motioned for Paul to speak, he began his response: “Knowing that you have been a judge over this nation for many years, I gladly make my defense.
[BSB | EN | NT | Acts | Chapter 24 | Verse 11] You can verify for yourself that no more than twelve days ago I went up to Jerusalem to worship.
[BSB | EN | NT | Acts | Chapter 24 | Verse 12] Yet my accusers did not find me debating with anyone in the temple or riling up a crowd in the synagogues or in the city.
[BSB | EN | NT | Acts | Chapter 24 | Verse 13] Nor can they prove to you any of their charges against me.
[BSB | EN | NT | Acts | Chapter 24 | Verse 14] I do confess to you, however, that I worship the God of our fathers according to the Way, which they call a sect. I believe everything that is laid down by the Law and written in the Prophets,
[BSB | EN | NT | Acts | Chapter 24 | Verse 15] and I have the same hope in God that they themselves cherish, that there will be a resurrection of both the righteous and the wicked.
[BSB | EN | NT | Acts | Chapter 24 | Verse 16] In this hope, I strive always to maintain a clear conscience before God and man.
[BSB | EN | NT | Acts | Chapter 24 | Verse 17] After several years, then, I returned to Jerusalem to bring alms to my people and to present offerings.
[BSB | EN | NT | Acts | Chapter 24 | Verse 18] At the time they found me in the temple, I was ceremonially clean and was not inciting a crowd or an uproar. But there are some Jews from the province of Asia
[BSB | EN | NT | Acts | Chapter 24 | Verse 19] who ought to appear before you and bring charges, if they have anything against me.
[BSB | EN | NT | Acts | Chapter 24 | Verse 20] Otherwise, let these men state for themselves any crime they found in me when I stood before the Sanhedrin,
[BSB | EN | NT | Acts | Chapter 24 | Verse 21] unless it was this one thing I called out as I stood in their presence: ‘It is concerning the resurrection of the dead that I am on trial before you today.’”
[BSB | EN | NT | Acts | Chapter 24 | Verse 22] Then Felix, who was well informed about the Way, adjourned the hearing and said, “When Lysias the commander comes, I will decide your case.”
[BSB | EN | NT | Acts | Chapter 24 | Verse 23] He ordered the centurion to keep Paul under guard, but to allow him some freedom and permit his friends to minister to his needs.
[BSB | EN | NT | Acts | Chapter 24 | Verse 24] After several days, Felix returned with his wife Drusilla, who was a Jewess. He sent for Paul and listened to him speak about faith in Christ Jesus.
[BSB | EN | NT | Acts | Chapter 24 | Verse 25] As Paul expounded on righteousness, self-control, and the coming judgment, Felix became frightened and said, “You may go for now. When I find the time, I will call for you.”
[BSB | EN | NT | Acts | Chapter 24 | Verse 26] At the same time, he was hoping that Paul would offer him a bribe. So he sent for Paul frequently and talked with him.
[BSB | EN | NT | Acts | Chapter 24 | Verse 27] After two years had passed, Felix was succeeded by Porcius Festus. And wishing to do the Jews a favor, Felix left Paul in prison.
