[BSB | EN | NT | Acts | Chapter 7 | Verse 1] Then the high priest asked Stephen, “Are these charges true?”
[BSB | EN | NT | Acts | Chapter 7 | Verse 2] And Stephen declared: “Brothers and fathers, listen to me! The God of glory appeared to our father Abraham while he was still in Mesopotamia, before he lived in Haran,
[BSB | EN | NT | Acts | Chapter 7 | Verse 3] and told him, ‘Leave your country and your kindred and go to the land I will show you.’
[BSB | EN | NT | Acts | Chapter 7 | Verse 4] So Abraham left the land of the Chaldeans and settled in Haran. After his father died, God brought him out of that place and into this land where you are now living.
[BSB | EN | NT | Acts | Chapter 7 | Verse 5] He gave him no inheritance here, not even a foot of ground. But God promised to give possession of the land to Abraham and his descendants, even though he did not yet have a child.
[BSB | EN | NT | Acts | Chapter 7 | Verse 6] God told him that his descendants would be foreigners in a strange land, and that they would be enslaved and mistreated four hundred years.
[BSB | EN | NT | Acts | Chapter 7 | Verse 7] ‘But I will punish the nation that enslaves them,’ God said, ‘and afterward they will come forth and worship Me in this place.’
[BSB | EN | NT | Acts | Chapter 7 | Verse 8] Then God gave Abraham the covenant of circumcision, and Abraham became the father of Isaac and circumcised him on the eighth day. And Isaac became the father of Jacob, and Jacob of the twelve patriarchs.
[BSB | EN | NT | Acts | Chapter 7 | Verse 9] Because the patriarchs were jealous of Joseph, they sold him as a slave into Egypt. But God was with him
[BSB | EN | NT | Acts | Chapter 7 | Verse 10] and rescued him from all his troubles. He granted Joseph favor and wisdom in the sight of Pharaoh king of Egypt, who appointed him ruler over Egypt and all his household.
[BSB | EN | NT | Acts | Chapter 7 | Verse 11] Then famine and great suffering swept across Egypt and Canaan, and our fathers could not find food.
[BSB | EN | NT | Acts | Chapter 7 | Verse 12] When Jacob heard that there was grain in Egypt, he sent our fathers on their first visit.
[BSB | EN | NT | Acts | Chapter 7 | Verse 13] On their second visit, Joseph revealed his identity to his brothers, and his family became known to Pharaoh.
[BSB | EN | NT | Acts | Chapter 7 | Verse 14] Then Joseph sent for his father Jacob and all his relatives, seventy-five in all.
[BSB | EN | NT | Acts | Chapter 7 | Verse 15] So Jacob went down to Egypt, where he and our fathers died.
[BSB | EN | NT | Acts | Chapter 7 | Verse 16] Their bones were carried back to Shechem and placed in the tomb that Abraham had bought from the sons of Hamor at Shechem for a price he paid in silver.
[BSB | EN | NT | Acts | Chapter 7 | Verse 17] As the time drew near for God to fulfill His promise to Abraham, our people in Egypt increased greatly in number.
[BSB | EN | NT | Acts | Chapter 7 | Verse 18] Then another king, who knew nothing of Joseph, arose over Egypt.
[BSB | EN | NT | Acts | Chapter 7 | Verse 19] He exploited our people and oppressed our fathers, forcing them to abandon their infants so they would die.
