[BSB | EN | NT | Acts | Chapter 20 | Verse 1] When the uproar had ended, Paul sent for the disciples. And after encouraging them, he said goodbye to them and left for Macedonia.
[BSB | EN | NT | Acts | Chapter 20 | Verse 2] After traveling through that area and speaking many words of encouragement, he arrived in Greece,
[BSB | EN | NT | Acts | Chapter 20 | Verse 3] where he stayed three months. And when the Jews formed a plot against him as he was about to sail for Syria, he decided to go back through Macedonia.
[BSB | EN | NT | Acts | Chapter 20 | Verse 4] Paul was accompanied by Sopater son of Pyrrhus from Berea, Aristarchus and Secundus from Thessalonica, Gaius from Derbe, Timothy, and Tychicus and Trophimus from the province of Asia.
[BSB | EN | NT | Acts | Chapter 20 | Verse 5] These men went on ahead and waited for us in Troas.
[BSB | EN | NT | Acts | Chapter 20 | Verse 6] And after the Feast of Unleavened Bread, we sailed from Philippi, and five days later we rejoined them in Troas, where we stayed seven days.
[BSB | EN | NT | Acts | Chapter 20 | Verse 7] On the first day of the week we came together to break bread. Since Paul was ready to leave the next day, he talked to them and kept on speaking until midnight.
[BSB | EN | NT | Acts | Chapter 20 | Verse 8] Now there were many lamps in the upper room where we were gathered.
[BSB | EN | NT | Acts | Chapter 20 | Verse 9] And a certain young man named Eutychus, seated in the window, was sinking into a deep sleep as Paul talked on and on. When he was sound asleep, he fell from the third story and was picked up dead.
[BSB | EN | NT | Acts | Chapter 20 | Verse 10] But Paul went down, threw himself on the young man, and embraced him. “Do not be alarmed!” he said. “He is still alive!”
[BSB | EN | NT | Acts | Chapter 20 | Verse 11] Then Paul went back upstairs, broke bread, and ate. And after speaking until daybreak, he departed.
[BSB | EN | NT | Acts | Chapter 20 | Verse 12] And the people were greatly relieved to take the boy home alive.
[BSB | EN | NT | Acts | Chapter 20 | Verse 13] We went on ahead to the ship and sailed to Assos, where we were to take Paul aboard. He had arranged this because he was going there on foot.
[BSB | EN | NT | Acts | Chapter 20 | Verse 14] And when he met us at Assos, we took him aboard and went on to Mitylene.
[BSB | EN | NT | Acts | Chapter 20 | Verse 15] Sailing on from there, we arrived the next day opposite Chios. The day after that we arrived at Samos, and on the following day we came to Miletus.
[BSB | EN | NT | Acts | Chapter 20 | Verse 16] Paul had decided to sail past Ephesus to avoid spending time in the province of Asia, because he was in a hurry to reach Jerusalem, if possible, by the day of Pentecost.
[BSB | EN | NT | Acts | Chapter 20 | Verse 17] From Miletus, Paul sent to Ephesus for the elders of the church.
[BSB | EN | NT | Acts | Chapter 20 | Verse 18] When they came to him, he said, “You know how I lived the whole time I was with you, from the first day I arrived in the province of Asia.
[BSB | EN | NT | Acts | Chapter 20 | Verse 19] I served the Lord with great humility and with tears, especially in the trials that came upon me through the plots of the Jews.
[BSB | EN | NT | Acts | Chapter 20 | Verse 20] I did not shrink back from declaring anything that was helpful to you as I taught you publicly and from house to house,
[BSB | EN | NT | Acts | Chapter 20 | Verse 21] testifying to Jews and Greeks alike about repentance to God and faith in our Lord Jesus Christ.
[BSB | EN | NT | Acts | Chapter 20 | Verse 22] And now, compelled by the Spirit, I am going to Jerusalem, not knowing what will happen to me there.
[BSB | EN | NT | Acts | Chapter 20 | Verse 23] I only know that in town after town the Holy Spirit warns me that chains and afflictions await me.
[BSB | EN | NT | Acts | Chapter 20 | Verse 24] But I consider my life of no value to me, if only I may finish my course and complete the ministry I have received from the Lord Jesus—the ministry of testifying to the good news of God’s grace.
[BSB | EN | NT | Acts | Chapter 20 | Verse 25] Now I know that none of you among whom I have preached the kingdom will see my face again.
[BSB | EN | NT | Acts | Chapter 20 | Verse 26] Therefore I testify to you this day that I am innocent of the blood of all men.
[BSB | EN | NT | Acts | Chapter 20 | Verse 27] For I did not shrink back from declaring to you the whole will of God.
[BSB | EN | NT | Acts | Chapter 20 | Verse 28] Keep watch over yourselves and the entire flock of which the Holy Spirit has made you overseers. Be shepherds of the church of God, which He purchased with His own blood.
[BSB | EN | NT | Acts | Chapter 20 | Verse 29] I know that after my departure, savage wolves will come in among you and will not spare the flock.
[BSB | EN | NT | Acts | Chapter 20 | Verse 30] Even from your own number, men will rise up and distort the truth to draw away disciples after them.
[BSB | EN | NT | Acts | Chapter 20 | Verse 31] Therefore be alert and remember that for three years I never stopped warning each of you night and day with tears.
[BSB | EN | NT | Acts | Chapter 20 | Verse 32] And now I commit you to God and to the word of His grace, which can build you up and give you an inheritance among all who are sanctified.
[BSB | EN | NT | Acts | Chapter 20 | Verse 33] I have not coveted anyone’s silver or gold or clothing.
[BSB | EN | NT | Acts | Chapter 20 | Verse 34] You yourselves know that these hands of mine have ministered to my own needs and those of my companions.
[BSB | EN | NT | Acts | Chapter 20 | Verse 35] In everything, I showed you that by this kind of hard work we must help the weak, remembering the words of the Lord Jesus Himself: ‘It is more blessed to give than to receive.’”
[BSB | EN | NT | Acts | Chapter 20 | Verse 36] When Paul had said this, he knelt down with all of them and prayed.
[BSB | EN | NT | Acts | Chapter 20 | Verse 37] They all wept openly as they embraced Paul and kissed him.
[BSB | EN | NT | Acts | Chapter 20 | Verse 38] They were especially grieved by his statement that they would never see his face again. Then they accompanied him to the ship.
