[BSB | EN | NT | Acts | Chapter 6 | Verse 1] In those days when the disciples were increasing in number, the Grecian Jews among them began to grumble against the Hebraic Jews because their widows were being overlooked in the daily distribution of food.
[BSB | EN | NT | Acts | Chapter 6 | Verse 2] So the Twelve summoned all the disciples and said, “It is unacceptable for us to neglect the word of God in order to wait on tables.
[BSB | EN | NT | Acts | Chapter 6 | Verse 3] Therefore, brothers, select from among you seven men confirmed to be full of the Spirit and wisdom. We will appoint this responsibility to them
[BSB | EN | NT | Acts | Chapter 6 | Verse 4] and will devote ourselves to prayer and to the ministry of the word.”
[BSB | EN | NT | Acts | Chapter 6 | Verse 5] This proposal pleased the whole group. They chose Stephen, a man full of faith and of the Holy Spirit, as well as Philip, Prochorus, Nicanor, Timon, Parmenas, and Nicolas from Antioch, a convert to Judaism.
[BSB | EN | NT | Acts | Chapter 6 | Verse 6] They presented these seven to the apostles, who prayed and laid their hands on them.
[BSB | EN | NT | Acts | Chapter 6 | Verse 7] So the word of God continued to spread. The number of disciples in Jerusalem grew rapidly, and a great number of priests became obedient to the faith.
[BSB | EN | NT | Acts | Chapter 6 | Verse 8] Now Stephen, who was full of grace and power, was performing great wonders and signs among the people.
[BSB | EN | NT | Acts | Chapter 6 | Verse 9] But resistance arose from what was called the Synagogue of the Freedmen, including Cyrenians, Alexandrians, and men from the provinces of Cilicia and Asia. They began to argue with Stephen,
[BSB | EN | NT | Acts | Chapter 6 | Verse 10] but they could not stand up to his wisdom or the Spirit by whom he spoke.
[BSB | EN | NT | Acts | Chapter 6 | Verse 11] Then they prompted some men to say, “We heard Stephen speak words of blasphemy against Moses and against God.”
[BSB | EN | NT | Acts | Chapter 6 | Verse 12] So they stirred up the people, elders, and scribes and confronted Stephen. They seized him and brought him before the Sanhedrin,
[BSB | EN | NT | Acts | Chapter 6 | Verse 13] where they presented false witnesses who said, “This man never stops speaking against this holy place and against the law.
[BSB | EN | NT | Acts | Chapter 6 | Verse 14] For we have heard him say that Jesus of Nazareth will destroy this place and change the customs that Moses handed down to us.”
[BSB | EN | NT | Acts | Chapter 6 | Verse 15] All who were sitting in the Sanhedrin looked intently at Stephen, and they saw that his face was like the face of an angel.
