[BSB | EN | NT | Acts | Chapter 15 | Verse 1] Then some men came down from Judea and were teaching the brothers, “Unless you are circumcised according to the custom of Moses, you cannot be saved.”
[BSB | EN | NT | Acts | Chapter 15 | Verse 2] And after engaging these men in sharp debate, Paul and Barnabas were appointed, along with some other believers, to go up to Jerusalem to see the apostles and elders about this question.
[BSB | EN | NT | Acts | Chapter 15 | Verse 3] Sent on their way by the church, they passed through Phoenicia and Samaria, recounting the conversion of the Gentiles and bringing great joy to all the brothers.
[BSB | EN | NT | Acts | Chapter 15 | Verse 4] On their arrival in Jerusalem, they were welcomed by the church and apostles and elders, to whom they reported all that God had done through them.
[BSB | EN | NT | Acts | Chapter 15 | Verse 5] But some believers from the party of the Pharisees stood up and declared, “The Gentiles must be circumcised and required to obey the law of Moses.”
[BSB | EN | NT | Acts | Chapter 15 | Verse 6] So the apostles and elders met to look into this matter.
[BSB | EN | NT | Acts | Chapter 15 | Verse 7] After much discussion, Peter got up and said to them, “Brothers, you know that in the early days God made a choice among you that the Gentiles would hear from my lips the message of the gospel and believe.
[BSB | EN | NT | Acts | Chapter 15 | Verse 8] And God, who knows the heart, showed His approval by giving the Holy Spirit to them, just as He did to us.
[BSB | EN | NT | Acts | Chapter 15 | Verse 9] He made no distinction between us and them, for He cleansed their hearts by faith.
[BSB | EN | NT | Acts | Chapter 15 | Verse 10] Now then, why do you test God by placing on the necks of the disciples a yoke that neither we nor our fathers have been able to bear?
[BSB | EN | NT | Acts | Chapter 15 | Verse 11] On the contrary, we believe it is through the grace of the Lord Jesus that we are saved, just as they are.”
[BSB | EN | NT | Acts | Chapter 15 | Verse 12] The whole assembly fell silent as they listened to Barnabas and Paul describing the signs and wonders God had done among the Gentiles through them.
[BSB | EN | NT | Acts | Chapter 15 | Verse 13] When they had finished speaking, James declared, “Brothers, listen to me!
[BSB | EN | NT | Acts | Chapter 15 | Verse 14] Simon has told us how God first visited the Gentiles to take from them a people to be His own.
[BSB | EN | NT | Acts | Chapter 15 | Verse 15] The words of the prophets agree with this, as it is written:
[BSB | EN | NT | Acts | Chapter 15 | Verse 16] ‘After this I will return and rebuild the fallen tent of David. Its ruins I will rebuild, and I will restore it,
[BSB | EN | NT | Acts | Chapter 15 | Verse 17] so that the remnant of men may seek the Lord, and all the Gentiles who are called by My name, says the Lord who does these things
[BSB | EN | NT | Acts | Chapter 15 | Verse 18] that have been known for ages.’
[BSB | EN | NT | Acts | Chapter 15 | Verse 19] It is my judgment, therefore, that we should not cause trouble for the Gentiles who are turning to God.
[BSB | EN | NT | Acts | Chapter 15 | Verse 20] Instead, we should write and tell them to abstain from food polluted by idols, from sexual immorality, from the meat of strangled animals, and from blood.
[BSB | EN | NT | Acts | Chapter 15 | Verse 21] For Moses has been proclaimed in every city from ancient times and is read in the synagogues on every Sabbath.”
[BSB | EN | NT | Acts | Chapter 15 | Verse 22] Then the apostles and elders, with the whole church, decided to select men from among them to send to Antioch with Paul and Barnabas. They chose Judas called Barsabbas and Silas, two leaders among the brothers,
[BSB | EN | NT | Acts | Chapter 15 | Verse 23] and sent them with this letter: The apostles and the elders, your brothers, To the brothers among the Gentiles in Antioch, Syria, and Cilicia: Greetings.
[BSB | EN | NT | Acts | Chapter 15 | Verse 24] It has come to our attention that some went out from us without our authorization and unsettled you, troubling your minds by what they said.
[BSB | EN | NT | Acts | Chapter 15 | Verse 25] So we all agreed to choose men to send to you along with our beloved Barnabas and Paul,
[BSB | EN | NT | Acts | Chapter 15 | Verse 26] men who have risked their lives for the name of our Lord Jesus Christ.
[BSB | EN | NT | Acts | Chapter 15 | Verse 27] Therefore we are sending Judas and Silas to tell you in person the same things we are writing.
[BSB | EN | NT | Acts | Chapter 15 | Verse 28] It seemed good to the Holy Spirit and to us not to burden you with anything beyond these essential requirements:
[BSB | EN | NT | Acts | Chapter 15 | Verse 29] You must abstain from food sacrificed to idols, from blood, from the meat of strangled animals, and from sexual immorality. You will do well to avoid these things. Farewell.
[BSB | EN | NT | Acts | Chapter 15 | Verse 30] So the men were sent off and went down to Antioch, where they assembled the congregation and delivered the letter.
[BSB | EN | NT | Acts | Chapter 15 | Verse 31] When the people read it, they rejoiced at its encouraging message.
[BSB | EN | NT | Acts | Chapter 15 | Verse 32] Judas and Silas, who themselves were prophets, said much to encourage and strengthen the brothers.
[BSB | EN | NT | Acts | Chapter 15 | Verse 33] After spending some time there, they were sent off by the brothers in peace to return to those who had sent them.
[BSB | EN | NT | Acts | Chapter 15 | Verse 35] But Paul and Barnabas remained at Antioch, along with many others, teaching and preaching the word of the Lord.
[BSB | EN | NT | Acts | Chapter 15 | Verse 36] Some time later Paul said to Barnabas, “Let us go back and visit the brothers in every town where we proclaimed the word of the Lord, to see how they are doing.”
[BSB | EN | NT | Acts | Chapter 15 | Verse 37] Barnabas wanted to take John, also called Mark.
[BSB | EN | NT | Acts | Chapter 15 | Verse 38] But Paul thought it best not to take him, because he had deserted them in Pamphylia and had not accompanied them in the work.
[BSB | EN | NT | Acts | Chapter 15 | Verse 39] Their disagreement was so sharp that they parted company. Barnabas took Mark and sailed for Cyprus,
[BSB | EN | NT | Acts | Chapter 15 | Verse 40] but Paul chose Silas and left, commended by the brothers to the grace of the Lord.
[BSB | EN | NT | Acts | Chapter 15 | Verse 41] And he traveled through Syria and Cilicia, strengthening the churches.
