[BSB | EN | NT | Acts | Chapter 27 | Verse 1] When it was decided that we would sail for Italy, Paul and some other prisoners were handed over to a centurion named Julius, who belonged to the Imperial Regiment.
[BSB | EN | NT | Acts | Chapter 27 | Verse 2] We boarded an Adramyttian ship about to sail for ports along the coast of Asia, and we put out to sea. Aristarchus, a Macedonian from Thessalonica, was with us.
[BSB | EN | NT | Acts | Chapter 27 | Verse 3] The next day we landed at Sidon, and Julius treated Paul with consideration, allowing him to visit his friends and receive their care.
[BSB | EN | NT | Acts | Chapter 27 | Verse 4] After putting out from there, we sailed to the lee of Cyprus because the winds were against us.
[BSB | EN | NT | Acts | Chapter 27 | Verse 5] And when we had sailed across the open sea off the coast of Cilicia and Pamphylia, we came to Myra in Lycia.
[BSB | EN | NT | Acts | Chapter 27 | Verse 6] There the centurion found an Alexandrian ship sailing for Italy and put us on board.
[BSB | EN | NT | Acts | Chapter 27 | Verse 7] After sailing slowly for many days, we arrived off Cnidus. When the wind impeded us, we sailed to the lee of Crete, opposite Salmone.
[BSB | EN | NT | Acts | Chapter 27 | Verse 8] After we had moved along the coast with difficulty, we came to a place called Fair Havens, near the town of Lasea.
[BSB | EN | NT | Acts | Chapter 27 | Verse 9] By now much time had passed, and the voyage had already become dangerous because it was after the Fast. So Paul advised them,
[BSB | EN | NT | Acts | Chapter 27 | Verse 10] “Men, I can see that our voyage will be filled with disaster and great loss, not only to ship and cargo, but to our own lives as well.”
[BSB | EN | NT | Acts | Chapter 27 | Verse 11] But contrary to Paul’s advice, the centurion was persuaded by the pilot and by the owner of the ship.
[BSB | EN | NT | Acts | Chapter 27 | Verse 12] Since the harbor was unsuitable to winter in, the majority decided to sail on, if somehow they could reach Phoenix to winter there. Phoenix was a harbor in Crete facing both southwest and northwest.
[BSB | EN | NT | Acts | Chapter 27 | Verse 13] When a gentle south wind began to blow, they thought they had their opportunity. So they weighed anchor and sailed along, hugging the coast of Crete.
[BSB | EN | NT | Acts | Chapter 27 | Verse 14] But it was not long before a cyclone called the Northeaster swept down across the island.
[BSB | EN | NT | Acts | Chapter 27 | Verse 15] Unable to head into the wind, the ship was caught up. So we gave way and let ourselves be driven along.
[BSB | EN | NT | Acts | Chapter 27 | Verse 16] Passing to the lee of a small island called Cauda, we barely managed to secure the lifeboat.
[BSB | EN | NT | Acts | Chapter 27 | Verse 17] After hoisting it up, the crew used ropes to undergird the ship. And fearing that they would run aground on the sandbars of Syrtis, they lowered the sea anchor and were driven along.
[BSB | EN | NT | Acts | Chapter 27 | Verse 18] We were tossed so violently that the next day the men began to jettison the cargo.
[BSB | EN | NT | Acts | Chapter 27 | Verse 19] On the third day, they threw the ship’s tackle overboard with their own hands.
[BSB | EN | NT | Acts | Chapter 27 | Verse 20] When neither sun nor stars appeared for many days and the great storm continued to batter us, we abandoned all hope of being saved.
[BSB | EN | NT | Acts | Chapter 27 | Verse 21] After the men had gone a long time without food, Paul stood up among them and said, “Men, you should have followed my advice not to sail from Crete. Then you would have averted this disaster and loss.
[BSB | EN | NT | Acts | Chapter 27 | Verse 22] But now I urge you to keep up your courage, because you will not experience any loss of life, but only of the ship.
[BSB | EN | NT | Acts | Chapter 27 | Verse 23] For just last night an angel of God, whose I am and whom I serve, stood beside me
[BSB | EN | NT | Acts | Chapter 27 | Verse 24] and said, ‘Do not be afraid, Paul; you must stand before Caesar. And look, God has granted you the lives of all who sail with you.’
[BSB | EN | NT | Acts | Chapter 27 | Verse 25] So take courage, men, for I believe God that it will happen just as He told me.
[BSB | EN | NT | Acts | Chapter 27 | Verse 26] However, we must run aground on some island.”
[BSB | EN | NT | Acts | Chapter 27 | Verse 27] On the fourteenth night we were still being driven across the Adriatic Sea. About midnight the sailors sensed they were approaching land.
[BSB | EN | NT | Acts | Chapter 27 | Verse 28] They took soundings and found that the water was twenty fathoms deep. Going a little farther, they took another set of soundings that read fifteen fathoms.
[BSB | EN | NT | Acts | Chapter 27 | Verse 29] Fearing that we would run aground on the rocks, they dropped four anchors from the stern and prayed for daybreak.
[BSB | EN | NT | Acts | Chapter 27 | Verse 30] Meanwhile, the sailors attempted to escape from the ship. Pretending to lower anchors from the bow, they let the lifeboat down into the sea.
[BSB | EN | NT | Acts | Chapter 27 | Verse 31] But Paul said to the centurion and the soldiers, “Unless these men remain with the ship, you cannot be saved.”
[BSB | EN | NT | Acts | Chapter 27 | Verse 32] So the soldiers cut the ropes to the lifeboat and set it adrift.
[BSB | EN | NT | Acts | Chapter 27 | Verse 33] Right up to daybreak, Paul kept urging them all to eat: “Today is your fourteenth day in constant suspense, without taking any food.
[BSB | EN | NT | Acts | Chapter 27 | Verse 34] So for your own preservation, I urge you to eat something, because not a single hair of your head will be lost.”
