[IRV | ML | OT | Numbers | Chapter 29 | Verse 1] ഏഴാം മാസം ഒന്നാം തിയ്യതി വിശുദ്ധസഭായോഗം കൂടേണം; അന്നു സാമാന്യവേലയൊന്നും ചെയ്യരുതു; അതു നിങ്ങൾക്കു കാഹളനാദോത്സവം ആകുന്നു.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 2] അന്നു നിങ്ങൾ യഹോവെക്കു സൊരഭ്യവാസനയായ ഹോമയാഗമായി ഒരു കാളക്കിടാവിനെയും ഒരു ആട്ടുകൊറ്റനെയും ഒരു വയസ്സു പ്രായമുള്ള ഊനമില്ലാത്ത ഏഴു കുഞ്ഞാടിനെയും അർപ്പിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 3] അവയുടെ ഭോജനയാഗം എണ്ണചേർത്ത മാവു കാളെക്കു ഇടങ്ങഴി മൂന്നും ആട്ടുകൊറ്റന്നു ഇടങ്ങഴി രണ്ടും,
[IRV | ML | OT | Numbers | Chapter 29 | Verse 4] ഏഴു കുഞ്ഞാട്ടിൽ ഓരോന്നിന്നു ഇടങ്ങഴി ഓരോന്നും ആയിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 5] നിങ്ങൾക്കുവേണ്ടി പ്രായശ്ചിത്തം കഴിപ്പാൻ പാപയാഗത്തിന്നായി ഒരു കോലാട്ടുകൊറ്റനും വേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 6] അമാവാസിയിലെ ഹോമയാഗത്തിന്നും അതിന്റെ ഭോജനയാഗത്തിന്നും നാൾതോറുമുള്ള ഹോമയാഗത്തിന്നും അതിന്റെ ഭോജനയാഗത്തിന്നും അവെക്കു നിയമപ്രകാരമുള്ള പാനീയയാഗങ്ങൾക്കും പുറമെ യഹോവെക്കു സൗരഭ്യവാസനയായ ദഹനയാഗമായി തന്നേ.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 7] ഏഴാം മാസം പത്താം തിയ്യതി വിശുദ്ധസഭായോഗം കൂടേണം; അന്നു നിങ്ങൾ ആത്മതപനം ചെയ്യേണം; വേലയൊന്നും ചെയ്യരുതു.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 8] എന്നാൽ യഹോവെക്കു സുഗന്ധവാസനയായ ഹോമയാഗമായി ഒരു കാളക്കിടാവിനെയും ഒരു ആട്ടുകൊറ്റനെയും ഒരു വയസ്സു പ്രായമുള്ള ഏഴു കുഞ്ഞാടിനെയും അർപ്പിക്കേണം; അവ ഊനമില്ലാത്തവ ആയിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 9] അവയുടെ ഭോജനയാഗം എണ്ണചേർത്ത മാവു കാളെക്കു ഇടങ്ങഴി മൂന്നും ആട്ടുകൊറ്റന്നു ഇടങ്ങഴി രണ്ടും
[IRV | ML | OT | Numbers | Chapter 29 | Verse 10] ഏഴു കുഞ്ഞാട്ടിൽ ഓരോന്നിന്നു ഇടങ്ങഴി ഓരോന്നും ആയിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 11] പ്രായശ്ചിത്തയാഗത്തിന്നും നിരന്തരഹോമയാഗത്തിന്നും അതിന്റെ ഭോജനയാഗത്തിന്നും പാനീയയാഗങ്ങൾക്കും പുറമെ പാപയാഗത്തിന്നായി ഒരു കോലാട്ടുകൊറ്റന്നും വേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 12] ഏഴാം മാസം പതിനഞ്ചാം തിയ്യതി വിശുദ്ധസഭായോഗം കൂടേണം; അന്നു സാമാന്യവേലയൊന്നും ചെയ്യരുതു; ഏഴു ദിവസം യഹോവെക്കു ഉത്സവം ആചരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 13] നിങ്ങൾ യഹോവെക്കു സൗരഭ്യവാസനയായ ദഹനയാഗമായി പതിമൂന്നു കാളക്കിടാവിനെയും രണ്ടു ആട്ടുകൊറ്റനെയും ഒരു വയസ്സു പ്രായമുള്ള പതിന്നാലു കുഞ്ഞാടിനെയും ഹോമയാഗം കഴിക്കേണം; അവ ഊനമില്ലാത്തവ ആയിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 14] അവയുടെ ഭോജനയാഗം പതിമൂന്നു കാളയിൽ ഓരോന്നിന്നു എണ്ണചേർത്ത മാവു ഇടങ്ങഴി മുമ്മൂന്നും രണ്ടു ആട്ടുകൊറ്റനിൽ ഓരോന്നിന്നു ഇടങ്ങഴി ഈരണ്ടും
[IRV | ML | OT | Numbers | Chapter 29 | Verse 15] പതിന്നാലു കുഞ്ഞാട്ടിൽ ഓരോന്നിന്നും ഇടങ്ങഴി ഓരോന്നും ആയിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 16] നിരന്തരഹോമയാഗത്തിന്നും അതിന്റെ ഭോജനയാഗത്തിന്നും അതിന്റെ പാനീയയാഗങ്ങൾക്കും പുറമെ പാപയാഗത്തിന്നായി ഒരു കോലാട്ടുകൊറ്റനും വേണം.
[IRV | ML | OT | Numbers | Chapter 29 | Verse 17] രണ്ടാം ദിവസം നിങ്ങൾ പന്ത്രണ്ടു കാളക്കിടാവിനെയും രണ്ടു ആട്ടുകൊറ്റനെയും ഒരു വയസ്സു പ്രായമുള്ള ഊനമില്ലാത്ത പതിന്നാലു കുഞ്ഞാടിനെയും അർപ്പിക്കേണം.
