[IRV | ML | OT | Numbers | Chapter 7 | Verse 1] മോശെ തിരുനിവാസം നിവിർത്തുകഴിഞ്ഞിട്ടു അതും അതിന്റെ ഉപകരണങ്ങളൊക്കെയും അഭിഷേകം ചെയ്തു ശുദ്ധീകരിക്കയും യാഗപീഠത്തെയും അതിന്റെ സകലപാത്രങ്ങളെയും അഭിഷേകം കഴിച്ചു ശുദ്ധീകരിക്കയും ചെയ്ത ദിവസം
[IRV | ML | OT | Numbers | Chapter 7 | Verse 2] തങ്ങളുടെ പിതൃഭവനങ്ങളിൽ പ്രധാനികളും ഗോത്രപ്രഭുക്കന്മാരും എണ്ണപ്പെട്ടവരുടെ മേൽവിചാരകന്മാരും ആയ യിസ്രായേൽപ്രഭുക്കന്മാർ വഴിപാടു കഴിച്ചു.
[IRV | ML | OT | Numbers | Chapter 7 | Verse 3] അവർ വഴിപാടായിട്ടു ഈരണ്ടു പ്രഭുക്കന്മാർ ഓരോ വണ്ടിയും ഓരോരുത്തൻ ഓരോ കാളയും ഇങ്ങനെ കൂടുള്ള ആറു വണ്ടിയും പന്ത്രണ്ടു കാളയും യഹോവയുടെ സന്നിധിയിൽ തിരുനിവാസത്തിന്റെ മുമ്പിൽ കൊണ്ടുവന്നു.
[IRV | ML | OT | Numbers | Chapter 7 | Verse 4] അപ്പോൾ യഹോവ മോശെയോടു:
[IRV | ML | OT | Numbers | Chapter 7 | Verse 5] അവരുടെ പക്കൽനിന്നു അവയെ വാങ്ങുക. അവ സമാഗമനകൂടാരത്തിന്റെ ഉപയോഗത്തിന്നു ഇരിക്കട്ടെ; അവയെ ലേവ്യരിൽ ഓരോരുത്തന്നു അവനവന്റെ വേലക്കു തക്കവണ്ണം കൊടുക്കേണം എന്നു കല്പിച്ചു.
[IRV | ML | OT | Numbers | Chapter 7 | Verse 6] മോശെ വണ്ടികളെയും കാളകളെയും വാങ്ങി ലേവ്യർക്കു കൊടുത്തു.
[IRV | ML | OT | Numbers | Chapter 7 | Verse 7] രണ്ടു വണ്ടിയും നാലു കാളയെയും അവൻ ഗേർശോന്യർക്കു അവരുടെ വേലെക്കു തക്കവണ്ണം കൊടുത്തു.
[IRV | ML | OT | Numbers | Chapter 7 | Verse 8] നാലു വണ്ടിയും എട്ടു കാളയെയും അവൻ മെരാര്യർക്കു പുരോഹിതനായ അഹരോന്റെ പുത്രൻ ഈഥാമാരിന്റെ കൈക്കീഴ് അവർക്കുള്ള വേലെക്കു തക്കവണ്ണം കൊടുത്തു.
[IRV | ML | OT | Numbers | Chapter 7 | Verse 9] കെഹാത്യർക്കു അവൻ ഒന്നും കൊടുത്തില്ല; അവരുടെ വേല വിശുദ്ധമന്ദിരം സംബന്ധിച്ചുള്ളതും തോളിൽ ചുമക്കുന്നതും ആയിരുന്നു.
[IRV | ML | OT | Numbers | Chapter 7 | Verse 10] യാഗപീഠം അഭിഷേകം ചെയ്ത ദിവസം പ്രഭുക്കന്മാർ പ്രതിഷ്ഠെക്കുള്ള വഴിപാടു കൊണ്ടുവന്നു; യാഗപീഠത്തിന്റെ മുമ്പാകെ പ്രഭുക്കന്മാർ തങ്ങളുടെ വഴിപാടു കൊണ്ടുവന്നു.
[IRV | ML | OT | Numbers | Chapter 7 | Verse 11] അപ്പോൾ യഹോവ മോശെയോടു: യാഗപീഠത്തിന്റെ പ്രതിഷ്ഠെക്കായി ഓരോ പ്രഭു ഓരോ ദിവസം താന്താന്റെ വഴിപാടു കൊണ്ടുവരേണം എന്നു കല്പിച്ചു.
