[IRV | ML | OT | Numbers | Chapter 1 | Verse 1] അവർ മിസ്രയീംദേശത്തുനിന്നു പുറപ്പെട്ടതിന്റെ രണ്ടാം സംവത്സരം രണ്ടാം മാസം ഒന്നാം തിയ്യതി യഹോവ സീനായിമരുഭൂമിയിൽ സമാഗമനകൂടാരത്തിൽവെച്ചു മോശെയോടു അരുളിച്ചെയ്തതു എന്തെന്നാൽ:
[IRV | ML | OT | Numbers | Chapter 1 | Verse 2] നിങ്ങൾ യിസ്രായേൽമക്കളിൽ ഗോത്രംഗോത്രമായും കുടുംബംകുടുംബമായും സകലപുരുഷന്മാരെയും ആളാംപ്രതി പേർവഴി ചാർത്തി സംഘത്തിന്റെ ആകത്തുക എടുക്കേണം.
[IRV | ML | OT | Numbers | Chapter 1 | Verse 3] നീയും അഹരോനും യിസ്രായേലിൽ ഇരുപതു വയസ്സുമുതൽ മേലോട്ടു, യുദ്ധത്തിന്നു പുറപ്പെടുവാൻ പ്രാപ്തിയുള്ള എല്ലാവരെയും ഗണംഗണമായി എണ്ണേണം.
[IRV | ML | OT | Numbers | Chapter 1 | Verse 4] ഓരോ ഗോത്രത്തിൽനിന്നു തന്റെ കുടുംബത്തിൽ തലവനായ ഒരുത്തൻ നിങ്ങളോടുകൂടെ ഉണ്ടായിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 1 | Verse 5] നിങ്ങളോടുകൂടെ നില്ക്കേണ്ടുന്ന പുരുഷന്മാരുടെ പേരാവിതു: രൂബേൻഗോത്രത്തിൽ ശെദേയൂരിന്റെ മകൻ എലീസൂർ;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 6] ശിമെയോൻ ഗോത്രത്തിൽ സൂരീശദ്ദായിയുടെ മകൻ ശെലൂമീയേൽ;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 7] യെഹൂദാഗോത്രത്തിൽ അമ്മീനാദാബിന്റെ മകൻ നഹശോൻ;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 8] യിസ്സാഖാർഗോത്രത്തിൽ സൂവാരിന്റെ മകൻ നെഥനയേൽ;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 9] സെബൂലൂൻഗോത്രത്തിൽ ഹോലോന്റെ മകൻ എലീയാബ്;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 10] യോസേഫിന്റെ മക്കളിൽ എഫ്രയീംഗോത്രത്തിൽ അമ്മീഹൂദിന്റെ മകൻ എലീശാമാ; മനശ്ശെഗോത്രത്തിൽ പെദാസൂരിന്റെ മകൻ ഗമലീയേൽ;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 11] ബെന്യാമീൻഗോത്രത്തിൽ ഗിദെയോനിയുടെ മകൻ അബീദാൻ;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 12] ദാൻഗോത്രത്തിൽ അമ്മീശദ്ദായിയുടെ മകൻ അഹീയേസെർ;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 13] ആശേർഗോത്രത്തിൽ ഒക്രാന്റെ മകൻ പഗീയേൽ;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 14] ഗാദ്ഗോത്രത്തിൽ ദെയൂവേലിന്റെ മകൻ എലീയാസാഫ്;
[IRV | ML | OT | Numbers | Chapter 1 | Verse 15] നഫ്താലിഗോത്രത്തിൽ ഏനാന്റെ മകൻ അഹീര.
[IRV | ML | OT | Numbers | Chapter 1 | Verse 16] ഇവർ സംഘത്തിൽനിന്നു വിളിക്കപ്പെട്ടവരും തങ്ങളുടെ പിതൃഗോത്രങ്ങളിൽ പ്രഭുക്കന്മാരും യിസ്രായേലിൽ സഹസ്രാധിപന്മാരും ആയിരുന്നു.
[IRV | ML | OT | Numbers | Chapter 1 | Verse 17] കുറിക്കപ്പെട്ട ഈ പുരുഷന്മാരെ മോശെയും അഹരോനും കൂട്ടിക്കൊണ്ടുപോയി.
[IRV | ML | OT | Numbers | Chapter 1 | Verse 18] രണ്ടാം മാസം ഒന്നാം തിയ്യതി അവർ സർവ്വസഭയെയും വിളിച്ചുകൂട്ടി; അവർ ഗോത്രം ഗോത്രമായും കുടുംബംകുടുംബമായും ആളാംപ്രതി ഇരുപതു വയസ്സുമുതൽ മോലോട്ടു പേരുപേരായി താന്താങ്ങളുടെ വംശവിവരം അറിയിച്ചു.
[IRV | ML | OT | Numbers | Chapter 1 | Verse 19] യഹോവ മോശെയോടു കല്പിച്ചതുപോലെ അവൻ സീനായിമരുഭൂമിയിൽവെച്ചു അവരുടെ എണ്ണമെടുത്തു.
[IRV | ML | OT | Numbers | Chapter 1 | Verse 20] യിസ്രായേലിന്റെ മൂത്തമകനായ രൂബേന്റെ മക്കളുടെ സന്തതികൾ കുലംകുലമായും കുടുംബംകുടുംബമായും ആളാംപ്രതി ഇരുപതു വയസ്സുമുതൽ മേലോട്ടു, യുദ്ധത്തിന്നു പ്രാപ്തിയുള്ള സകലപുരുഷന്മാരും
[IRV | ML | OT | Numbers | Chapter 1 | Verse 21] പേരുപേരായി രൂബേൻ ഗോത്രത്തിൽ എണ്ണപ്പെട്ടവർ നാല്പത്താറായിരത്തഞ്ഞൂറു പേർ.
[IRV | ML | OT | Numbers | Chapter 1 | Verse 22] ശിമെയോന്റെ മക്കളുടെ സന്തതികളിൽ കുലംകുലമായും കുടുംബംകുടുംബമായും ആളാംപ്രതി ഇരുപതു വയസ്സുമുതൽ മേലോട്ടു യുദ്ധത്തിന്നു പ്രാപ്തിയുള്ള സകലപുരുഷന്മാരും
