[IRV | ML | OT | Numbers | Chapter 10 | Verse 1] യഹോവ പിന്നെയും മോശെയോടു അരുളിച്ചെയ്തതു എന്തെന്നാൽ:
[IRV | ML | OT | Numbers | Chapter 10 | Verse 2] വെള്ളികൊണ്ടു രണ്ടു കാഹളം ഉണ്ടാക്കുക; അടിപ്പുപണിയായി അവയെ ഉണ്ടാക്കേണം; അവ നിനക്കു സഭയെ വിളിച്ചുകൂട്ടുവാനും പാളയത്തെ പുറപ്പെടുവിപ്പാനും ഉതകേണം.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 3] അവ ഊതുമ്പോൾ സഭ മുഴുവനും സമാഗമനകൂടാരത്തിന്റെ വാതിൽക്കൽ നിന്റെ അടുക്കൽ കൂടേണം.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 4] ഒരു കാഹളം മാത്രം ഊതിയാൽ യിസ്രായേലിന്റെ സഹസ്രാധിപന്മാരായ പ്രഭുക്കന്മാർ നിന്റെ അടുക്കൽ കൂടേണം.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 5] ഗംഭീരധ്വനി ഊതുമ്പോൾ കിഴക്കെ പാളയങ്ങൾ യാത്ര പുറപ്പെടേണം.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 6] രണ്ടാം പ്രാവശ്യം ഗംഭീരധ്വനി ഊതുമ്പോൾ തെക്കെ പാളയങ്ങൾ യാത്ര പുറപ്പെടേണം; ഇങ്ങനെ ഇവരുടെ പുറപ്പാടുകൾക്കായി ഗംഭീരധ്വനി ഊതേണം:
[IRV | ML | OT | Numbers | Chapter 10 | Verse 7] സഭയെ കൂട്ടേണ്ടതിന്നു ഊതുമ്പോൾ ഗംഭീരധ്വനി ഊതരുതു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 8] അഹരോന്റെ പുത്രന്മാരായ പുരോഹിതന്മാർ ആകുന്നു കാഹളം ഊതേണ്ടതു; ഇതു നിങ്ങൾക്കു തലമുറതലമുറയായി എന്നേക്കുമുള്ള ചട്ടം ആയിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 9] നിങ്ങളുടെ ദേശത്തു നിങ്ങളെ ഞെരുക്കുന്ന ശത്രുവിന്റെ നേരെ നിങ്ങൾ യുദ്ധത്തിന്നു പോകുമ്പോൾ ഗംഭീരധ്വനിയായി കാഹളം ഊതേണം; എന്നാൽ നിങ്ങളുടെ ദൈവമായ യഹോവ നിങ്ങളെ ഓർത്തു ശത്രുക്കളുടെ കയ്യിൽനിന്നു രക്ഷിക്കും.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 10] നിങ്ങളുടെ സന്തോഷദിവസങ്ങളിലും ഉത്സവങ്ങളിലും മാസാരംഭങ്ങളിലും നിങ്ങൾ ഹോമയാഗങ്ങളും സമാധാനയാഗങ്ങളും കഴിക്കുമ്പോൾ കാഹളം ഊതേണം; അവ നിങ്ങൾക്കു ദൈവത്തിന്റെ സന്നിധിയിൽ ജ്ഞാപകമായിരിക്കും; യഹോവയായ ഞാൻ നിങ്ങളുടെ ദൈവം ആകുന്നു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 11] അനന്തരം രണ്ടാം സംവത്സരം രണ്ടാം മാസം ഇരുപതാം തിയ്യതി മേഘം സാക്ഷ്യനിവാസത്തിന്മേൽനിന്നു പൊങ്ങി.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 12] അപ്പോൾ യിസ്രായേൽമക്കൾ സീനായിമരുഭൂമിയിൽനിന്നു യാത്രപുറപ്പെട്ടു; മേഘം പാറാൻമരുഭൂമിയിൽ വന്നുനിന്നു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 13] യഹോവ മോശെമുഖാന്തരം കല്പിച്ചതുപോലെ അവർ ഇങ്ങനെ ആദ്യമായി യാത്ര പുറപ്പെട്ടു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 14] യെഹൂദാമക്കളുടെ കൊടിക്കീഴുള്ള പാളയം ഗണംഗണമായി ആദ്യം പുറപ്പെട്ടു; അവരുടെ സേനാപതി അമ്മീനാദാബിന്റെ മകൻ നഹശോൻ.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 15] യിസ്സാഖാർമക്കളുടെ ഗോത്രത്തിന്റെ സേനാപതി സൂവാരിന്റെ മകൻ നെഥനയേൽ.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 16] സെബൂലൂൻ മക്കളുടെ ഗോത്രത്തിന്റെ സേനാപതി ഹേലോന്റെ മകൻ എലീയാബ്.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 17] അപ്പോൾ തിരുനിവാസം അഴിച്ചു താഴ്ത്തി; ഗേർശോന്യരും മെരാര്യരും തിരുനിവാസം ചുമന്നുകൊണ്ടു പുറപ്പെട്ടു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 18] പിന്നെ രൂബേന്റെ കൊടിക്കീഴുള്ള പാളയം ഗണംഗണമായി പുറപ്പെട്ടു; അവരുടെ സേനാപതി ശെദേയൂരിന്റെ മകൻ എലീസൂർ.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 19] ശിമെയോൻമക്കളുടെ ഗോത്രത്തിന്റെ സേനാപതി സൂരിശദ്ദായിയുടെ മകൻ ശെലൂമിയേൽ.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 20] ഗാദ്മക്കളുടെ ഗോത്രത്തിന്റെ സേനാപതി ദെയൂവേലിന്റെ മകൻ എലീയാസാഫ്.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 21] അപ്പോൾ കെഹാത്യർ വിശുദ്ധസാധനങ്ങൾ ചുമന്നുകൊണ്ടു പുറപ്പെട്ടു; ഇവർ എത്തുമ്പോഴേക്കു തിരുനിവാസം നിവിർത്തുകഴിയും.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 22] പിന്നെ എഫ്രയീംമക്കളുടെ കൊടിക്കീഴുള്ള പാളയം ഗണംഗണമായി പുറപ്പെട്ടു; അവരുടെ സേനാപതി അമ്മീഹൂദിന്റെ മകൻ എലീശാമാ.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 23] മനശ്ശെമക്കളുടെ ഗോത്രത്തിന്റെ സേനാപതി പെദാസൂരിന്റെ മകൻ ഗമലീയേൽ.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 24] ബെന്യാമീൻമക്കളുടെ ഗോത്രത്തിന്റെ സേനാപതി ഗിദെയോനിയുടെ മകൻ അബീദാൻ.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 25] പിന്നെ അവരുടെ എല്ലാപാളയങ്ങളിലും ഒടുവിലത്തേതായിരുന്ന ദാൻമക്കളുടെ കൊടിക്കീഴുള്ള പാളയം ഗണംഗണമായി പുറപ്പെട്ടു; അവരുടെ സേനാപതി അമ്മീശദ്ദായിയുടെ മകനായ അഹീയേസേർ.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 26] ആശേർമക്കളുടെ ഗോത്രത്തിന്റെ സേനാപതി ഒക്രാന്റെ മകൻ പഗീയേൽ.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 27] നഫ്താലിമക്കളുടെ ഗോത്രത്തിന്റെ സേനാപതി ഏനാന്റെ മകൻ അഹീര.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 28] യിസ്രായേൽമക്കൾ യാത്ര പുറപ്പെട്ടപ്പോൾ ഗണംഗണമായുള്ള അവരുടെ യാത്ര ഇങ്ങനെ ആയിരുന്നു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 29] പിന്നെ മോശെ തന്റെ അമ്മായപ്പനായ രെയൂവേൽ എന്ന മിദ്യാനന്റെ മകനായ ഹോബാബിനോടു: നിങ്ങൾക്കു ഞാൻ തരുമെന്നു യഹോവ അരുളിച്ചെയ്ത ദേശത്തേക്കു ഞങ്ങൾ യാത്രചെയ്യുന്നു; യഹോവ യിസ്രായേലിന്നു നന്മ ചൊല്ലിയിരിക്കകൊണ്ടു നീ ഞങ്ങളോടുകൂടെ വരിക; ഞങ്ങൾ നിനക്കു നന്മ ചെയ്യും എന്നു പറഞ്ഞു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 30] അവൻ അവനോടു: ഞാൻ വരുന്നില്ല; എന്റെ സ്വദേശത്തേക്കും ചാർച്ചക്കാരുടെ അടുക്കലേക്കും ഞാൻ പോകുന്നു എന്നു പറഞ്ഞു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 31] അതിന്നു അവൻ: ഞങ്ങളെ വിട്ടുപോകരുതേ; മരുഭൂമിയിൽ ഞങ്ങൾ പാളയമിറങ്ങേണ്ടതു എങ്ങനെ എന്നു നീ അറിയുന്നു; നീ ഞങ്ങൾക്കു കണ്ണായിരിക്കും.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 32] ഞങ്ങളോടുകൂടെ പോന്നാൽ യഹോവ ഞങ്ങൾക്കു ചെയ്യുന്ന നന്മപോലെ തന്നേ ഞങ്ങൾ നിനക്കും ചെയ്യും എന്നു പറഞ്ഞു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 33] അനന്തരം അവർ യഹോവയുടെ പർവ്വതം വിട്ടു മൂന്നു ദിവസത്തെ വഴി പോയി; യഹോവയുടെ നിയമപെട്ടകം അവർക്കു വിശ്രാമസ്ഥലം അന്വേഷിക്കേണ്ടതിന്നു മൂന്നു ദിവസത്തെ വഴി മുമ്പോട്ടു പോയി.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 34] പാളയം പുറപ്പെട്ടപ്പോൾ യഹോവയുടെ മേഘം പകൽസമയം അവർക്കു മീതെ ഉണ്ടായിരുന്നു.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 35] പെട്ടകം പുറപ്പെടുമ്പോൾ മോശെ: യഹോവേ, എഴുന്നേൽക്കേണമേ; നിന്റെ ശത്രുക്കൾ ചിതറുകയും നിന്നെ പകെക്കുന്നവർ നിന്റെ മുമ്പിൽനിന്നു ഓടിപ്പോകയും ചെയ്യട്ടെ എന്നു പറയും.
[IRV | ML | OT | Numbers | Chapter 10 | Verse 36] അതു വിശ്രമിക്കുമ്പോൾ അവൻ: യഹോവേ, അനേകായിരമായ യിസ്രായേലിന്റെ അടുക്കൽ മടങ്ങിവരേണമേ എന്നു പറയും.
